ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778433390,38,10747,49,17.00,30,1.32,6.8,80.9,119
1778433392,22,10747,52,72.55,30,1.37,6.7,81.0,119
1778433394,40,10747,50,41.20,30,1.37,9.9,81.1,119
1778433396,29,10747,50,39.95,30,1.37,8.1,80.9,119
1778433398,39,10747,49,39.90,30,1.34,7.1,80.4,119
1778433400,33,10747,48,38.76,30,1.34,7.7,80.4,119
1778433402,32,10747,48,38.99,30,1.34,7.4,80.4,119
1778433404,32,10747,48,38.36,30,1.32,7.5,80.5,119
1778433405,41,10747,47,38.24,30,1.32,7.2,80.4,119
1778433408,39,10747,46,38.19,30,1.21,8.5,80.5,119
1778433409,45,10747,46,37.75,30,1.21,7.2,80.3,119
1778433412,37,10747,46,37.47,30,1.21,7.5,80.5,119
1778433414,33,10747,46,37.29,0,1.19,7.7,80.3,119
1778433416,33,10747,46,37.19,0,1.19,7.5,80.4,119
1778433417,33,10747,46,37.27,0,1.18,7.2,80.6,119
1778433419,34,10747,46,37.45,0,1.18,7.2,80.6,119
1778433421,46,10747,46,37.47,0,1.18,7.7,80.5,119
1778433423,40,10747,47,37.88,0,1.16,7.7,80.6,119
1778433425,41,10747,47,37.67,0,1.16,7.4,80.4,119
1778433427,45,10747,46,37.68,0,1.23,7.5,81.4,119
1778433429,44,10747,46,37.87,0,1.23,7.7,81.1,119
1778433431,45,10747,46,37.70,0,1.23,7.7,81.0,119
1778433433,45,10747,47,37.57,0,1.29,7.6,81.0,119
1778433435,43,10747,47,37.75,0,1.29,7.0,80.9,119
1778433437,37,10747,47,38.08,0,1.29,6.7,81.1,119
1778433439,43,10747,48,38.10,0,1.27,7.5,80.9,119
1778433441,32,10747,47,37.99,0,1.27,7.0,80.9,119
1778433442,33,10747,47,38.17,0,1.41,7.8,80.9,119
1778433444,34,10747,47,38.08,0,1.41,7.0,80.8,119
1778433446,33,10747,48,38.67,0,1.41,7.0,80.9,119
1778433448,33,10747,48,38.20,0,1.45,9.0,81.0,119
1778433449,39,10747,48,38.26,0,1.45,7.4,80.9,119
1778433451,34,10747,48,38.54,0,1.45,7.2,81.0,119
1778433453,33,10747,48,38.38,0,1.58,7.5,81.0,119
1778433455,34,10747,51,76.61,0,1.58,7.0,81.0,119
1778433457,29,10747,49,58.94,0,1.58,7.4,80.5,119
1778433459,34,10747,50,40.99,0,1.53,7.9,80.5,119
1778433460,33,10747,50,42.65,0,1.53,6.4,80.4,119
1778433462,29,10747,49,41.81,0,1.53,6.4,80.3,119
1778433464,35,10747,49,41.01,0,1.65,7.5,80.5,119
1778433466,30,10747,49,40.31,0,1.65,7.4,80.3,119
1778433467,38,10747,50,39.76,0,1.65,8.3,80.3,119
1778433469,5,10747,49,39.18,0,1.60,6.6,80.2,119
1778433471,23,10747,50,54.77,0,1.60,6.9,80.3,119
1778433473,30,10747,50,40.90,0,1.63,7.8,80.3,119
1778433475,33,10747,50,40.21,0,1.63,6.6,80.2,119
1778433477,42,10747,50,40.38,0,1.63,7.9,80.2,119
1778433479,23,10747,52,76.96,0,1.66,7.4,80.2,119
1778433481,5,10747,50,49.90,0,1.66,7.2,80.3,119
1778433483,20,10747,54,55.52,0,1.69,7.5,80.3,119
1778433485,30,10747,51,41.26,0,1.69,6.8,80.2,119
1778433487,30,10747,51,40.52,0,1.69,6.8,81.0,119
1778433489,34,10747,51,40.15,0,2.75,7.9,80.9,119
1778433491,42,10747,51,40.14,0,2.75,7.0,81.0,119
1778433493,32,10747,51,39.58,0,2.61,6.6,81.0,119
1778433495,35,10747,51,39.41,0,2.61,6.6,80.9,119
1778433497,32,10747,51,39.26,0,2.61,6.3,80.9,119
1778433499,41,10747,51,39.77,0,2.56,7.3,81.1,119
1778433501,45,10747,52,39.32,0,2.56,7.3,80.9,119
1778433503,34,10747,51,39.29,0,2.36,6.8,80.9,119
1778433505,43,10747,52,39.53,0,2.36,6.8,80.8,119
1778433506,43,10747,52,39.40,0,2.36,8.1,80.9,119
1778433508,46,10747,52,39.26,0,2.33,6.8,80.8,119
1778433510,34,10747,51,38.94,0,2.33,7.0,80.8,119
