ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778433517,33,10747,50,21.46,0,2.30,7.8,80.5,119
1778433518,22,10747,54,77.56,0,2.28,7.2,80.6,119
1778433520,29,10747,52,41.88,0,2.28,7.4,80.6,119
1778433522,32,10747,52,41.36,0,2.28,7.2,80.6,119
1778433524,39,10747,53,40.81,0,2.33,6.9,80.8,119
1778433526,29,10747,52,40.76,0,2.33,8.5,80.7,119
1778433527,30,10747,52,40.35,0,2.33,6.1,80.6,119
1778433529,43,10747,52,40.37,0,2.31,7.5,80.6,119
1778433531,32,10747,52,39.88,0,2.31,7.3,80.6,119
1778433533,31,10747,52,39.39,0,2.31,9.8,80.9,119
1778433534,31,10747,52,39.28,0,2.12,8.8,80.7,119
1778433536,36,10747,52,38.92,0,2.12,6.1,80.6,119
1778433538,35,10747,53,39.43,0,2.12,21.3,80.7,119
1778433540,45,10747,53,39.07,0,2.11,7.7,80.7,119
1778433541,33,10747,52,39.30,0,2.11,6.8,80.6,119
1778433543,43,10747,53,39.22,0,2.11,6.8,80.8,119
1778433545,37,10747,53,39.25,0,2.02,15.1,81.3,119
1778433547,33,10747,52,39.40,0,2.02,17.5,81.7,119
1778433548,45,10747,53,39.60,0,2.02,11.4,81.5,119
1778433550,34,10747,52,39.33,0,1.94,6.7,81.6,119
1778433552,46,10747,53,39.67,0,1.94,6.9,81.6,119
1778433553,44,10747,53,39.66,0,2.02,11.5,81.7,119
1778433555,32,10747,53,39.88,0,2.02,7.6,81.5,119
1778433557,39,10747,53,39.72,0,2.02,8.2,81.6,119
1778433559,43,10747,53,39.64,0,2.02,8.3,81.7,119
1778433561,41,10747,53,40.10,0,2.02,8.0,81.6,119
1778433562,42,10747,53,40.08,0,2.02,6.2,81.4,119
1778433564,36,10747,53,40.33,0,1.94,7.2,81.7,119
1778433566,33,10747,53,39.97,0,1.94,6.7,81.6,119
1778433568,33,10747,53,40.25,0,1.94,7.5,81.5,119
1778433570,46,10747,54,40.10,0,1.94,6.9,81.4,119
1778433571,39,10747,53,40.06,0,1.94,7.2,81.3,119
1778433573,38,10747,53,40.15,0,1.94,7.4,81.5,119
1778433575,44,10747,53,40.16,0,1.95,7.8,81.3,119
1778433577,41,10747,53,39.35,0,1.95,7.2,81.2,119
1778433579,42,10747,53,39.41,0,1.95,8.4,81.4,119
1778433580,32,10747,54,40.28,0,2.03,7.4,81.3,119
1778433582,33,10747,54,40.10,0,2.03,6.8,81.2,119
1778433584,37,10732,54,40.25,0,2.03,7.7,81.3,119
1778433586,42,10732,54,40.10,0,2.03,7.5,81.2,119
1778433587,33,10732,54,39.55,0,2.03,6.5,81.3,119
1778433589,32,10732,54,40.19,0,2.03,6.7,81.4,119
1778433591,40,10732,54,40.14,0,2.03,7.5,81.3,119
1778433593,33,10732,54,40.11,0,2.03,9.4,81.3,119
1778433594,65,10732,54,37.23,0,2.11,7.0,81.1,119
1778433596,23,10732,57,98.05,0,2.11,6.2,81.0,119
1778433598,36,10732,55,52.58,0,2.11,7.4,81.1,119
1778433600,41,10732,54,42.65,0,2.10,7.8,81.1,119
1778433601,42,10732,55,42.35,0,2.10,6.9,81.2,119
1778433603,39,10732,54,41.75,0,2.10,6.7,81.2,119
1778433605,22,10732,58,80.37,0,2.01,7.4,81.0,119
1778433607,33,10732,55,63.62,0,2.01,7.8,81.2,119
1778433608,22,10732,58,92.88,0,2.01,7.6,81.2,119
1778433610,33,10732,56,63.83,0,2.09,6.8,81.0,119
1778433612,41,10732,55,42.79,0,2.09,7.8,80.9,119
1778433614,30,10732,56,42.76,0,2.09,9.4,81.2,119
1778433615,31,10732,56,41.69,0,2.00,7.4,81.1,119
1778433617,40,10732,56,41.90,0,2.00,8.3,81.0,119
1778433619,44,10732,55,41.82,0,2.00,7.1,81.3,119
1778433621,32,10732,55,41.02,0,2.00,6.9,81.0,119
1778433623,35,10732,56,41.02,0,2.00,8.2,81.3,119
1778433624,46,10732,55,40.41,0,1.92,7.6,81.2,119
1778433626,38,10732,55,40.04,0,1.92,7.2,81.1,119
1778433628,34,10732,56,40.78,0,1.92,8.0,81.1,119
1778433630,32,10732,56,40.69,0,1.77,7.3,81.0,119
1778433631,23,10732,58,64.42,0,1.77,8.8,80.8,119
1778433633,3,10732,57,70.05,0,1.77,7.2,81.0,119
1778433635,10,10732,57,64.54,0,1.94,7.8,81.0,119
1778433637,22,10732,60,97.52,0,1.94,6.6,80.2,119
1778433638,34,10732,57,55.41,0,1.94,8.0,80.3,119
1778433640,36,10732,56,42.52,0,1.95,7.2,80.3,119
1778433642,35,10732,56,41.97,0,1.95,6.7,80.1,119
1778433644,31,10732,56,41.59,0,1.95,6.4,80.3,119
1778433645,31,10732,56,41.30,0,1.79,8.2,80.1,119
1778433647,42,10732,57,41.22,0,1.79,6.6,80.2,119
1778433649,32,10732,56,41.08,0,1.79,7.3,80.5,119
1778433651,33,10732,56,40.77,0,1.65,6.4,80.3,119
1778433652,40,10732,56,40.93,0,1.65,8.0,80.4,119
1778433654,44,10732,56,40.96,0,1.65,7.2,80.2,119
1778433656,41,10732,56,41.30,0,1.60,8.1,80.3,119
1778433658,33,10732,57,40.94,0,1.60,8.7,80.3,119
1778433659,35,10732,56,40.69,0,1.63,7.9,80.3,119
1778433661,32,10732,57,40.91,0,1.63,7.4,80.2,119
1778433663,46,10732,56,41.16,0,1.63,7.5,80.4,119
1778433665,42,10732,57,41.50,0,1.50,6.7,80.2,119
1778433666,45,10732,56,41.19,0,1.50,15.9,81.0,119
1778433668,44,10732,56,41.28,0,1.50,7.7,81.1,119
1778433670,34,10732,57,41.30,0,1.46,7.0,80.8,119
1778433672,39,10732,57,41.50,0,1.46,10.1,81.0,119
1778433673,44,10732,56,41.41,0,1.46,9.5,81.2,119
1778433675,45,10732,56,41.41,0,1.58,6.8,81.0,119
1778433677,33,10732,57,41.41,0,1.58,7.5,81.0,119
