ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778434290,31,10732,50,17.61,0,1.60,6.7,87.9,119
1778434292,22,10732,54,77.61,0,1.60,7.7,88.2,119
1778434294,33,10732,52,53.23,0,1.60,9.1,88.3,119
1778434295,37,10732,52,41.54,0,1.55,7.0,88.2,119
1778434297,38,10732,52,41.23,0,1.55,7.6,87.7,119
1778434299,36,10732,52,40.57,0,1.59,7.2,87.6,119
1778434301,40,10732,52,40.40,0,1.59,8.4,87.7,119
1778434302,35,10732,52,39.77,0,1.59,6.9,87.7,119
1778434304,42,10732,52,40.04,0,1.62,6.9,87.5,119
1778434306,39,10732,52,39.85,0,1.62,6.7,87.7,119
1778434308,39,10732,52,39.69,0,1.62,8.2,87.7,119
1778434309,33,10732,52,39.55,0,1.57,7.2,87.7,119
1778434311,43,10732,52,39.74,0,1.57,6.7,87.6,119
1778434313,33,10732,52,39.57,0,1.57,6.7,87.7,119
1778434315,45,10732,52,39.58,0,1.69,7.4,87.6,119
1778434316,32,10732,52,39.43,0,1.69,8.3,87.7,119
1778434318,33,10732,52,39.67,0,1.69,7.6,87.9,119
1778434320,36,10732,53,39.68,0,1.55,7.8,87.7,119
1778434322,43,10732,52,39.90,0,1.55,7.6,87.7,119
1778434324,34,10732,52,39.59,0,1.67,7.4,87.6,119
1778434326,41,10732,53,40.01,0,1.67,9.8,88.5,119
1778434328,45,10748,53,40.09,0,1.67,8.6,88.3,119
1778434330,40,10748,52,39.93,0,1.69,9.3,88.3,119
1778434332,32,10748,52,39.72,0,1.69,8.2,88.2,119
1778434334,39,10748,53,39.99,0,1.72,7.5,88.3,119
1778434336,40,10748,53,39.95,0,1.72,7.8,88.0,119
1778434338,33,10748,52,40.15,0,1.72,7.0,88.0,119
1778434340,32,10748,53,40.02,0,1.74,6.8,88.0,119
1778434342,33,10748,53,39.88,0,1.74,7.5,88.1,119
1778434344,36,10748,53,39.56,0,1.74,7.3,88.1,119
1778434345,35,10748,53,39.90,0,1.68,7.1,87.9,119
1778434347,36,10748,53,39.52,0,1.68,6.7,88.1,119
1778434349,35,10748,53,39.84,0,1.68,8.5,88.2,119
1778434351,38,10748,53,39.72,0,1.63,7.3,87.9,119
1778434352,33,10748,53,40.10,0,1.63,7.1,87.8,119
1778434354,32,10748,53,40.02,0,1.63,7.3,88.1,119
1778434356,46,10748,53,39.99,0,1.58,6.8,88.1,119
1778434358,46,10748,53,40.44,0,1.58,9.5,87.4,119
1778434359,40,10748,54,39.92,0,1.58,7.7,87.4,119
1778434361,22,10748,57,90.36,0,1.53,7.5,87.3,119
1778434363,23,10748,56,70.17,0,1.53,8.3,87.5,119
1778434364,30,10748,55,60.31,0,1.65,7.6,87.4,119
