ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778434469,33,10748,55,16.80,0,1.96,7.2,88.6,119
1778434471,23,10748,58,85.55,0,1.96,7.6,88.6,119
1778434472,36,10748,56,45.69,0,1.96,7.6,88.7,119
1778434474,30,10748,57,42.36,0,1.96,7.2,88.5,119
1778434476,43,10748,57,41.66,0,1.96,7.8,88.5,119
1778434478,31,10748,57,41.43,0,1.96,9.8,88.5,119
1778434479,40,10748,57,41.27,0,1.96,7.4,88.6,119
1778434481,41,10748,57,41.24,0,1.81,6.4,88.6,119
1778434483,34,10748,56,41.17,0,1.81,7.2,88.7,119
1778434485,44,10748,56,41.06,0,1.81,7.2,88.5,119
1778434486,32,10748,56,40.46,0,1.82,7.4,88.5,119
1778434488,38,10748,56,40.51,0,1.82,7.7,88.5,119
1778434490,34,10748,56,40.29,0,1.82,6.7,88.5,119
1778434492,41,10748,57,40.01,0,1.75,8.7,88.4,119
1778434493,41,10748,57,40.27,0,1.75,7.4,88.7,119
1778434495,38,10748,57,40.33,0,1.75,6.2,88.5,119
1778434497,39,10748,57,40.39,0,1.69,6.7,88.6,119
1778434499,43,10748,57,40.74,0,1.69,7.4,88.6,119
1778434500,45,10748,57,40.18,0,1.72,6.4,88.8,119
1778434502,44,10748,57,40.46,0,1.72,9.7,88.4,119
1778434504,37,10748,57,40.06,0,1.72,7.1,88.2,119
1778434506,35,10748,57,40.30,0,1.74,7.6,88.1,119
1778434509,34,10748,57,40.38,0,1.74,7.4,87.9,119
1778434511,33,10748,57,40.33,0,1.68,7.5,87.9,119
1778434513,34,10748,57,40.48,0,1.68,6.6,88.1,119
1778434515,33,10748,57,40.51,0,1.68,6.9,87.8,119
1778434517,45,10748,57,40.49,0,1.63,7.1,87.9,119
1778434519,33,10748,57,40.17,0,1.63,6.6,87.8,119
1778434521,34,10748,57,40.42,0,1.58,7.6,87.9,119
1778434523,46,10748,57,40.52,0,1.58,7.5,88.0,119
1778434525,43,10748,58,40.58,0,1.58,6.3,87.8,119
1778434527,45,10748,57,40.69,0,1.53,7.3,87.8,119
1778434529,41,10748,57,40.91,0,1.53,6.6,87.9,119
1778434531,42,10748,58,40.78,0,1.49,6.7,87.6,119
1778434533,33,10748,57,40.85,0,1.49,7.6,87.8,119
1778434535,41,10748,58,40.88,0,1.49,14.3,87.6,119
1778434537,40,10748,57,41.06,0,1.53,6.6,87.6,119
1778434539,23,10748,59,100.45,30,1.53,6.8,87.8,119
1778434541,29,10748,57,53.24,30,1.53,7.5,87.8,119
1778434542,30,10748,56,42.60,30,1.41,8.4,87.9,119
1778434544,36,10748,55,42.02,30,1.41,8.1,87.8,119
1778434546,36,10748,55,41.46,30,1.37,8.1,87.7,119
1778434548,22,10748,56,75.65,30,1.37,6.7,87.8,119
1778434550,22,10748,56,74.47,30,1.37,7.6,87.5,119
1778434552,19,10748,57,102.05,30,1.26,8.1,87.6,119
1778434553,37,10748,53,63.05,30,1.26,6.8,87.9,119
1778434555,29,10748,52,41.99,30,1.26,6.7,87.6,119
1778434557,32,10748,52,41.18,30,1.32,6.8,87.7,119
1778434559,34,10748,51,40.78,30,1.32,8.3,87.7,119
1778434560,40,10748,52,40.12,30,1.32,7.3,87.7,119
1778434562,32,10748,51,39.79,30,1.30,6.3,87.6,119
1778434564,39,10748,50,39.60,30,1.30,7.7,87.5,119
1778434566,37,10748,49,39.15,30,1.30,13.7,87.1,119
1778434567,37,10748,49,38.76,30,1.27,12.2,88.1,119
1778434569,34,10748,48,38.81,30,1.27,6.8,87.8,119
1778434571,7,10748,48,36.14,30,1.27,7.3,87.8,119
1778434573,23,10748,50,74.91,30,1.17,9.3,87.9,119
1778434574,22,10748,49,71.86,30,1.17,7.1,87.7,119
1778434576,23,10748,50,101.31,30,1.17,7.5,87.6,119
1778434578,36,10748,48,53.24,30,1.40,7.7,87.8,119
1778434580,34,10748,47,40.83,30,1.40,7.8,87.9,119
1778434581,30,10748,47,39.64,30,1.52,7.2,87.6,119
1778434583,32,10748,46,39.69,30,1.52,6.8,87.9,119
1778434585,40,10748,47,39.15,30,1.52,8.8,87.7,119
1778434587,31,10748,46,38.73,30,1.40,25.7,87.7,119
1778434588,36,10748,45,38.09,0,1.40,9.3,87.9,119
1778434590,33,10748,45,37.94,0,1.40,8.1,87.8,119
1778434592,32,10748,45,37.90,0,1.45,13.2,87.6,119
1778434594,33,10748,45,38.05,0,1.45,8.1,88.0,119
1778434595,34,10748,45,37.69,0,1.45,7.0,87.7,119
1778434597,33,10748,46,37.87,0,1.41,9.6,87.2,119
1778434599,32,10748,46,43.18,0,1.41,7.2,87.4,119
1778434601,36,10748,47,40.18,0,1.41,7.5,87.1,119
1778434602,34,10748,47,39.51,0,1.46,7.1,87.0,119
1778434604,29,10748,47,38.93,0,1.46,7.1,87.1,119
1778434606,40,10748,47,42.32,0,1.46,6.4,87.1,119
1778434608,29,10748,47,40.88,0,1.50,8.2,87.2,119
1778434609,30,10748,47,40.81,0,1.50,6.2,87.1,119
1778434611,32,10748,47,40.89,0,1.50,7.7,87.2,119
1778434613,30,10748,47,40.28,0,1.46,7.8,87.3,119
1778434615,19,10748,47,38.59,0,1.46,7.5,87.1,119
1778434616,19,10748,48,55.28,0,1.46,7.7,86.9,119
1778434618,32,10748,48,39.87,0,1.75,8.2,87.3,119
1778434620,30,10748,48,39.67,0,1.75,8.8,87.2,119
1778434621,36,10748,48,39.26,0,1.75,6.7,87.2,119
1778434623,31,10748,48,39.13,0,1.69,7.2,87.2,119
1778434625,32,10748,48,39.11,0,1.69,7.7,87.1,119
1778434627,24,10748,49,42.40,0,1.69,10.3,88.0,119
1778434628,24,10748,49,53.62,0,1.71,7.3,87.9,119
1778434630,31,10748,48,40.42,0,1.71,7.2,87.7,119
1778434632,39,10748,49,39.95,0,1.65,7.2,87.9,119
1778434634,33,10748,48,39.47,0,1.65,11.3,88.0,119
1778434635,32,10748,49,39.39,0,1.65,6.8,87.9,119
1778434637,45,10748,48,39.22,0,2.80,11.7,87.9,119
1778434639,32,10748,49,38.40,0,2.80,14.3,88.1,119
1778434641,38,10748,50,39.13,0,2.80,8.0,87.9,119
1778434642,39,10748,49,38.94,0,2.66,6.7,87.9,119
1778434644,46,10748,49,39.68,0,2.66,7.0,88.1,119
1778434646,33,10748,49,38.94,0,2.66,7.3,88.0,119
1778434648,33,10748,49,39.00,0,2.60,8.1,88.0,119
1778434649,39,10748,49,39.09,0,2.60,7.2,88.0,119
1778434651,44,10748,49,39.30,0,2.60,7.2,88.0,119
1778434653,41,10748,49,39.27,0,2.64,7.4,88.1,119
1778434655,33,10748,50,39.01,0,2.64,7.8,87.8,119
1778434656,33,10748,50,38.90,0,2.64,7.0,87.9,119
1778434658,46,10748,50,39.42,0,2.58,6.7,87.4,119
1778434660,34,10748,50,39.16,0,2.58,10.1,87.3,119
1778434662,34,10748,50,38.94,0,2.58,7.4,87.3,119
