ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778434783,34,10748,54,17.91,0,1.85,7.4,88.3,119
1778434785,3,10748,56,59.02,0,1.78,7.1,88.2,119
1778434787,29,10748,55,42.53,0,1.78,7.7,88.2,119
1778434788,36,10748,56,41.76,0,1.80,7.7,88.4,119
1778434790,39,10748,56,41.71,0,1.80,8.0,88.2,119
1778434792,39,10748,56,41.06,0,1.80,7.6,88.1,119
1778434794,36,10748,55,40.75,0,1.82,7.4,88.2,119
1778434796,41,10748,56,40.69,0,1.82,7.5,88.3,119
1778434797,33,10748,55,40.90,0,1.82,7.4,88.2,119
1778434799,36,10748,55,40.27,0,2.07,7.4,88.3,119
1778434801,45,10748,56,40.63,0,2.07,8.1,88.4,119
1778434803,45,10748,56,40.52,0,2.07,8.3,88.3,119
1778434804,34,10748,55,40.20,0,2.15,7.5,88.3,119
1778434806,39,10748,56,40.37,0,2.15,13.7,88.3,119
1778434808,34,10748,55,39.84,0,2.15,7.4,88.4,119
1778434810,39,10748,56,39.77,0,2.37,8.4,88.4,119
1778434811,35,10748,55,40.25,0,2.37,7.1,88.3,119
1778434813,35,10748,55,40.31,0,2.37,7.0,88.5,119
1778434815,42,10748,56,40.44,0,2.34,7.7,88.3,119
1778434817,43,10748,56,40.53,0,2.34,7.7,88.3,119
1778434818,35,10748,56,40.34,0,2.34,11.3,88.4,119
1778434820,44,10748,56,40.65,0,2.32,7.5,88.2,119
1778434822,38,10748,56,40.37,0,2.32,14.3,88.1,119
1778434824,34,10748,56,40.25,0,2.45,8.2,88.4,119
1778434825,33,10748,55,40.18,0,2.45,7.7,88.1,119
1778434827,22,10748,58,77.19,0,2.45,7.0,88.1,119
1778434829,40,10748,56,58.00,0,2.50,7.4,88.0,119
1778434831,30,10748,56,42.60,0,2.50,8.5,87.9,119
1778434832,22,10748,58,55.56,0,2.50,6.6,87.9,119
1778434834,22,10748,58,69.99,0,2.46,7.7,87.6,119
1778434836,22,10748,59,82.89,0,2.46,8.2,87.1,119
1778434838,20,10748,60,75.73,0,2.46,9.2,87.2,119
1778434839,35,10748,57,42.47,0,2.34,6.9,87.2,119
1778434841,30,10748,57,42.54,0,2.34,7.4,87.0,119
1778434843,30,10748,57,41.85,0,2.34,10.1,87.2,119
1778434845,31,10748,57,41.60,0,2.23,8.8,87.2,119
1778434846,31,10748,57,41.29,0,2.23,7.2,87.2,119
1778434848,32,10748,57,41.16,0,2.23,7.5,87.0,119
1778434850,44,10748,57,41.24,0,2.21,7.2,87.1,119
1778434852,33,10748,57,40.77,0,2.21,7.2,87.1,119
1778434854,33,10748,57,40.85,0,2.21,8.0,87.3,119
1778434855,44,10748,57,41.25,0,2.28,6.9,87.0,119
1778434857,46,10748,57,40.65,0,2.28,7.4,87.2,119
1778434859,32,10748,57,40.34,0,2.28,8.1,87.3,119
1778434860,36,10748,57,40.47,0,2.17,8.3,87.2,119
1778434862,38,10748,57,41.33,0,2.17,6.8,87.1,119
1778434864,36,10748,57,41.39,0,2.40,7.2,86.9,119
1778434866,33,10748,57,41.00,0,2.40,7.4,87.2,119
1778434867,40,10748,57,40.86,0,2.40,7.3,88.1,119
1778434869,32,10748,57,41.08,0,2.45,8.1,87.7,119
1778434871,34,10748,57,41.08,0,2.45,7.1,87.8,119
1778434873,33,10748,57,41.00,0,2.45,8.8,87.9,119
1778434874,36,10748,58,40.98,0,2.41,7.6,87.8,119
1778434876,38,10748,57,41.09,0,2.41,7.3,87.6,119
1778434878,38,10748,57,40.81,0,2.41,7.3,87.7,119
1778434880,40,10748,57,40.88,0,2.38,7.5,87.8,119
1778434881,44,10748,57,41.39,0,2.38,7.5,87.8,119
1778434883,42,10748,57,41.36,0,2.38,6.7,87.9,119
1778434885,45,10748,57,41.38,0,2.27,7.0,87.8,119
1778434887,44,10748,57,41.13,0,2.27,7.0,87.8,119
1778434888,38,10748,57,40.90,0,2.27,7.3,87.8,119
1778434890,41,10748,57,41.18,0,2.17,7.0,87.6,119
1778434892,37,10748,57,41.22,0,2.17,7.8,87.7,119
1778434894,34,10748,58,41.18,0,2.17,8.3,87.7,119
1778434895,41,10748,57,40.85,0,2.15,6.8,87.8,119
