ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778434902,56,10748,56,20.10,0,2.06,6.6,87.2,119
1778434904,22,10748,59,77.60,0,2.06,6.9,87.1,119
1778434906,33,10748,58,52.27,0,1.97,7.8,87.2,119
1778434908,28,10748,58,42.80,0,1.97,8.3,87.4,119
1778434909,34,10748,57,42.40,0,1.98,7.6,87.2,119
1778434911,39,10748,57,41.94,0,1.98,6.7,87.3,119
1778434913,31,10748,58,41.60,0,1.98,11.3,87.4,119
1778434915,30,10748,58,41.52,0,2.06,7.7,87.3,119
1778434916,41,10748,58,41.33,0,2.06,7.6,87.3,119
1778434918,37,10748,58,40.99,0,2.06,7.4,87.3,119
1778434920,41,10748,58,41.01,0,1.97,6.6,87.3,119
1778434922,46,10748,57,41.18,0,1.97,8.2,87.2,119
1778434923,32,10748,58,40.63,0,1.97,10.1,87.4,119
1778434925,42,10748,57,40.91,0,1.98,7.8,87.3,119
1778434927,33,10748,57,40.54,0,1.98,6.7,88.1,119
1778434929,41,10748,57,40.75,0,1.98,8.2,88.1,119
1778434930,34,10748,58,40.69,0,1.98,6.6,87.7,119
1778434932,41,10748,58,40.75,0,1.98,8.5,87.8,119
1778434934,38,10748,57,40.91,0,1.98,9.6,88.1,119
1778434935,44,10748,57,40.66,0,1.98,13.2,87.8,119
1778434937,33,10748,58,40.62,0,1.98,7.3,87.8,119
1778434939,43,10748,57,40.79,0,1.98,7.0,88.1,119
1778434941,32,10748,58,40.49,0,1.90,6.5,87.9,119
1778434943,38,10748,57,41.00,0,1.90,8.2,87.9,119
1778434944,33,10748,58,41.01,0,1.90,6.8,87.8,119
1778434946,32,10748,58,41.07,0,1.75,7.8,87.7,119
1778434948,35,10748,58,41.21,0,1.75,7.8,87.8,119
1778434950,35,10748,58,40.89,0,1.85,7.0,87.8,119
1778434952,35,10748,58,40.81,0,1.85,6.6,87.8,119
1778434954,42,10748,58,41.20,0,1.85,7.3,87.9,119
1778434956,40,10748,58,41.10,0,1.86,7.5,87.8,119
1778434957,33,10748,58,41.36,0,1.86,10.4,87.1,119
1778434959,33,10748,58,41.41,0,1.86,7.2,87.2,119
1778434961,46,10748,58,41.49,0,1.79,7.6,87.2,119
1778434963,46,10748,58,41.19,0,1.79,6.8,87.1,119
1778434964,45,10748,58,41.11,0,1.79,7.2,87.3,119
1778434966,40,10748,58,41.01,0,2.13,7.2,87.2,119
1778434968,34,10748,58,41.31,0,2.13,9.1,87.3,119
1778434969,33,10748,58,41.25,0,2.13,7.7,87.2,119
1778434971,45,10748,58,41.26,0,2.04,6.7,87.2,119
1778434973,37,10748,58,40.85,0,2.04,7.3,87.2,119
