ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778435376,32,10732,51,15.93,0,1.87,7.9,87.9,119
1778435378,22,10732,55,71.99,0,1.87,7.2,88.2,119
1778435380,41,10732,52,45.10,0,1.88,6.5,88.1,119
1778435382,32,10732,53,40.73,0,1.88,8.7,88.1,119
1778435383,42,10732,52,40.29,0,1.88,8.5,88.2,119
1778435385,30,10732,53,39.76,0,2.13,6.4,88.2,119
1778435387,32,10732,52,39.38,0,2.13,9.3,88.2,119
1778435389,37,10732,52,39.06,0,2.13,8.7,88.4,119
1778435390,38,10732,52,39.00,0,2.28,7.9,88.3,119
1778435392,42,10732,52,39.06,0,2.28,7.2,88.2,119
1778435394,37,10732,53,38.99,0,2.50,7.2,88.2,119
1778435396,34,10732,53,38.94,0,2.50,7.5,88.3,119
1778435397,46,10732,52,38.98,0,2.50,13.5,88.2,119
1778435399,32,10732,53,38.70,0,2.54,7.5,88.2,119
1778435401,40,10732,53,38.83,0,2.54,6.9,88.5,119
1778435403,39,10732,53,38.96,0,2.54,8.8,88.5,119
1778435404,34,10732,53,38.99,0,2.50,12.7,88.3,119
1778435406,34,10732,53,39.01,0,2.50,17.0,88.1,119
1778435408,33,10732,54,39.18,0,2.50,9.2,88.4,119
1778435410,33,10732,53,39.41,0,2.54,7.9,88.2,119
1778435411,33,10732,54,39.45,0,2.54,7.5,88.1,119
1778435413,43,10732,53,39.85,0,2.54,7.4,88.2,119
1778435415,33,10732,53,39.69,0,2.65,6.3,88.1,119
1778435417,34,10732,53,39.42,0,2.65,8.5,88.0,119
1778435418,33,10732,53,39.53,0,2.65,6.8,88.0,119
1778435420,37,10732,54,39.77,0,2.52,14.2,87.9,119
1778435422,34,10732,53,39.81,0,2.52,13.3,88.0,119
1778435424,45,10732,53,39.81,0,2.52,7.6,88.0,119
1778435425,32,10732,53,39.52,0,2.40,7.2,87.9,119
1778435427,33,10732,54,39.53,0,2.40,7.1,87.8,119
1778435429,34,10732,53,39.63,0,2.40,8.7,88.1,119
1778435431,40,10732,54,39.72,0,2.29,7.8,87.6,119
1778435432,42,10732,53,39.50,0,2.29,7.2,87.6,119
1778435434,43,10732,53,39.45,0,2.42,7.8,87.7,119
1778435436,37,10732,53,39.03,0,2.42,6.5,87.7,119
1778435438,38,10732,53,39.65,0,2.42,7.2,87.1,119
1778435439,41,10732,53,39.41,0,2.47,7.7,87.1,119
1778435441,44,10732,54,39.82,0,2.47,12.4,87.1,119
1778435443,39,10732,54,39.89,0,2.47,9.6,87.4,119
1778435444,37,10732,54,39.85,0,2.43,6.6,87.1,119
1778435446,23,10732,56,88.13,0,2.43,7.9,87.2,119
1778435448,38,10732,55,62.82,0,2.43,8.5,87.3,119
1778435450,33,10732,55,42.31,0,2.48,6.6,87.0,119
1778435451,31,10732,55,41.54,0,2.48,7.3,87.0,119
1778435453,31,10732,54,40.90,0,2.48,7.7,87.1,119
1778435455,31,10732,54,40.68,0,2.28,7.2,87.0,119
1778435457,31,10732,54,40.37,0,2.28,10.3,87.0,119
1778435458,33,10732,55,40.05,0,2.28,7.7,87.1,119
1778435460,32,10732,54,39.68,0,2.26,12.6,87.2,119
1778435462,39,10732,55,39.90,0,2.26,14.1,87.2,119
1778435463,34,10732,55,39.86,0,2.26,7.8,87.2,119
1778435465,33,10732,55,40.06,0,2.16,7.2,87.0,119
1778435467,33,10732,55,40.17,0,2.16,7.0,87.8,119
