ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778435570,31,10748,56,23.25,0,2.27,7.7,87.1,119
1778435572,22,10748,59,76.15,0,2.17,11.5,87.2,119
1778435573,38,10748,58,44.35,0,2.17,8.1,87.4,119
1778435575,29,10748,57,42.41,0,2.17,7.7,87.3,119
1778435577,30,10748,57,42.05,0,2.15,6.6,87.3,119
1778435579,43,10748,58,42.00,0,2.15,7.6,87.4,119
1778435580,30,10748,58,42.03,0,2.14,6.7,87.2,119
1778435582,38,10748,58,41.44,0,2.14,11.1,87.0,119
1778435584,40,10748,58,41.12,0,2.14,6.9,87.3,119
1778435586,41,10748,58,41.09,0,2.13,8.2,87.0,119
1778435587,39,10748,58,40.88,0,2.13,8.5,88.0,119
1778435589,44,10748,58,41.02,0,2.13,7.8,88.0,119
1778435591,34,10748,57,40.50,0,2.04,7.2,87.8,119
1778435593,33,10748,57,40.71,0,2.04,8.5,87.9,119
1778435594,42,10748,58,41.01,0,2.04,7.4,87.9,119
1778435596,33,10748,57,40.86,0,2.11,7.5,87.7,119
1778435598,43,10748,58,40.90,0,2.11,7.7,87.9,119
1778435600,45,10748,58,40.99,0,2.11,7.8,87.8,119
1778435601,34,10748,57,40.90,0,2.19,7.3,87.9,119
1778435603,40,10748,58,41.15,0,2.19,7.3,87.9,119
1778435605,39,10748,58,41.10,0,2.19,8.2,87.9,119
1778435607,34,10748,58,41.12,0,2.17,7.5,87.9,119
1778435608,40,10748,58,41.58,0,2.17,8.0,87.9,119
1778435610,40,10748,58,41.10,0,2.17,7.6,87.7,119
1778435612,33,10748,58,41.43,0,2.08,7.3,87.7,119
1778435614,46,10748,58,41.62,0,2.08,7.0,87.8,119
1778435616,45,10748,58,41.62,0,2.08,7.3,87.8,119
1778435617,34,10748,58,41.49,0,1.99,6.9,87.0,119
1778435619,34,10748,58,41.41,0,1.99,7.2,87.2,119
1778435621,38,10748,58,41.38,0,1.91,7.6,87.0,119
1778435623,39,10748,58,41.25,0,1.91,8.8,87.1,119
1778435624,42,10748,58,41.37,0,1.91,7.3,87.1,119
1778435626,35,10748,58,40.96,0,1.84,7.7,87.0,119
1778435628,34,10748,58,41.22,0,1.84,8.2,87.1,119
1778435630,34,10748,58,41.12,0,1.84,9.0,87.1,119
1778435631,32,10748,58,40.86,0,1.77,6.7,87.0,119
1778435633,35,10748,58,41.29,0,1.77,7.0,87.3,119
