ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778436049,32,10748,55,18.27,0,1.88,7.4,87.4,119
1778436051,22,10748,59,75.02,0,1.81,7.2,87.4,119
1778436052,40,10748,57,49.51,0,1.81,9.5,87.5,119
1778436054,37,10748,58,42.51,0,1.81,6.9,87.6,119
1778436056,32,10748,58,41.90,0,1.75,7.7,87.5,119
1778436058,40,10748,58,41.63,0,1.75,8.2,87.5,119
1778436059,30,10748,57,41.32,0,1.75,6.2,87.5,119
1778436061,37,10748,57,41.49,0,1.69,7.8,87.5,119
1778436063,32,10748,57,41.11,0,1.69,9.8,87.6,119
1778436065,32,10748,57,40.66,0,1.69,7.4,87.4,119
1778436066,37,10748,57,41.00,0,1.63,17.4,88.2,119
1778436068,33,10748,57,40.64,0,1.63,6.5,88.5,119
1778436070,33,10748,57,40.47,0,1.58,7.4,88.2,119
1778436072,40,10748,58,40.99,0,1.58,8.0,88.2,119
1778436073,36,10748,57,40.58,0,1.58,6.9,88.3,119
1778436075,34,10748,57,40.50,0,1.53,14.0,88.2,119
1778436077,35,10748,57,40.39,0,1.53,6.7,88.2,119
1778436079,39,10748,57,40.63,0,1.53,7.3,88.1,119
1778436080,33,10748,57,40.51,0,1.73,7.6,88.1,119
1778436082,34,10748,57,40.63,0,1.73,7.5,87.9,119
1778436084,33,10748,57,40.69,0,1.73,8.6,88.0,119
1778436086,34,10748,57,40.40,0,1.67,7.3,88.0,119
1778436087,41,10748,57,40.94,0,1.67,7.5,88.0,119
1778436089,35,10748,58,40.82,0,1.67,8.4,88.1,119
1778436091,44,10748,57,41.01,0,1.54,7.0,88.0,119
1778436093,34,10748,57,40.92,0,1.54,7.8,87.8,119
1778436094,39,10748,58,41.33,0,1.54,6.6,87.9,119
1778436096,39,10748,57,41.01,0,1.49,7.7,87.9,119
1778436098,44,10748,58,41.06,0,1.49,8.3,87.3,119
1778436099,33,10748,57,40.86,0,1.49,7.6,87.0,119
1778436101,32,10748,57,41.41,0,1.45,7.4,87.2,119
