ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778436544,32,10748,54,18.00,0,1.38,8.3,87.4,119
1778436545,22,10748,57,76.03,0,1.43,15.0,88.2,119
1778436547,31,10748,56,51.58,0,1.43,6.6,88.0,119
1778436549,41,10748,56,42.23,0,1.43,6.7,88.2,119
1778436551,33,10748,56,41.70,0,1.48,8.8,88.0,119
1778436552,35,10748,56,41.64,0,1.48,7.6,87.9,119
1778436554,36,10748,55,41.30,0,1.48,6.5,87.9,119
1778436556,32,10748,55,40.28,0,1.44,8.4,88.1,119
1778436558,45,10748,56,40.53,0,1.44,8.2,88.1,119
1778436559,41,10748,55,40.77,0,1.48,7.4,88.0,119
1778436561,42,10748,55,40.72,0,1.48,7.6,88.0,119
1778436563,45,10748,56,40.84,0,1.48,7.7,88.1,119
1778436565,35,10748,55,40.52,0,1.44,8.2,88.0,119
1778436566,37,10748,55,40.74,0,1.44,7.2,87.9,119
1778436568,33,10748,55,40.44,0,1.44,9.6,87.9,119
1778436570,43,10748,56,41.02,0,1.49,6.7,87.9,119
1778436572,33,10748,55,40.80,0,1.49,8.4,88.0,119
1778436573,46,10748,56,41.06,0,1.49,7.3,88.1,119
1778436575,32,10748,55,40.61,0,1.53,9.8,87.9,119
1778436577,42,10748,56,40.34,0,1.53,7.6,87.9,119
1778436579,47,10748,56,40.59,0,1.53,7.4,88.0,119
1778436580,34,10748,55,40.77,0,1.65,7.5,87.8,119
1778436582,33,10748,55,40.00,0,1.65,6.7,87.7,119
1778436584,43,10747,56,40.79,0,1.65,6.4,87.9,119
1778436586,42,10747,56,40.63,0,1.67,7.9,87.8,119
1778436588,37,10747,56,40.41,0,1.67,7.7,87.8,119
1778436589,34,10747,56,40.94,0,1.67,6.3,87.8,119
1778436591,33,10747,56,40.84,0,1.62,8.2,87.9,119
1778436593,38,10746,56,40.69,0,1.62,8.5,88.0,119
1778436595,38,10746,56,40.98,0,1.73,8.2,87.7,119
1778436596,38,10746,56,40.72,0,1.73,6.9,87.6,119
1778436598,36,10746,56,40.74,0,1.73,7.2,87.8,119
1778436600,39,10746,56,40.83,0,1.83,7.7,87.7,119
1778436602,34,10746,56,40.78,0,1.83,7.4,88.0,119
1778436603,33,10746,56,41.06,0,1.83,6.5,87.9,119
1778436605,36,10746,56,40.71,0,1.93,7.9,87.8,119
1778436607,33,10746,56,40.81,0,1.93,7.4,87.8,119
1778436608,41,10746,57,40.82,0,1.93,7.8,87.9,119
1778436610,33,10746,56,40.75,0,2.01,7.7,87.7,119
1778436612,31,10746,56,41.12,0,2.01,6.6,87.8,119
1778436614,19,10746,60,86.68,0,2.01,10.5,87.9,119
1778436615,30,10746,57,53.62,0,2.01,6.9,87.8,119
1778436617,41,10746,57,42.45,0,2.01,6.9,87.9,119
1778436619,41,10746,57,42.50,0,2.01,8.4,88.0,119
1778436621,43,10746,57,42.06,0,2.17,8.4,87.9,119
1778436622,37,10746,57,41.33,0,2.17,7.1,87.8,119
1778436624,37,10746,57,40.94,0,2.17,7.1,88.0,119
1778436626,29,10746,57,39.72,0,2.16,7.4,87.9,119
1778436628,38,10746,57,42.45,0,2.16,9.1,88.0,119
1778436629,42,10746,57,42.57,0,2.16,11.8,87.9,119
1778436631,35,10746,57,41.65,0,2.14,7.0,87.7,119
1778436633,31,10746,56,41.56,0,2.14,8.1,88.0,119
1778436635,34,10746,57,41.42,0,2.14,7.8,87.8,119
1778436636,36,10746,57,41.18,0,2.29,7.7,87.2,119
1778436638,36,10746,57,40.59,0,2.29,6.9,87.3,119
1778436640,34,10746,57,40.37,0,2.19,7.5,87.1,119
1778436642,44,10746,57,40.90,0,2.19,7.7,87.1,119
1778436643,20,10746,59,75.12,0,2.19,7.2,87.2,119
1778436645,38,10746,58,62.82,0,2.09,7.5,87.1,119
1778436647,18,10746,61,75.85,0,2.09,8.0,87.2,119
1778436648,30,10746,58,55.34,0,2.09,7.4,87.3,119
1778436650,30,10746,57,43.20,0,2.08,7.5,87.1,119
1778436652,37,10746,58,42.94,0,2.08,15.7,87.3,119
1778436654,35,10746,58,42.71,0,2.08,7.5,87.4,119
1778436655,35,10746,58,42.40,0,2.00,6.9,87.3,119
1778436657,44,10746,58,42.46,0,2.00,7.1,87.3,119
1778436659,32,10746,58,41.64,0,2.00,7.7,87.4,119
1778436661,42,10746,58,41.09,0,1.84,10.1,87.3,119
1778436662,47,10746,58,41.39,0,1.84,6.2,87.2,119
1778436664,38,10746,58,41.74,0,1.84,7.8,87.3,119
1778436666,37,10746,58,41.55,0,1.85,7.0,87.1,119
1778436667,44,10746,58,41.80,0,1.85,8.7,88.0,119
1778436669,41,10746,58,41.45,0,1.85,7.6,88.2,119
1778436671,43,10746,58,41.58,0,1.94,7.5,88.0,119
1778436673,41,10746,58,41.45,0,1.94,9.3,88.1,119
1778436674,40,10746,58,41.67,0,1.94,7.2,88.0,119
1778436676,45,10746,57,41.60,0,2.11,7.7,87.9,119
1778436678,46,10746,57,41.48,0,2.11,7.2,88.0,119
1778436680,37,10746,58,41.39,0,2.11,7.9,87.8,119
1778436681,33,10746,58,41.40,0,2.18,7.0,88.1,119
1778436683,42,10746,58,41.53,0,2.18,6.8,88.2,119
1778436685,20,10746,58,40.69,0,2.18,7.7,88.1,119
1778436687,24,10746,58,54.81,0,2.16,7.9,88.0,119
1778436688,38,10746,58,43.47,0,2.16,8.2,88.1,119
1778436690,43,10746,58,43.24,0,2.16,6.8,87.9,119
1778436692,40,10746,58,43.05,0,2.07,7.8,87.9,119
1778436694,40,10746,58,42.68,0,2.07,8.5,88.0,119
1778436695,31,10746,58,42.24,0,1.90,6.6,88.0,119
1778436697,44,10746,58,42.24,0,1.90,6.2,87.3,119
1778436699,36,10746,59,41.78,0,1.90,8.2,87.4,119
1778436701,35,10746,58,41.95,0,1.83,7.6,87.3,119
1778436702,33,10746,58,41.68,0,1.83,6.8,87.3,119
1778436704,44,10746,58,41.65,0,1.83,7.4,87.3,119
1778436706,40,10746,58,41.47,0,1.84,6.8,87.2,119
1778436708,35,10746,59,42.02,0,1.84,8.2,87.2,119
1778436709,33,10746,58,42.19,0,1.84,6.4,87.4,119
1778436711,34,10746,59,42.54,0,1.86,7.6,87.3,119
1778436713,47,10746,58,42.13,0,1.86,8.3,87.3,119
