ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778437338,33,10732,49,16.82,0,1.93,7.7,88.0,119
1778437340,8,10732,52,69.57,0,1.93,6.2,88.0,119
1778437342,16,10732,50,48.58,0,1.94,6.7,88.1,119
1778437343,22,10732,54,71.87,0,1.94,7.0,88.2,119
1778437345,35,10732,51,41.09,0,1.94,7.7,88.0,119
1778437347,30,10732,51,40.42,0,2.10,7.5,88.0,119
1778437349,38,10732,51,40.35,0,2.10,8.5,88.3,119
1778437351,33,10732,52,39.89,0,2.10,7.5,88.2,119
1778437352,32,10732,51,39.50,0,1.93,7.7,88.1,119
1778437354,31,10732,52,39.18,0,1.93,7.0,88.0,119
1778437356,33,10732,52,39.06,0,1.93,8.5,87.9,119
1778437358,33,10732,51,38.93,0,1.86,8.8,87.4,119
1778437360,44,10732,52,39.26,0,1.86,7.2,87.3,119
1778437361,33,10732,52,39.11,0,1.87,6.8,87.3,119
1778437363,41,10732,52,39.37,0,1.87,7.4,87.5,119
1778437365,33,10732,51,38.78,0,1.87,7.2,87.3,119
1778437367,46,10732,52,39.21,0,1.80,8.0,87.2,119
1778437368,39,10732,52,38.84,0,1.80,7.6,87.2,119
1778437370,34,10732,52,39.13,0,1.80,7.4,87.1,119
1778437372,76,10732,54,36.36,0,1.65,7.2,87.2,119
1778437373,23,10732,53,53.50,0,1.65,6.9,87.3,119
1778437375,29,10732,52,41.38,0,1.65,8.2,87.1,119
1778437377,34,10732,53,40.53,0,1.76,7.2,87.3,119
1778437379,43,10732,53,40.81,0,1.76,7.7,87.4,119
1778437380,35,10732,52,40.31,0,1.76,6.9,87.1,119
1778437382,36,10732,52,39.98,0,1.78,6.6,86.8,119
1778437384,36,10732,52,39.88,0,1.78,7.7,87.1,119
1778437386,22,10732,55,70.57,0,1.78,6.8,87.0,119
1778437387,5,10732,52,41.61,0,1.88,10.4,87.7,119
1778437389,22,10732,55,72.63,0,1.88,7.5,87.5,119
1778437391,29,10732,53,41.70,0,1.88,7.0,87.5,119
1778437393,30,10732,53,41.55,0,1.89,7.9,87.5,119
1778437394,32,10732,53,40.96,0,1.89,7.2,87.4,119
1778437396,40,10732,54,40.76,0,1.89,7.5,87.4,119
1778437398,31,10732,53,40.29,0,1.90,7.8,87.7,119
1778437400,43,10732,53,40.03,0,1.90,8.4,87.5,119
1778437401,43,10732,53,40.15,0,1.90,6.1,87.5,119
1778437403,45,10732,53,40.01,0,1.82,7.5,87.7,119
1778437405,32,10732,53,39.49,0,1.82,7.7,87.7,119
1778437407,33,10732,53,39.42,0,1.82,7.7,87.7,119
1778437408,41,10732,53,39.39,0,1.84,7.2,87.6,119
1778437410,33,10732,53,39.52,0,1.84,6.6,87.6,119
1778437412,34,10732,53,39.58,0,1.85,8.3,87.7,119
1778437413,33,10732,53,39.83,0,1.85,7.0,87.8,119
1778437415,34,10732,53,39.96,0,1.85,7.2,87.6,119
1778437417,36,10732,54,39.87,0,1.86,7.2,86.9,119
1778437419,34,10732,53,39.94,0,1.86,6.8,87.2,119
1778437420,33,10732,53,39.88,0,1.86,7.4,87.0,119
1778437422,34,10732,53,39.71,0,1.95,7.7,87.1,119
1778437424,32,10732,54,39.97,0,1.95,7.5,87.2,119
1778437426,33,10732,54,39.98,0,1.95,7.5,87.1,119
1778437427,32,10732,54,37.53,0,1.96,7.2,87.0,119
1778437429,41,10732,54,41.08,0,1.96,7.7,87.0,119
1778437431,42,10732,54,41.15,0,1.96,6.8,87.0,119
1778437433,35,10732,54,40.70,0,1.96,7.7,86.9,119
1778437434,31,10732,54,40.37,0,1.96,7.2,87.0,119
1778437436,32,10732,54,39.93,0,1.96,7.2,87.1,119
1778437438,32,10732,54,39.69,0,1.88,24.7,87.3,119
1778437440,33,10732,54,39.51,0,1.88,8.3,87.1,119
1778437441,43,10732,54,40.00,0,1.88,7.5,87.3,119
1778437443,34,10732,54,39.92,0,1.89,10.1,87.4,119
1778437445,37,10732,54,39.92,0,1.89,7.3,87.3,119
1778437447,45,10732,54,40.01,0,1.89,16.8,88.4,119
