ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778437453,55,10732,53,21.31,0,1.83,6.9,88.0,119
1778437455,22,10732,56,74.33,0,1.83,8.5,88.1,119
1778437457,30,10732,55,41.94,0,1.83,6.8,88.1,119
1778437459,34,10732,54,41.45,0,1.77,8.6,88.1,119
1778437460,42,10732,55,41.46,0,1.77,7.4,88.0,119
1778437462,32,10732,55,41.01,0,1.79,7.6,87.9,119
1778437464,42,10732,55,40.66,0,1.79,7.2,88.1,119
1778437466,37,10732,55,40.61,0,1.79,8.0,88.0,119
1778437468,31,10732,55,40.00,0,1.72,7.6,87.9,119
1778437469,38,10732,54,39.98,0,1.72,7.9,87.9,119
1778437471,33,10732,55,39.53,0,1.72,7.2,87.9,119
1778437473,45,10732,55,39.43,0,1.75,8.2,88.1,119
1778437475,33,10732,55,39.62,0,1.75,7.8,88.1,119
1778437476,46,10732,55,40.06,0,1.75,6.9,87.9,119
1778437478,34,10732,55,39.78,0,1.77,6.7,88.1,119
1778437480,41,10732,55,39.48,0,1.77,6.7,87.9,119
1778437482,32,10732,55,39.58,0,1.77,7.7,87.9,119
1778437483,38,10732,55,39.82,0,1.70,7.5,88.2,119
1778437485,42,10732,55,40.20,0,1.70,7.7,88.1,119
1778437487,33,10732,55,39.99,0,1.70,7.2,88.1,119
1778437489,39,10732,55,40.14,0,1.65,7.1,88.1,119
1778437491,34,10732,55,40.12,0,1.65,8.6,88.1,119
1778437492,33,10732,55,40.37,0,2.08,7.5,88.0,119
1778437494,42,10732,56,40.51,0,2.08,6.5,88.1,119
1778437496,34,10732,56,40.33,0,2.08,7.2,87.9,119
1778437498,34,10732,55,40.49,0,1.99,9.3,88.0,119
1778437499,33,10732,56,40.30,0,1.99,6.7,87.9,119
1778437501,39,10732,56,40.50,0,1.99,6.7,88.0,119
1778437503,36,10732,56,40.42,0,1.99,7.6,87.9,119
1778437505,32,10732,56,40.53,0,1.99,7.2,87.8,119
1778437506,35,10732,56,40.69,0,1.99,6.6,87.7,119
1778437508,42,10732,56,40.65,0,1.99,6.3,87.8,119
1778437510,39,10732,56,40.47,0,1.99,7.6,87.9,119
1778437512,43,10732,55,40.47,0,1.99,7.8,87.9,119
1778437513,41,10732,56,40.78,0,1.99,9.3,87.9,119
1778437515,32,10732,56,40.68,0,1.99,6.4,87.8,119
1778437517,43,10732,55,41.25,0,1.99,6.5,87.8,119
1778437519,33,10732,55,40.27,0,1.83,7.3,88.0,119
1778437521,39,10732,55,40.44,0,1.83,7.4,87.7,119
1778437522,37,10732,55,40.44,0,1.83,8.0,87.8,119
1778437524,45,10732,56,40.87,0,1.76,7.1,87.8,119
1778437526,43,10732,55,40.46,0,1.76,7.2,87.7,119
1778437528,45,10732,55,40.77,0,1.76,7.8,87.8,119
1778437529,42,10732,55,40.89,0,1.70,7.5,88.0,119
1778437531,33,10732,56,40.31,0,1.70,9.4,87.7,119
1778437533,32,10732,56,40.84,0,2.13,7.8,87.7,119
1778437535,33,10732,56,41.04,0,2.13,7.8,87.6,119
1778437536,33,10732,56,41.12,0,2.13,6.9,87.5,119
1778437538,42,10732,56,41.11,0,2.12,7.2,87.6,119
1778437540,35,10732,56,40.41,0,2.12,6.8,87.4,119
1778437542,37,10732,57,41.06,0,2.12,6.8,87.4,119
1778437543,38,10732,56,40.66,0,2.11,7.0,87.7,119
1778437545,36,10732,56,40.46,0,2.11,7.5,87.5,119
1778437547,80,10732,61,46.04,0,2.11,7.3,87.7,119
1778437548,23,10732,60,80.28,0,2.02,7.5,87.8,119
1778437550,39,10732,57,48.68,0,2.02,7.2,87.4,119
1778437552,40,10732,57,44.83,0,2.02,8.5,87.4,119
1778437554,22,10732,58,53.10,0,1.94,11.2,87.5,119
1778437555,37,10732,58,68.27,0,1.94,6.7,87.6,119
1778437557,31,10732,57,42.55,0,1.94,6.7,87.6,119
1778437559,100,10732,61,44.33,0,1.94,7.3,87.6,119
1778437561,24,10732,59,76.97,0,1.94,7.0,87.5,119
1778437562,39,10732,58,44.08,0,1.94,7.0,87.5,119
1778437564,30,10732,58,43.45,0,1.95,7.5,87.5,119
1778437566,32,10732,57,42.93,0,1.95,8.0,86.9,119
1778437568,31,10732,57,42.44,0,1.95,12.8,87.6,119
1778437569,43,10732,58,42.93,0,1.95,7.3,87.7,119
1778437571,41,10732,57,42.47,0,1.95,8.7,87.6,119
1778437573,45,10732,58,42.32,0,1.95,8.5,87.7,119
1778437575,38,10732,58,41.64,0,1.87,7.0,87.7,119
1778437576,37,10732,57,42.07,0,1.87,6.8,87.6,119
1778437578,43,10732,58,41.83,0,1.87,8.0,87.6,119
1778437580,89,10732,63,108.44,0,1.88,7.5,87.5,119
1778437581,24,10732,60,110.35,30,1.88,6.7,87.6,119
1778437583,36,10732,58,56.70,30,1.88,7.5,87.8,119
1778437585,36,10732,57,43.88,30,1.97,8.1,87.6,119
