ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778438602,33,10798,53,21.06,0,2.03,6.7,87.9,119
1778438603,22,10798,58,76.30,0,2.10,6.2,88.1,119
1778438605,30,10798,56,51.40,0,2.10,9.4,88.0,119
1778438607,29,10798,56,42.07,0,2.10,7.7,88.0,119
1778438609,38,10798,56,41.22,0,2.02,6.8,88.2,119
1778438610,33,10798,56,41.08,0,2.02,7.2,87.9,119
1778438612,42,10798,55,41.20,0,2.02,7.5,87.9,119
1778438614,32,10798,55,40.30,0,1.93,7.7,88.1,119
1778438615,38,10798,56,40.23,0,1.93,6.1,88.0,119
1778438617,36,10798,56,39.89,0,1.93,7.1,87.3,119
1778438619,33,10798,55,39.96,0,1.86,8.4,87.3,119
1778438621,42,10798,56,39.96,0,1.86,8.1,87.3,119
1778438622,32,10798,55,39.70,0,1.86,6.4,87.3,119
1778438624,43,10773,55,40.00,0,1.79,6.7,87.2,119
1778438626,34,10761,55,39.98,0,1.79,6.2,87.3,119
1778438628,38,10761,55,40.11,0,1.79,7.9,87.3,119
1778438629,43,10761,56,40.54,0,1.73,6.3,87.3,119
1778438631,39,10761,55,40.39,0,1.73,7.2,87.3,119
1778438633,34,10761,55,40.52,0,1.75,7.8,87.6,119
1778438635,42,10761,56,40.14,0,1.75,7.4,87.5,119
1778438636,42,10761,56,40.43,0,1.75,6.9,87.2,119
1778438638,34,10761,55,40.44,0,1.69,7.2,87.3,119
1778438640,37,10761,56,40.54,0,1.69,7.1,87.3,119
1778438642,42,10761,56,40.32,0,1.69,6.7,87.3,119
1778438643,37,10761,55,40.48,0,1.79,8.7,87.5,119
1778438645,33,10761,55,40.41,0,1.79,16.7,87.9,119
1778438647,33,10761,56,40.46,0,1.79,18.1,88.4,119
1778438649,38,10761,56,40.38,0,1.73,8.6,88.3,119
1778438650,41,10761,56,41.18,0,1.73,6.9,88.0,119
1778438652,46,10761,56,40.81,0,1.73,7.5,87.9,119
1778438654,33,10761,55,40.52,0,1.67,7.6,88.1,119
1778438656,40,10761,56,40.55,0,1.67,6.8,88.0,119
1778438657,33,10761,56,40.43,0,1.67,6.8,88.0,119
1778438659,39,10761,56,40.17,0,1.70,9.6,88.0,119
1778438661,41,10761,56,40.36,0,1.70,6.4,88.0,119
1778438663,46,10761,56,40.78,0,1.70,12.5,88.0,119
1778438664,37,10761,56,40.75,0,1.64,6.9,87.9,119
1778438666,33,10761,56,40.77,0,1.64,10.5,87.9,119
1778438668,36,10761,56,40.98,0,1.64,8.4,88.1,119
1778438670,43,10761,57,40.71,0,1.59,7.2,88.0,119
1778438671,34,10761,56,40.65,0,1.59,7.5,88.0,119
1778438673,33,10761,56,40.59,0,1.59,7.1,88.1,119
1778438675,46,10761,56,40.73,0,1.78,7.4,88.0,119
1778438677,44,10761,56,40.80,0,1.78,7.5,87.9,119
1778438678,38,10761,56,40.64,0,1.72,7.4,88.0,119
1778438680,39,10761,56,40.97,0,1.72,7.2,87.8,119
1778438682,33,10761,56,40.68,0,1.72,8.1,87.9,119
1778438684,45,10761,56,41.01,0,1.74,9.9,88.0,119
1778438685,33,10761,56,40.50,0,1.74,8.2,87.9,119
1778438687,44,10761,57,40.89,0,1.74,7.5,87.9,119
1778438689,33,10761,56,40.67,0,1.76,7.7,88.0,119
1778438691,32,10761,56,41.20,0,1.76,6.5,87.9,119
1778438692,44,10761,57,41.37,0,1.76,6.5,87.9,119
1778438694,45,10761,57,41.16,0,1.78,6.5,87.8,119
1778438696,32,10761,56,41.24,0,1.78,6.5,87.9,119
1778438698,34,10761,56,41.14,0,1.78,8.8,88.0,119
1778438699,45,10761,57,41.01,0,1.64,7.4,87.9,119
1778438701,32,10761,57,40.52,0,1.64,6.2,88.0,119
1778438703,33,10761,56,40.85,0,1.64,7.4,87.9,119
1778438705,34,10761,56,40.73,0,1.59,8.4,87.8,119
1778438707,33,10761,56,40.90,0,1.59,7.4,87.8,119
1778438709,34,10761,56,40.85,0,1.54,7.4,87.9,119
1778438711,40,10761,57,41.06,0,1.54,6.6,87.7,119
1778438713,33,10761,56,40.84,0,1.54,8.6,87.9,119
1778438714,39,10761,57,41.19,0,1.42,6.6,87.7,119
1778438716,37,10761,57,41.06,0,1.42,7.6,87.7,119
1778438718,41,10761,57,41.27,0,1.42,7.6,87.9,119
1778438720,37,10761,57,41.01,0,1.46,7.8,87.7,119
1778438722,34,10761,56,40.75,0,1.46,6.1,87.7,119
1778438723,34,10761,56,41.06,0,1.46,6.7,87.8,119
1778438725,42,10761,57,41.30,0,1.42,7.1,87.7,119
1778438727,33,10761,57,41.06,0,1.42,8.0,87.7,119
1778438729,36,10761,57,41.12,0,1.42,7.3,87.9,119
1778438730,34,10761,57,41.24,0,1.47,9.0,87.6,119
1778438732,34,10761,57,41.43,0,1.47,6.8,87.6,119
1778438734,46,10761,58,41.24,0,1.59,8.1,87.7,119
1778438736,34,10761,57,41.06,0,1.59,8.0,87.6,119
1778438737,38,10761,57,41.16,0,1.59,6.7,87.6,119
1778438739,34,10761,57,41.23,0,1.54,6.5,87.7,119
1778438741,38,10761,57,41.44,0,1.54,6.7,87.6,119
1778438743,34,10761,57,41.38,0,1.54,7.1,87.6,119
1778438744,36,10761,58,41.75,0,1.66,7.2,87.6,119
1778438746,35,10761,57,41.42,0,1.66,7.2,87.6,119
1778438748,35,10761,57,41.32,0,1.66,8.1,87.7,119
1778438750,33,10761,57,41.26,0,1.69,7.0,87.6,119
1778438751,42,10761,58,41.91,0,1.69,6.6,87.6,119
1778438753,42,10761,57,41.72,0,1.69,6.5,87.7,119
1778438755,33,10761,57,41.90,0,1.79,12.4,87.6,119
1778438757,43,10761,57,41.59,0,1.79,7.5,87.6,119
1778438758,41,10761,58,42.07,0,1.79,7.0,87.7,119
1778438760,40,10761,58,41.97,0,1.73,6.8,87.6,119
1778438762,33,10761,58,41.64,0,1.73,5.2,87.6,119
1778438764,38,10761,58,42.16,0,1.73,7.6,87.7,119
1778438765,40,10761,57,41.85,0,1.67,6.7,87.0,119
1778438767,33,10761,57,41.85,0,1.67,7.5,87.8,119
1778438769,40,10761,58,42.17,0,1.67,7.8,87.9,119
1778438771,33,10761,57,41.71,0,1.62,6.6,87.7,119
1778438773,34,10761,57,41.80,0,1.62,8.2,87.9,119
1778438775,33,10761,58,42.21,0,1.65,7.6,87.7,119
1778438776,33,10761,57,41.85,0,1.65,7.0,87.6,119
1778438778,46,10761,57,42.46,0,1.65,7.6,87.7,119
1778438780,44,10761,58,42.06,0,1.59,7.4,87.6,119
1778438782,33,10761,57,41.64,0,1.59,7.5,87.6,119
1778438783,33,10761,57,41.76,0,1.59,7.0,87.8,119
1778438785,43,10761,58,42.41,0,1.63,16.1,87.7,119
1778438787,60,10761,61,89.90,30,1.63,7.3,87.7,119
1778438788,17,10761,60,77.34,30,1.63,6.8,87.8,119
1778438790,30,10761,58,57.39,30,1.58,7.5,87.6,119
1778438792,40,10761,56,44.09,30,1.58,6.8,87.6,119
1778438794,36,10761,57,43.45,30,1.58,7.8,87.7,119
1778438795,44,10761,55,42.66,30,1.45,7.8,87.7,119
1778438797,40,10761,54,41.89,30,1.45,9.1,87.0,119
1778438800,45,10761,53,41.55,30,1.49,7.7,86.9,119
1778438802,42,10761,53,40.71,30,1.49,7.9,86.9,119
1778438803,34,10761,52,40.47,30,1.49,9.8,87.0,119
1778438805,38,10761,52,40.48,30,1.69,6.9,86.9,119
1778438807,34,10761,51,40.10,30,1.69,6.2,87.0,119
1778438809,32,10761,50,40.19,30,1.69,7.4,87.1,119
1778438811,35,10761,51,40.32,30,1.64,7.6,87.0,119
1778438813,39,10761,49,39.78,30,1.64,7.8,87.0,119
1778438814,34,10761,49,40.17,30,1.64,6.5,87.0,119
1778438816,34,10761,49,39.72,30,1.59,7.4,86.9,119
