ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778439569,32,10755,56,20.75,0,1.65,6.4,88.0,119
1778439571,23,10755,60,78.56,0,1.65,7.2,88.1,119
1778439573,31,10755,58,55.04,0,1.60,8.1,88.2,119
1778439575,6,10755,57,39.21,0,1.60,8.1,88.1,119
1778439576,34,10755,57,40.99,0,1.60,6.5,88.1,119
1778439578,35,10755,58,41.37,0,1.55,7.5,88.1,119
1778439580,41,10755,57,41.07,0,1.55,7.7,88.1,119
1778439582,40,10755,58,41.11,0,1.58,7.7,88.1,119
1778439583,32,10755,57,40.68,0,1.58,6.5,88.2,119
1778439585,33,10755,58,40.51,0,1.58,7.5,88.1,119
1778439587,45,10755,58,40.71,0,1.62,7.2,88.1,119
1778439589,34,10755,57,40.13,0,1.62,7.2,88.2,119
1778439590,38,10755,58,40.25,0,1.62,7.8,88.0,119
1778439592,41,10755,57,40.42,0,1.97,7.1,88.0,119
1778439594,39,10755,58,40.62,0,1.97,6.5,88.2,119
1778439596,33,10755,57,40.52,0,1.97,7.6,88.2,119
1778439597,44,10755,57,40.64,0,1.89,7.2,88.2,119
1778439599,34,10755,58,40.55,0,1.89,7.2,88.2,119
1778439601,32,10755,58,40.86,0,1.89,14.8,88.3,119
1778439603,38,10755,57,40.61,0,1.82,8.9,88.2,119
1778439604,42,10755,57,40.64,0,1.82,6.2,88.0,119
1778439606,35,10755,57,40.79,0,1.82,12.1,87.9,119
1778439608,46,10755,57,40.99,0,1.91,7.1,88.1,119
1778439610,36,10755,57,40.92,0,1.91,7.3,88.0,119
1778439611,38,10755,57,40.47,0,1.91,6.8,88.0,119
1778439613,31,10755,58,40.83,0,3.84,7.0,88.1,119
1778439615,33,10755,58,40.89,0,3.84,6.1,88.0,119
1778439617,37,10755,57,40.77,0,3.84,7.8,88.0,119
1778439618,40,10755,57,40.92,0,3.53,7.4,88.1,119
1778439620,45,10755,57,41.31,0,3.53,7.8,88.0,119
1778439622,34,10755,57,40.47,0,3.41,6.6,87.8,119
1778439624,41,10755,58,40.65,0,3.41,7.7,87.8,119
1778439626,43,10755,58,40.83,0,3.41,7.1,87.8,119
1778439628,46,10755,58,41.13,0,3.22,7.6,88.0,119
1778439630,41,10755,58,41.29,0,3.22,6.9,87.9,119
1778439632,37,10755,58,40.95,0,3.22,7.7,87.8,119
1778439633,43,10755,58,41.24,0,3.04,7.3,87.9,119
1778439635,43,10755,58,40.84,0,3.04,8.3,87.9,119
1778439637,41,10755,58,41.21,0,3.04,6.6,87.4,119
1778439639,46,10755,59,41.12,0,3.04,6.6,87.4,119
1778439641,39,10755,58,40.96,0,3.04,6.6,87.3,119
1778439643,46,10755,58,41.15,0,2.87,8.8,87.4,119
1778439644,33,10755,58,40.90,0,2.87,8.2,87.2,119
1778439646,33,10755,58,41.07,0,2.87,7.2,87.2,119
1778439648,43,10755,59,41.43,0,2.64,10.1,87.5,119
