ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778440094,34,10741,50,21.90,0,2.16,11.4,87.9,119
1778440097,61,10741,49,15.66,0,2.15,8.2,88.1,119
1778440099,84,7309,50,36.03,0,2.15,7.4,88.4,119
1778440101,20,7311,52,52.01,0,2.15,6.7,88.2,119
1778440103,95,7317,64,206.70,30,2.05,8.0,88.2,119
1778440106,95,7317,65,207.38,30,2.05,7.1,88.1,119
1778440107,95,7317,65,206.13,30,2.13,6.8,88.2,119
1778440109,95,7317,66,205.85,30,2.13,6.0,88.3,119
1778440111,94,7317,66,205.80,33,2.13,7.1,88.2,119
1778440113,95,7317,66,206.71,36,2.04,7.8,88.4,119
1778440115,94,7317,66,206.70,38,2.04,6.8,88.2,119
1778440116,95,7317,66,206.71,39,2.04,8.8,87.6,119
1778440118,94,7317,66,207.04,40,2.04,7.3,87.7,119
1778440120,95,7317,66,207.04,40,2.04,6.5,87.5,119
1778440122,94,7317,66,207.58,40,2.03,6.5,87.5,119
1778440124,95,7317,66,207.62,41,2.03,7.2,87.5,119
1778440126,94,7317,66,207.96,41,2.03,6.4,87.5,119
1778440128,96,7317,66,208.12,41,1.95,8.5,87.6,119
1778440129,94,7317,66,208.26,41,1.95,6.2,87.6,119
1778440131,96,7317,66,208.30,41,1.95,8.3,87.6,119
1778440133,94,7317,66,208.01,41,1.87,8.2,87.7,119
1778440135,94,7317,66,208.30,41,1.87,7.3,87.6,119
1778440136,95,7317,66,208.55,41,1.87,6.9,87.5,119
1778440138,94,7317,66,208.81,41,1.88,6.7,87.7,119
1778440140,95,7317,66,208.78,41,1.88,7.7,87.4,119
1778440142,95,7317,66,208.95,41,1.81,7.7,87.6,119
1778440144,95,7317,66,209.14,41,1.81,7.3,87.7,119
1778440146,95,7317,65,209.59,42,1.81,8.1,88.5,119
1778440148,95,7317,66,209.43,41,1.83,8.4,88.4,119
1778440150,95,7317,65,209.33,42,1.83,7.4,88.4,119
1778440153,95,7317,66,209.30,42,1.84,8.0,88.3,119
1778440156,95,7317,66,209.51,42,1.93,6.6,88.3,119
1778440159,95,7317,66,209.57,42,1.93,7.2,88.3,119
1778440162,95,7317,66,211.70,42,1.94,7.2,88.2,119
1778440166,96,7317,66,211.87,42,1.94,7.6,88.2,119
1778440168,95,7317,66,212.03,42,1.94,6.8,88.3,119
1778440170,95,7317,66,211.53,42,1.94,7.3,88.2,119
1778440172,95,7317,66,212.33,42,1.87,7.7,88.3,119
1778440174,95,7317,66,211.98,42,1.87,7.7,88.3,119
1778440176,95,7317,66,212.08,42,1.87,6.5,88.3,119
1778440178,95,7317,66,212.27,42,1.88,7.1,88.4,119
1778440180,96,7317,66,212.58,43,1.88,8.2,88.1,119
1778440182,95,7317,66,212.09,43,1.88,6.9,88.1,119
1778440184,95,7311,66,212.74,43,1.81,7.2,88.1,119
1778440186,95,7311,66,212.76,43,1.81,7.7,88.2,119
1778440188,95,7311,66,212.65,43,1.90,7.8,88.3,119
1778440190,96,7311,66,212.48,43,1.90,6.8,88.2,119
1778440192,95,7311,66,212.50,43,1.90,7.4,88.2,119
1778440193,95,7311,66,213.13,43,1.91,6.5,88.3,119
1778440195,96,7311,66,213.06,43,1.91,7.4,88.2,119
1778440197,96,7311,66,213.21,43,1.91,6.5,88.2,119
1778440199,96,7311,66,213.11,43,1.92,8.0,88.3,119
1778440200,95,7311,66,213.20,43,1.92,10.8,87.5,119
1778440202,95,7311,66,213.37,43,1.92,15.6,88.3,119
1778440204,96,7311,66,213.59,43,1.84,7.2,88.1,119
1778440206,96,7311,67,213.87,43,1.84,6.8,88.1,119
1778440208,96,7311,66,213.88,43,1.94,8.9,88.3,119
1778440209,95,7311,66,214.07,43,1.94,8.1,88.1,119
1778440211,96,7311,67,213.73,43,1.94,7.4,88.1,119
1778440213,95,7311,67,214.02,44,1.94,6.3,88.3,119
