ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778440701,95,7339,65,195.96,44,1.89,11.4,88.3,119
1778440703,95,7339,65,196.20,45,1.74,7.8,88.6,119
1778440704,95,7339,65,196.18,44,1.74,6.4,88.6,119
1778440706,95,7339,65,196.57,44,1.74,14.4,88.5,119
1778440708,93,7339,65,196.30,44,1.60,8.1,88.6,119
1778440710,95,7339,64,196.57,44,1.60,6.6,88.7,119
1778440711,95,7339,65,196.94,44,1.60,8.3,88.6,119
1778440713,96,7339,65,197.37,44,1.55,6.3,88.7,119
1778440715,95,7339,65,197.26,44,1.55,6.7,88.6,119
1778440716,95,7339,65,197.67,44,1.55,7.1,88.4,119
1778440718,95,7339,64,197.84,44,1.43,6.6,88.0,119
1778440720,95,7339,65,197.44,44,1.43,7.5,87.8,119
1778440722,95,7339,65,198.09,44,1.43,6.1,88.0,119
1778440723,94,7339,65,197.88,44,1.39,7.5,88.1,119
1778440725,95,7339,65,197.97,44,1.39,6.2,88.0,119
1778440727,95,7339,65,198.04,44,1.39,7.2,88.0,119
1778440728,94,7339,65,198.21,44,1.36,6.9,88.0,119
1778440730,95,7339,65,198.14,44,1.36,7.2,87.8,119
1778440732,96,7339,65,197.92,44,1.36,8.7,88.0,119
1778440733,95,7339,65,197.73,44,1.33,6.2,88.1,119
1778440735,94,7339,65,198.26,44,1.33,7.6,88.0,119
1778440737,94,7339,65,198.64,44,1.33,6.9,88.0,119
1778440738,95,7339,65,198.76,44,1.46,6.6,87.9,119
1778440740,96,7339,65,198.71,44,1.46,7.4,87.8,119
1778440742,95,7339,65,198.67,44,1.46,7.2,87.8,119
1778440743,94,7339,65,198.77,44,1.67,7.4,88.1,119
1778440745,95,7339,65,198.50,44,1.67,14.0,88.6,119
1778440747,95,7339,65,198.54,44,1.67,14.6,88.6,119
1778440749,95,7339,65,198.46,44,1.61,7.4,88.7,119
1778440750,96,7339,65,200.70,44,1.61,6.7,88.4,119
1778440752,95,7339,65,200.57,44,1.61,6.5,88.4,119
1778440754,95,7339,65,200.32,44,1.56,7.7,88.4,119
1778440756,95,7339,65,200.13,44,1.56,7.5,88.5,119
1778440757,94,7339,65,200.87,44,1.56,8.0,88.5,119
1778440759,95,7339,65,200.57,44,1.52,6.7,88.5,119
1778440761,93,7339,65,200.16,44,1.52,7.2,88.5,119
1778440763,95,7339,65,201.11,44,1.56,8.9,88.7,119
1778440765,91,7339,65,200.51,44,1.56,6.7,88.7,119
1778440766,95,7339,65,200.60,44,1.56,7.0,88.5,119
1778440768,94,7339,65,200.82,44,1.51,6.7,88.6,119
1778440770,96,7339,65,201.02,44,1.51,7.5,88.5,119
1778440772,94,7339,65,201.33,44,1.51,8.6,88.8,119
1778440773,94,7339,65,201.40,44,1.47,7.4,88.7,119
1778440775,96,7339,65,200.98,44,1.47,7.2,88.8,119
1778440777,95,7339,65,201.16,44,1.47,7.5,88.6,119
1778440779,95,7339,65,200.98,44,1.51,7.7,88.8,119
1778440780,95,7339,65,201.35,44,1.51,7.7,88.4,119
1778440782,95,7339,65,201.21,44,1.51,6.7,88.4,119
1778440784,95,7339,65,201.52,44,1.55,8.4,88.7,119
1778440786,95,7339,65,201.79,44,1.55,7.3,88.5,119
1778440787,96,7339,65,201.71,44,1.55,7.2,88.5,119
1778440789,95,7339,65,201.79,44,1.67,7.2,88.4,119
1778440791,96,7339,65,201.57,44,1.67,7.4,88.4,119
1778440792,96,7339,65,201.50,44,1.67,7.2,88.4,119
1778440794,96,7339,65,201.54,44,1.69,6.5,88.2,119
1778440796,95,7339,65,201.21,44,1.69,6.2,88.4,119
1778440798,95,7339,65,201.86,44,1.69,7.8,88.4,119
1778440799,95,7339,65,201.69,44,1.72,6.8,88.6,119
1778440801,96,7339,65,202.22,44,1.72,13.3,88.7,119
1778440803,96,7339,65,202.18,44,1.72,8.4,88.3,119
1778440804,96,7339,65,201.87,44,1.66,6.5,88.2,119
1778440806,96,7339,65,202.03,44,1.66,11.2,88.0,119
1778440808,95,7339,65,202.10,44,1.66,8.0,88.2,119
1778440810,95,7339,65,202.29,44,1.61,7.6,88.2,119
1778440811,95,7339,65,202.68,44,1.61,6.8,88.2,119
1778440813,95,7339,65,202.60,44,1.61,8.1,88.2,119
1778440815,95,7339,65,202.69,44,1.72,6.3,88.1,119
1778440816,95,7339,65,202.06,44,1.72,7.3,88.1,119
1778440818,95,7339,65,202.51,44,1.66,8.9,88.1,119
1778440820,95,7339,65,203.24,44,1.66,7.4,88.0,119
1778440822,95,7339,65,203.88,44,1.66,7.8,88.0,119
1778440823,96,7339,65,204.00,44,1.77,7.8,88.1,119
1778440825,95,7339,65,203.16,44,1.77,8.3,88.0,119
1778440827,96,7339,66,204.90,44,1.77,7.1,88.0,119
1778440829,96,7339,66,204.12,44,1.79,7.6,88.1,119
1778440830,96,7339,65,204.80,44,1.79,6.8,87.9,119
1778440832,96,7339,66,204.88,44,1.79,6.3,87.8,119
1778440834,96,7339,66,204.18,44,1.72,8.1,88.0,119
1778440835,96,7339,66,204.77,44,1.72,7.4,87.9,119
1778440837,96,7339,66,204.57,44,1.72,7.9,87.3,119
1778440839,95,7339,65,202.87,44,1.75,6.4,87.4,119
1778440841,96,7339,66,204.87,44,1.75,7.7,87.3,119
1778440842,95,7339,65,203.18,44,1.75,6.2,87.2,119
1778440844,95,7339,65,204.10,44,1.77,7.8,87.4,119
1778440846,96,7339,66,203.93,44,1.77,7.2,87.3,119
1778440847,94,7339,65,204.67,44,1.77,7.1,87.3,119
1778440849,96,7339,66,204.48,44,2.02,11.0,87.3,119
1778440851,96,7339,65,203.71,44,2.02,7.1,87.3,119
1778440853,96,7339,66,203.01,44,2.02,7.2,87.3,119
1778440854,96,7339,65,204.52,44,2.02,6.4,87.2,119
1778440856,95,7339,66,203.46,44,2.02,8.4,87.3,119
1778440858,96,7339,65,204.02,44,2.02,8.2,87.3,119
1778440859,95,7339,65,203.47,44,1.86,7.4,87.3,119
1778440861,95,7339,65,202.72,45,1.86,7.2,87.3,119
1778440863,95,7339,65,203.44,45,1.86,7.6,87.7,119
1778440865,96,7339,65,204.82,44,1.71,6.8,87.5,119
1778440866,97,7339,66,204.78,44,1.71,16.0,88.2,119
1778440868,96,7339,66,204.95,44,1.71,7.4,88.5,119
1778440870,97,7339,66,204.99,44,1.73,7.4,88.1,119
1778440872,95,7339,65,202.81,45,1.73,7.2,88.1,119
1778440873,96,7339,66,204.87,44,1.73,7.2,88.2,119
1778440875,97,7339,66,204.68,44,1.75,7.0,88.1,119
1778440877,96,7339,66,204.88,44,1.75,7.4,88.0,119
1778440878,95,7339,66,202.84,44,1.75,15.6,88.3,119
1778440880,96,7339,66,203.53,44,1.69,10.8,88.3,119
1778440882,96,7339,66,204.97,44,1.69,7.0,88.1,119
1778440884,95,7339,66,204.61,44,1.69,7.7,88.2,119
1778440885,95,7339,66,203.32,44,1.64,7.7,88.1,119
1778440887,96,7339,66,204.31,45,1.64,6.8,88.1,119
1778440889,96,7339,66,203.45,45,1.64,7.9,88.2,119
1778440890,96,7339,66,204.75,45,1.59,7.6,87.9,119
1778440892,95,7339,65,204.11,44,1.59,7.5,88.1,119
1778440894,96,7339,66,204.27,44,1.59,7.9,88.2,119
1778440895,96,7339,66,203.80,45,1.54,6.1,88.1,119
1778440897,96,7339,66,203.67,45,1.54,9.3,87.6,119
1778440899,96,7339,66,203.66,44,1.54,7.4,87.7,119
1778440901,95,7337,65,203.54,45,1.50,8.2,87.7,119
1778440902,96,7337,66,204.21,45,1.50,7.2,87.7,119
1778440904,96,7337,66,204.96,45,2.02,11.1,87.7,119
1778440906,95,7337,66,200.89,44,2.02,7.4,87.6,119
1778440907,95,7337,65,201.53,45,2.02,7.7,87.6,119
1778440909,95,7337,65,201.26,44,2.02,7.2,87.6,119
1778440911,96,7337,66,201.42,45,2.02,15.2,87.5,119
1778440913,94,7337,65,200.66,44,2.02,8.9,87.5,119
1778440914,95,7337,65,200.97,45,2.01,7.1,87.6,119
1778440916,96,7337,66,201.12,45,2.01,7.2,87.6,119
1778440918,96,7337,65,200.88,45,2.01,8.7,87.6,119
1778440919,94,7337,65,200.84,45,2.09,7.1,87.7,119
1778440921,96,7337,65,200.58,45,2.09,9.9,87.5,119
1778440923,95,7337,65,200.66,45,2.09,7.6,87.5,119
1778440925,95,7337,65,201.12,45,2.00,8.5,87.4,119
1778440926,96,7337,65,201.25,45,2.00,15.8,88.0,119
1778440928,96,7337,65,201.66,45,2.00,7.4,88.3,119
1778440930,96,7337,65,201.63,45,1.92,7.2,88.0,119
1778440932,96,7337,65,201.76,44,1.92,6.5,88.0,119
1778440933,94,7337,65,201.42,45,1.92,6.0,88.1,119
1778440935,96,7337,65,201.66,45,2.01,7.3,88.0,119
1778440937,96,7337,65,201.57,45,2.01,6.7,88.0,119
1778440939,96,7337,65,202.13,45,2.01,6.8,88.0,119
1778440940,95,7337,65,201.58,45,1.85,7.5,87.8,119
1778440942,95,7337,65,202.09,45,1.85,7.5,87.8,119
1778440944,96,7337,65,201.95,45,1.85,7.7,87.9,119
1778440945,96,7337,65,201.93,45,1.94,7.3,87.9,119
1778440947,96,7337,65,201.83,45,1.94,7.7,87.9,119
1778440949,96,7337,65,202.11,45,1.94,7.7,88.0,119
1778440951,95,7337,65,202.44,45,1.86,8.2,87.9,119
1778440952,95,7337,65,202.42,45,1.86,6.7,87.8,119
1778440954,94,7337,65,202.18,45,1.86,6.8,87.9,119
1778440956,96,7337,65,202.17,45,1.80,7.5,87.8,119
1778440957,96,7337,65,202.07,45,1.80,7.1,87.4,119
1778440959,95,7337,65,202.41,45,1.80,8.0,87.6,119
1778440961,96,7337,65,202.84,45,1.73,7.2,87.3,119
1778440962,96,7337,65,202.51,45,1.73,6.8,87.4,119
1778440964,96,7337,65,202.66,45,1.73,6.6,87.4,119
1778440966,95,7337,65,202.39,44,1.91,7.7,87.2,119
1778440967,95,7337,66,203.03,45,1.91,6.9,87.4,119
1778440969,96,7337,65,202.80,44,1.91,8.2,87.4,119
1778440971,95,7337,65,202.93,45,1.76,7.1,87.3,119
1778440973,96,7337,65,204.16,45,1.76,12.9,87.3,119
1778440974,96,7337,65,204.07,45,1.76,7.2,87.3,119
1778440976,96,7337,65,203.34,45,1.70,7.4,87.2,119
1778440978,95,7337,65,202.37,45,1.70,7.1,87.2,119
1778440979,95,7337,65,203.49,45,1.70,7.4,87.4,119
1778440981,96,7337,65,203.37,45,1.64,7.7,87.3,119
1778440983,95,7337,65,204.52,45,1.64,7.2,87.3,119
1778440984,96,7337,66,203.69,45,1.64,7.8,87.3,119
1778440986,95,7337,66,203.06,45,1.67,19.1,87.8,119
1778440988,96,7337,65,204.30,45,1.67,15.5,87.9,119
1778440989,96,7337,66,203.75,45,1.67,7.2,88.1,119
1778440991,96,7337,66,204.88,45,1.70,8.2,87.9,119
1778440993,96,7337,65,203.25,45,1.70,7.3,88.0,119
1778440995,95,7337,65,204.27,45,1.70,7.2,88.1,119
1778440996,96,7337,65,203.82,45,1.80,6.6,87.8,119
1778440998,97,7337,65,204.80,45,1.80,7.7,87.9,119
1778441000,97,7337,65,203.14,45,1.80,6.7,87.8,119
