ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778441307,95,7485,65,205.90,46,2.34,18.6,88.2,119
1778441308,95,7485,65,205.84,46,2.15,10.3,88.4,119
1778441310,95,7485,65,206.74,46,2.15,7.0,88.4,119
1778441312,95,7485,65,206.70,45,2.15,6.5,88.5,119
1778441313,94,7485,65,206.47,45,2.30,6.3,88.5,119
1778441315,95,7485,65,206.96,45,2.30,6.7,88.4,119
1778441317,95,7485,65,207.61,45,2.30,7.2,87.8,119
1778441319,95,7485,65,207.39,46,2.19,13.8,88.0,119
1778441320,95,7485,66,208.03,45,2.19,13.5,87.7,119
1778441322,95,7485,66,208.14,45,2.19,6.2,87.7,119
1778441324,96,7485,66,208.40,45,2.18,11.5,88.0,119
1778441325,95,7485,66,208.44,45,2.18,6.7,88.0,119
1778441327,95,7485,65,208.32,45,2.18,6.9,87.8,119
1778441329,95,7485,66,208.49,45,2.16,7.5,87.9,119
1778441330,96,7485,66,209.04,45,2.16,7.2,87.8,119
1778441332,95,7485,66,209.08,45,2.16,6.8,87.7,119
1778441334,96,7485,66,209.59,45,2.23,8.4,87.7,119
1778441336,95,7485,66,208.95,45,2.23,7.1,87.9,119
1778441337,95,7485,66,209.30,45,2.23,7.7,87.8,119
1778441339,96,7485,66,209.48,45,2.13,7.5,87.8,119
1778441341,95,7485,66,209.77,45,2.13,8.2,87.9,119
1778441342,95,7485,66,209.74,46,2.13,6.4,87.7,119
1778441344,95,7485,66,209.58,46,2.04,7.3,87.9,119
1778441346,95,7485,66,209.80,46,2.04,17.7,88.6,119
1778441347,96,7485,66,209.36,45,2.04,7.4,88.3,119
1778441349,95,7485,66,209.81,45,1.96,8.0,88.2,119
1778441351,96,7485,66,209.84,46,1.96,7.6,88.2,119
1778441353,95,7485,66,209.58,46,1.96,8.1,88.4,119
1778441355,95,7485,66,211.36,45,1.96,8.1,88.3,119
1778441356,95,7485,66,211.91,46,1.96,6.4,88.1,119
1778441358,95,7485,66,211.94,46,1.96,6.8,88.2,119
1778441360,96,7485,67,212.33,45,1.96,7.1,88.1,119
1778441362,95,7485,66,211.99,45,1.96,6.6,88.1,119
1778441363,96,7485,67,212.35,46,1.89,8.0,88.2,119
1778441365,96,7485,66,212.41,46,1.89,9.0,88.1,119
1778441367,96,7485,67,212.26,46,1.89,7.5,88.1,119
1778441368,95,7485,66,212.59,46,1.81,7.5,88.2,119
1778441370,95,7485,67,212.62,46,1.81,7.8,87.9,119
1778441372,95,7485,67,212.20,46,1.81,7.2,87.9,119
1778441374,94,7485,66,212.33,46,1.83,7.4,88.0,119
1778441376,95,7485,67,212.38,46,1.83,7.2,88.0,119
1778441378,96,7485,66,212.69,46,1.83,8.5,88.1,119
1778441380,96,7485,67,212.77,46,1.84,7.7,88.0,119
1778441381,95,7485,67,213.37,46,1.84,6.6,88.0,119
1778441383,95,7485,66,213.22,46,1.84,7.5,88.2,119
1778441385,96,7485,67,213.18,46,1.85,6.2,88.0,119
1778441387,95,7485,66,212.99,46,1.85,7.6,88.0,119
1778441388,95,7485,67,213.44,46,1.85,6.7,88.0,119
1778441390,96,7485,67,213.57,46,1.79,7.5,87.9,119
1778441392,95,7485,67,213.65,46,1.79,8.6,88.0,119
1778441393,95,7485,67,213.37,46,1.96,7.1,88.1,119
1778441395,95,7485,67,213.52,46,1.96,7.6,88.0,119
1778441397,96,7485,67,213.40,46,1.96,7.1,88.0,119
1778441399,95,7485,67,213.62,46,2.21,7.7,88.1,119
1778441400,96,7485,67,213.39,46,2.21,8.6,87.9,119
1778441402,96,7485,67,214.04,46,2.21,7.9,88.2,119
1778441404,96,7485,67,213.88,46,2.35,9.3,88.4,119
1778441405,96,7485,67,213.97,46,2.35,6.8,88.1,119
1778441407,95,7485,67,213.82,46,2.35,10.2,88.1,119
1778441409,96,7485,67,214.05,46,2.32,8.0,88.4,119
1778441410,95,7485,67,214.40,47,2.32,7.0,88.1,119
1778441412,95,7485,67,214.41,46,2.32,7.3,88.0,119
1778441414,96,7485,67,214.64,46,2.22,7.1,88.2,119
1778441416,97,7485,67,214.77,46,2.22,7.3,88.1,119
1778441417,96,7485,67,214.68,46,2.22,7.8,88.1,119
1778441419,96,7485,67,214.49,46,2.20,8.3,88.1,119
1778441421,96,7485,67,214.56,46,2.20,7.5,88.0,119
1778441422,96,7485,67,214.52,46,2.20,7.3,87.9,119
1778441424,94,7485,67,214.65,46,2.18,7.1,87.9,119
1778441426,96,7485,67,215.30,47,2.18,9.8,88.0,119
1778441427,96,7485,67,215.57,47,2.18,7.8,88.0,119
1778441429,96,7485,67,214.94,47,2.09,6.6,88.0,119
1778441431,96,7485,66,205.36,47,2.09,6.7,87.8,119
1778441433,97,7485,66,205.11,47,2.09,7.5,87.8,119
1778441434,96,7485,66,205.54,47,2.08,12.2,87.7,119
1778441436,95,7485,66,205.00,47,2.08,7.6,87.2,119
1778441438,96,7485,66,205.35,47,2.08,9.1,87.3,119
1778441439,96,7485,66,204.70,47,2.07,8.2,87.2,119
1778441441,95,7485,66,204.94,47,2.07,7.4,87.2,119
1778441443,96,7485,66,205.13,47,2.07,10.8,87.3,119
1778441445,97,7485,66,205.67,46,1.91,7.8,87.2,119
1778441446,96,7485,66,205.71,47,1.91,6.7,87.1,119
1778441448,96,7485,66,205.50,47,1.91,8.1,87.3,119
1778441450,96,7485,66,205.78,47,1.91,7.6,87.2,119
1778441451,96,7485,66,205.49,47,1.91,7.2,87.2,119
1778441453,97,7485,66,205.21,47,1.91,7.7,87.3,119
