ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778441913,96,7471,64,205.59,45,2.17,10.2,88.2,119
1778441915,96,7471,64,206.00,45,2.17,14.5,88.5,119
1778441917,94,7471,65,206.05,45,2.17,8.4,87.9,119
1778441918,96,7471,65,206.72,45,2.07,6.9,87.9,119
1778441920,95,7471,65,206.57,45,2.07,7.1,87.7,119
1778441922,95,7471,65,207.09,45,2.07,8.3,87.6,119
1778441923,96,7471,65,207.75,45,1.99,6.9,87.9,119
1778441925,95,7471,65,207.86,45,1.99,7.6,87.8,119
1778441927,95,7471,65,208.55,45,1.99,7.7,87.8,119
1778441928,96,7471,65,208.10,45,2.07,5.9,87.8,119
1778441930,95,7471,65,208.34,45,2.07,7.4,87.7,119
1778441932,95,7471,66,208.58,45,2.07,6.9,87.7,119
1778441933,95,7471,66,208.66,45,2.06,7.5,87.9,119
1778441935,95,7471,66,208.93,45,2.06,7.7,87.8,119
1778441937,95,7471,66,208.71,45,2.06,6.6,87.8,119
1778441939,95,7471,66,209.07,45,2.14,7.9,87.9,119
1778441940,95,7471,66,209.52,45,2.14,6.4,87.7,119
1778441942,95,7471,66,209.36,45,2.14,8.5,87.7,119
1778441944,94,7471,66,209.42,45,2.13,7.5,87.8,119
1778441945,95,7471,66,209.22,45,2.13,19.8,88.6,119
1778441947,95,7471,66,209.54,45,2.13,11.3,88.3,119
1778441949,95,7471,66,209.31,45,2.12,7.4,88.1,119
1778441951,95,7471,66,209.74,45,2.12,7.8,88.1,119
1778441952,96,7471,66,210.36,45,2.12,7.0,88.0,119
1778441954,96,7471,66,209.89,45,1.95,6.8,88.0,119
1778441956,94,7471,66,210.33,45,1.95,7.2,88.0,119
1778441958,95,7471,66,210.47,45,1.95,8.7,88.0,119
1778441959,95,7471,66,210.70,45,1.95,7.2,88.0,119
1778441961,95,7471,66,210.69,45,1.95,7.2,88.1,119
1778441963,96,7471,66,212.57,45,1.95,8.3,88.2,119
1778441965,95,7471,66,212.49,45,1.87,7.5,88.1,119
1778441966,95,7471,66,212.45,45,1.87,7.2,87.9,119
1778441968,95,7471,66,211.85,45,1.87,7.6,88.1,119
1778441970,95,7471,66,212.58,45,2.04,6.8,87.9,119
1778441971,95,7471,66,212.77,45,2.04,7.4,88.0,119
1778441973,95,7471,67,212.54,45,2.04,7.5,88.2,119
1778441975,96,7471,67,212.51,45,1.96,6.8,88.0,119
1778441977,96,7471,67,212.68,45,1.96,8.0,87.9,119
1778441978,95,7471,67,213.11,45,1.96,7.1,88.0,119
1778441980,95,7471,67,213.00,45,1.88,7.7,87.9,119
1778441982,96,7471,67,213.49,46,1.88,7.2,88.0,119
1778441983,96,7469,67,213.81,45,1.88,7.5,88.1,119
1778441985,95,7456,67,213.60,45,1.97,8.0,88.0,119
1778441987,95,7456,67,213.17,45,1.97,6.4,88.0,119
1778441989,95,7456,67,213.31,46,1.97,7.3,88.1,119
1778441990,96,7456,67,213.45,46,1.89,7.1,87.8,119
1778441992,96,7456,67,213.28,46,1.89,7.0,87.7,119
1778441994,96,7456,67,213.40,46,1.90,7.6,87.8,119
1778441996,95,7456,67,214.14,46,1.90,7.1,87.8,119
1778441998,95,7456,66,213.91,46,1.90,7.4,88.0,119
1778442000,96,7456,67,214.03,46,1.91,7.3,87.9,119
1778442001,96,7456,67,213.94,46,1.91,7.5,88.1,119
1778442003,95,7456,67,214.14,46,1.91,8.8,88.2,119
1778442005,96,7456,67,213.96,46,1.84,6.3,88.0,119
1778442007,95,7456,67,213.98,46,1.84,7.9,88.0,119
1778442008,96,7456,67,214.02,46,1.84,7.2,87.9,119
1778442010,96,7456,67,213.64,46,1.85,6.6,87.8,119
1778442012,97,7456,67,214.57,46,1.85,7.7,88.0,119
1778442013,96,7456,67,214.58,46,1.85,7.7,88.1,119
1778442015,95,7456,67,214.45,46,1.78,6.8,87.9,119
1778442017,95,7456,67,214.95,46,1.78,6.8,87.9,119
1778442019,96,7456,67,214.58,46,1.78,7.4,88.1,119
1778442020,95,7456,67,214.52,46,1.72,8.1,87.8,119
1778442022,96,7456,67,214.52,46,1.72,6.8,87.7,119
1778442024,96,7456,67,215.48,46,1.72,8.2,87.9,119
1778442026,96,7456,67,214.73,46,1.98,8.1,87.8,119
1778442027,96,7456,67,215.01,46,1.98,6.7,87.8,119
1778442029,96,7456,67,215.00,46,1.98,7.3,87.8,119
1778442031,96,7456,67,215.19,46,2.06,7.6,87.6,119
1778442032,96,7456,67,215.20,46,2.06,8.2,87.6,119
1778442034,96,7456,67,215.00,46,2.06,7.5,87.5,119
1778442036,96,7456,66,206.15,46,2.06,7.2,86.9,119
1778442038,96,7456,66,205.82,46,2.06,7.7,87.1,119
1778442040,97,7456,66,206.43,46,2.05,9.5,87.0,119
1778442041,96,7456,67,205.67,46,2.05,7.2,87.0,119
1778442043,96,7456,66,206.81,47,2.05,7.1,87.1,119
1778442045,95,7456,66,204.83,46,1.97,7.4,87.0,119
1778442046,96,7456,66,204.98,46,1.97,7.5,86.9,119
1778442048,98,7456,66,205.67,46,1.97,7.3,87.0,119
1778442050,97,7456,66,205.89,47,2.05,7.7,87.0,119
1778442051,96,7456,66,205.75,47,2.05,7.2,87.0,119
1778442053,96,7456,66,205.20,46,2.05,6.9,87.1,119
1778442055,96,7456,66,205.18,46,2.05,6.5,87.0,119
1778442057,96,7456,66,205.23,47,2.05,8.7,87.0,119
1778442058,96,7456,66,205.44,46,2.05,6.4,87.0,119
1778442060,96,7456,66,205.38,46,2.12,7.1,87.0,119
1778442062,96,7456,66,204.88,47,2.12,7.7,87.0,119
1778442063,95,7456,66,205.69,46,2.12,6.6,87.1,119
1778442065,97,7456,66,205.78,46,1.95,7.2,87.0,119
1778442067,96,7456,66,204.89,47,1.95,6.7,87.8,119
1778442068,96,7456,66,205.48,47,1.95,8.0,87.8,119
1778442070,96,7456,65,205.22,47,1.88,6.5,87.5,119
1778442072,95,7456,66,204.74,47,1.88,7.2,87.7,119
1778442074,96,7456,65,204.64,46,1.88,10.7,87.7,119
1778442075,96,7456,66,204.79,47,1.80,6.7,87.6,119
1778442077,95,7456,66,204.78,46,1.80,7.2,87.6,119
1778442079,96,7456,66,205.55,46,1.80,7.7,87.7,119
1778442080,95,7456,66,204.98,47,1.90,7.5,87.6,119
1778442082,96,7456,66,205.21,47,1.90,7.2,87.5,119
1778442084,97,7456,66,205.05,46,1.90,7.6,87.7,119
1778442086,96,7456,66,204.38,46,1.83,7.4,87.6,119
1778442087,95,7456,66,204.82,46,1.83,6.6,87.6,119
1778442089,96,7456,66,204.60,46,1.83,7.3,87.6,119
1778442091,97,7456,66,205.66,47,1.76,7.7,87.6,119
1778442093,97,7456,66,205.39,46,1.76,7.4,87.6,119
1778442094,96,7456,66,205.37,47,1.76,15.2,87.5,119
1778442096,95,7456,66,205.12,46,1.62,7.3,87.6,119
1778442098,96,7456,66,204.69,46,1.62,8.8,87.1,119
1778442099,95,7456,66,205.22,46,1.62,6.6,87.0,119
1778442101,95,7456,66,205.24,46,1.57,6.9,87.0,119
1778442103,96,7456,66,204.75,47,1.57,8.3,87.1,119
1778442105,97,7456,66,205.22,46,1.57,7.4,87.0,119
1778442106,96,7456,66,205.65,46,1.52,6.8,86.9,119
1778442108,95,7456,66,205.27,46,1.52,9.1,87.1,119
1778442110,95,7456,66,204.99,46,1.52,7.6,87.0,119
1778442111,96,7456,66,205.69,46,1.48,6.6,87.0,119
1778442113,96,7456,65,205.26,46,1.48,6.4,87.1,119
1778442115,96,7456,65,205.17,46,1.44,7.9,87.0,119
1778442117,96,7456,65,204.57,46,1.44,6.6,87.0,119
1778442119,96,7456,65,205.03,47,1.44,7.8,87.1,119
1778442120,96,7456,65,206.02,46,1.41,7.7,87.0,119
1778442122,95,7456,65,201.93,46,1.41,6.6,86.9,119
1778442124,95,7456,65,202.13,46,1.41,7.4,87.1,119
1778442126,96,7456,65,201.92,46,1.46,7.1,87.0,119
1778442127,96,7456,65,201.93,46,1.46,7.7,87.8,119
1778442129,95,7456,65,201.98,46,1.46,25.5,87.9,119
1778442131,95,7456,65,202.09,46,1.34,6.1,87.8,119
1778442132,95,7456,66,201.77,46,1.34,7.4,87.9,119
1778442134,95,7456,66,201.89,46,1.34,8.4,87.8,119
1778442136,96,7456,65,202.19,46,1.47,7.7,87.8,119
1778442138,96,7456,65,201.87,46,1.47,6.9,87.9,119
1778442140,96,7456,65,201.97,46,1.51,6.1,87.8,119
1778442142,95,7456,65,202.15,46,1.51,7.4,87.8,119
1778442144,95,7456,65,202.14,46,1.51,7.4,87.9,119
1778442146,96,7456,65,202.56,46,1.63,8.1,87.8,119
1778442148,96,7456,65,202.62,46,1.63,7.4,87.9,119
1778442149,96,7456,65,202.37,46,1.63,8.1,88.0,119
1778442151,95,7456,65,202.48,46,1.58,7.4,87.9,119
1778442153,95,7456,65,202.49,46,1.58,8.7,88.0,119
1778442154,96,7456,65,202.71,46,1.58,7.1,87.9,119
1778442156,96,7456,65,202.86,46,1.53,8.4,87.8,119
1778442158,96,7456,65,202.94,46,1.53,8.7,87.4,119
1778442160,96,7456,65,203.24,46,1.53,7.3,87.3,119
1778442161,96,7456,65,203.25,46,1.57,7.1,87.2,119
1778442163,96,7456,65,203.19,46,1.57,8.2,87.4,119
1778442165,96,7456,65,202.87,46,1.57,7.1,87.3,119
1778442166,96,7456,65,202.90,46,1.53,6.8,87.3,119
1778442168,96,7456,65,202.98,46,1.53,8.4,87.4,119
1778442170,96,7456,65,203.07,46,1.53,6.6,87.2,119
1778442171,95,7456,65,203.24,46,1.80,7.1,87.2,119
1778442173,96,7456,65,203.31,46,1.80,7.3,87.3,119
1778442175,96,7456,65,203.39,46,1.80,6.9,87.2,119
1778442176,96,7456,65,203.43,46,1.82,7.1,87.2,119
1778442178,96,7456,65,203.29,46,1.82,6.9,87.2,119
1778442180,95,7456,65,203.31,46,1.82,6.9,87.1,119
1778442182,96,7456,65,204.10,46,1.91,7.4,87.1,119
1778442183,96,7456,65,204.02,46,1.91,6.8,87.3,119
1778442185,96,7456,65,204.20,46,1.91,8.1,87.2,119
1778442187,97,7456,65,204.84,46,1.84,10.7,88.0,119
1778442188,96,7456,65,203.71,46,1.84,6.1,88.1,119
1778442190,96,7456,65,203.93,46,1.84,7.7,87.6,119
1778442192,96,7456,65,204.75,46,1.85,7.1,87.6,119
1778442193,96,7456,65,205.27,46,1.85,9.4,87.8,119
1778442195,95,7456,65,204.31,46,1.85,7.5,87.7,119
1778442197,96,7456,65,204.86,46,1.70,6.4,87.7,119
1778442199,95,7456,65,204.83,46,1.70,7.9,87.9,119
1778442200,96,7456,65,205.32,46,1.70,6.8,87.6,119
1778442202,97,7456,65,205.17,46,1.65,7.2,87.6,119
1778442204,97,7456,65,203.51,46,1.65,8.5,87.7,119
1778442206,96,7456,65,205.34,46,1.65,6.5,87.6,119
1778442207,95,7456,65,204.64,46,1.60,6.5,87.7,119
1778442209,96,7456,65,204.61,46,1.60,8.6,87.8,119
1778442211,96,7456,65,205.61,46,2.03,8.0,87.7,119
1778442212,96,7456,66,204.99,46,2.03,6.3,87.7,119
1778442214,96,7456,65,204.42,46,2.03,7.2,87.7,119
1778442216,95,1009,65,204.63,46,1.95,7.7,87.6,119
1778442218,51,7446,55,54.35,46,1.95,7.7,86.9,119
1778442219,95,7452,64,206.27,46,1.95,7.1,87.1,119
1778442221,95,7452,65,208.35,46,2.03,8.0,87.0,119
1778442223,95,7452,65,208.76,46,2.03,7.6,87.1,119
1778442224,95,7452,65,208.56,45,2.03,7.4,87.1,119
1778442226,95,7452,65,208.79,46,1.87,7.4,86.9,119
1778442228,95,7452,65,209.38,45,1.87,8.2,87.0,119
1778442230,95,7452,66,209.61,46,1.87,7.1,87.2,119
1778442231,95,7452,66,209.65,45,1.88,7.2,87.0,119
1778442233,95,7452,66,209.57,45,1.88,8.2,87.2,119
1778442235,94,7452,66,209.51,45,1.88,7.7,87.0,119
1778442236,95,7452,66,210.27,45,1.81,7.4,87.0,119
1778442238,96,7452,66,210.10,45,1.81,8.0,87.1,119
1778442240,95,7452,66,210.63,46,1.81,7.7,86.9,119
1778442242,95,7452,66,210.56,46,1.90,7.1,87.0,119
1778442243,95,7452,66,210.74,46,1.90,10.0,87.2,119
1778442245,95,7452,66,210.62,46,1.90,7.7,87.1,119
1778442247,95,7452,66,210.98,45,1.83,11.5,88.0,119
1778442248,96,7452,66,210.84,46,1.83,7.7,88.0,119
1778442250,95,7452,67,211.44,46,1.83,8.1,87.7,119
1778442252,96,7452,67,211.66,46,1.84,7.4,87.7,119
1778442254,94,7452,66,211.23,46,1.84,10.5,88.0,119
1778442255,95,7452,66,211.52,45,1.84,6.9,87.9,119
1778442257,95,7452,67,212.09,46,1.94,8.1,87.8,119
1778442259,95,7452,67,212.01,46,1.94,6.6,88.0,119
1778442260,96,7452,67,211.99,46,1.94,6.7,87.9,119
1778442262,95,7452,67,212.28,46,1.94,8.0,87.7,119
1778442264,95,7452,66,212.14,46,1.94,7.9,87.7,119
1778442266,95,7452,67,212.20,46,1.94,7.6,87.8,119
1778442267,95,7452,67,212.40,46,1.86,6.2,87.8,119
1778442269,95,7452,67,212.40,46,1.86,7.7,87.9,119
1778442271,95,7452,66,212.40,46,1.86,7.4,87.8,119
1778442272,95,7452,66,212.65,46,1.79,7.8,87.8,119
1778442274,96,7452,67,212.57,46,1.79,7.4,87.7,119
1778442276,96,7452,67,212.87,46,1.79,6.4,87.7,119
1778442278,95,7452,66,212.73,46,1.65,6.5,87.8,119
1778442279,95,7452,67,212.79,46,1.65,7.6,87.8,119
1778442281,95,7452,67,212.50,46,1.65,8.0,87.8,119
1778442283,95,7452,67,213.39,46,1.60,8.8,87.9,119
1778442284,95,7452,67,213.20,46,1.60,8.3,87.8,119
1778442286,96,7452,67,212.82,46,1.60,8.0,87.7,119
1778442288,95,7452,67,212.72,46,1.55,7.5,87.8,119
1778442290,95,7452,67,212.86,46,1.55,6.6,87.6,119
1778442292,95,7452,67,212.84,46,1.59,7.5,87.7,119
1778442293,96,7452,67,213.48,46,1.59,7.2,87.8,119
1778442295,95,7452,67,213.50,46,1.59,7.4,87.7,119
1778442297,95,7452,67,213.51,46,1.70,6.8,87.7,119
1778442298,95,7452,67,213.26,46,1.70,7.6,87.9,119
1778442300,95,7452,67,213.52,46,1.70,7.4,87.6,119
1778442302,96,7452,67,213.84,46,1.64,7.6,88.2,119
1778442304,95,7452,67,213.69,46,1.64,7.5,87.9,119
1778442305,96,7452,67,213.83,46,1.64,8.0,87.7,119
1778442307,96,7452,67,213.53,47,1.51,8.0,87.7,119
1778442309,96,7452,67,214.03,46,1.51,6.8,87.8,119
1778442310,96,7452,67,214.17,46,1.51,8.8,87.7,119
1778442312,95,7452,67,214.08,47,1.63,7.1,87.6,119
1778442314,95,7452,67,213.88,47,1.63,7.6,87.6,119
1778442316,95,7452,67,214.25,46,1.63,7.0,87.7,119
1778442317,95,7452,67,214.26,46,1.74,7.3,87.7,119
1778442319,95,7452,67,213.94,47,1.74,8.4,87.7,119
1778442321,96,7452,67,214.49,47,1.74,8.0,87.7,119
1778442322,96,7452,67,214.13,46,1.76,7.5,87.6,119
1778442324,96,7452,67,214.49,47,1.76,7.3,87.6,119
1778442326,96,7452,67,213.67,47,1.76,7.7,87.7,119
1778442327,96,7452,67,214.24,47,1.78,7.6,87.7,119
1778442329,96,7452,67,214.33,47,1.78,7.4,87.7,119
1778442331,95,7452,67,214.09,47,1.78,6.7,87.6,119
1778442333,95,7452,67,214.59,47,1.88,9.3,87.6,119
1778442334,95,7452,67,214.80,47,1.88,7.7,87.5,119
1778442336,96,7452,67,214.49,47,1.88,6.5,87.5,119
1778442338,95,7452,67,214.90,47,1.89,8.2,87.7,119
1778442339,96,7452,67,215.13,47,1.89,7.5,87.6,119
1778442341,96,7452,66,206.31,47,1.89,7.7,87.6,119
1778442343,96,7452,66,205.43,47,1.81,8.5,87.7,119
1778442345,97,7452,66,206.95,47,1.81,7.3,87.6,119
1778442346,97,7452,66,205.07,47,1.81,6.1,87.5,119
1778442348,96,7452,66,205.12,47,1.83,7.2,87.6,119
1778442350,96,7452,66,206.60,47,1.83,6.9,87.6,119
1778442351,96,7452,66,206.50,47,1.83,6.8,87.6,119
1778442353,96,7452,66,205.60,47,1.68,6.5,87.7,119
1778442355,96,7452,66,205.41,47,1.68,7.7,87.6,119
1778442357,96,7452,66,204.76,47,1.68,6.6,87.6,119
1778442358,97,7452,66,206.37,47,1.55,6.6,87.6,119
1778442360,97,7452,66,206.46,47,1.55,7.2,87.5,119
1778442362,96,7452,66,206.32,47,1.55,7.0,87.6,119
1778442363,96,7452,66,205.10,47,1.50,6.5,87.7,119
1778442365,96,7452,66,204.54,47,1.50,7.4,87.0,119
1778442367,97,7452,66,206.70,47,1.50,7.2,87.9,119
1778442369,96,7452,66,205.69,47,1.86,7.5,87.9,119
1778442370,96,7452,66,205.58,47,1.86,7.0,87.6,119
1778442372,96,7452,66,206.51,47,1.86,7.4,87.6,119
1778442374,96,7452,66,205.86,47,1.79,7.8,87.9,119
1778442376,96,7452,66,206.29,47,1.79,8.5,87.7,119
1778442377,97,7452,66,204.87,47,1.89,7.8,87.7,119
1778442379,96,7452,65,205.47,47,1.89,7.4,87.8,119
1778442381,97,7452,66,205.98,47,1.89,7.4,87.7,119
1778442382,96,7452,65,206.17,47,1.90,7.7,87.7,119
1778442384,95,7452,65,204.18,47,1.90,7.5,87.7,119
1778442386,96,7452,66,206.21,47,1.90,7.9,87.6,119
1778442388,95,7452,66,204.57,47,1.83,7.4,87.8,119
1778442390,96,7452,66,204.28,47,1.83,28.8,87.7,119
1778442391,96,7452,66,204.60,47,1.83,7.2,87.7,119
1778442393,96,7452,66,205.55,47,1.76,10.2,87.8,119
1778442395,96,7452,66,205.10,47,1.76,8.3,87.7,119
1778442397,96,7452,66,206.21,47,1.76,28.3,87.1,119
1778442398,95,7452,66,204.50,47,1.78,7.0,87.2,119
1778442400,96,7452,66,205.92,47,1.78,7.7,87.2,119
1778442402,96,7452,66,206.01,47,1.78,7.0,87.2,119
1778442403,96,7452,66,203.86,47,1.80,11.2,87.3,119
1778442405,96,7452,66,204.86,47,1.80,6.8,87.1,119
1778442407,96,7452,66,204.57,47,1.80,7.6,87.2,119
1778442409,96,7452,66,204.75,47,1.73,7.3,87.3,119
1778442410,96,7452,65,204.61,47,1.73,8.3,87.1,119
1778442412,96,7452,66,204.33,47,1.73,6.7,87.0,119
1778442414,96,7452,65,205.92,47,1.67,7.9,87.2,119
1778442416,96,7452,66,204.57,47,1.67,7.6,87.1,119
1778442417,96,7452,66,206.51,47,1.67,7.7,87.1,119
1778442419,96,7452,65,203.60,47,1.62,6.6,87.2,119
1778442421,97,7452,66,205.99,47,1.62,7.2,87.1,119
1778442422,97,7452,66,204.85,47,1.62,6.6,87.1,119
1778442424,96,7452,65,204.64,47,1.57,6.6,87.2,119
1778442426,97,7452,65,206.07,47,1.57,8.1,87.1,119
1778442427,96,7452,65,206.05,47,1.57,10.8,88.1,119
1778442429,97,7452,65,205.95,47,1.52,6.7,87.7,119
1778442431,96,7452,65,205.10,47,1.52,6.5,87.7,119
1778442433,96,7452,65,203.73,47,1.52,7.7,87.7,119
1778442434,96,7452,66,205.53,47,1.48,6.4,87.6,119
1778442436,97,7452,65,204.86,47,1.48,7.8,87.7,119
1778442438,97,7452,66,206.03,47,1.48,8.7,87.8,119
1778442439,97,7452,66,205.89,47,1.44,7.4,87.8,119
1778442441,95,7452,65,204.29,47,1.44,6.6,87.8,119
1778442443,96,7452,66,206.09,46,1.41,8.4,87.9,119
1778442445,95,7452,65,205.51,47,1.41,7.3,87.8,119
1778442446,95,7452,65,205.44,46,1.41,6.7,87.7,119
1778442448,97,7452,66,205.24,47,1.29,8.4,87.9,119
1778442450,95,7452,66,204.01,46,1.29,7.6,87.8,119
1778442451,95,7452,65,205.32,46,1.29,9.2,87.8,119
1778442453,97,7452,66,206.04,46,1.19,6.9,88.0,119
1778442455,97,7452,66,204.32,46,1.19,7.1,87.9,119
1778442456,96,7452,66,204.50,46,1.19,7.2,87.3,119
1778442458,97,7452,66,205.97,46,1.17,7.3,87.4,119
1778442460,96,7452,65,205.12,46,1.17,7.9,87.3,119
1778442462,97,7452,66,205.92,46,1.17,7.9,87.3,119
1778442463,96,7452,65,204.55,47,1.32,7.2,87.4,119
1778442465,96,7452,65,204.56,47,1.32,7.6,87.3,119
1778442467,96,7452,66,206.17,47,1.32,8.2,87.3,119
1778442468,96,7452,66,205.84,46,1.38,7.6,87.4,119
1778442470,96,7452,65,204.63,46,1.38,6.6,87.3,119
1778442472,96,7452,65,204.26,46,1.38,8.2,87.2,119
1778442473,96,7452,65,205.54,47,1.34,6.8,87.4,119
1778442475,97,7452,66,206.13,46,1.34,7.7,87.2,119
1778442477,97,7452,65,206.18,46,1.34,7.1,87.2,119
