ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778442519,94,7456,64,207.91,45,1.21,13.7,87.3,119
1778442520,95,7456,64,207.73,44,1.21,10.6,87.6,119
1778442522,95,7456,65,208.10,44,1.21,6.5,87.5,119
1778442524,96,7456,65,208.14,44,1.27,8.2,87.6,119
1778442526,95,7456,65,209.00,44,1.27,7.6,87.6,119
1778442527,95,7456,65,209.53,44,1.27,7.2,87.6,119
1778442529,95,7456,65,209.59,44,1.33,7.3,87.7,119
1778442531,95,7456,65,209.33,44,1.33,7.6,87.6,119
1778442532,95,7456,65,210.05,44,1.33,7.4,87.5,119
1778442534,95,7456,65,210.13,44,1.30,7.4,87.6,119
1778442536,95,7456,65,210.26,44,1.30,7.7,87.5,119
1778442537,95,7456,65,209.95,44,1.30,7.3,87.6,119
1778442539,95,7456,66,210.38,44,1.28,7.7,87.7,119
1778442541,95,7456,66,210.70,44,1.28,8.4,87.7,119
1778442542,96,7456,66,211.19,44,1.28,7.6,87.8,119
1778442544,95,7456,66,211.13,44,1.42,6.3,87.7,119
1778442546,95,7456,66,211.61,44,1.42,16.6,88.5,119
1778442548,96,7456,66,211.62,44,1.42,7.7,88.3,119
1778442549,95,7456,66,211.59,44,1.38,6.8,88.2,119
1778442551,95,7456,66,211.83,44,1.38,7.7,88.0,119
1778442553,95,7456,67,211.87,44,1.38,8.7,88.1,119
1778442554,95,7456,66,211.70,44,1.43,7.9,88.1,119
1778442556,95,7456,67,211.71,44,1.43,7.5,88.0,119
1778442558,95,7456,67,211.91,45,1.43,8.1,88.0,119
1778442560,95,7456,67,211.85,44,1.48,7.2,87.8,119
1778442561,95,7456,67,212.21,45,1.48,7.2,88.0,119
1778442563,95,7456,66,211.75,45,1.48,6.9,88.0,119
1778442565,96,7456,67,212.44,45,1.60,6.9,87.9,119
1778442567,95,7456,67,212.35,45,1.60,7.7,87.8,119
1778442568,95,7456,67,212.38,45,1.60,7.1,87.8,119
1778442570,94,7456,67,212.66,45,1.63,7.4,87.7,119
1778442572,95,7456,67,212.53,45,1.63,6.4,87.7,119
1778442573,96,7456,67,213.14,45,1.63,13.4,87.9,119
1778442575,95,7456,67,212.67,45,1.74,10.0,87.8,119
1778442577,95,7456,67,213.00,45,1.74,8.1,87.8,119
1778442579,96,7456,67,212.80,45,1.74,7.1,87.8,119
1778442580,95,7456,67,213.08,45,1.92,7.4,87.8,119
1778442582,95,7456,67,212.83,45,1.92,7.6,87.7,119
1778442584,95,7456,67,213.30,45,1.92,7.6,87.7,119
1778442586,94,7456,67,212.27,45,1.85,8.1,87.8,119
1778442587,96,7456,67,213.11,45,1.85,6.9,87.8,119
1778442589,94,7456,67,212.78,45,1.85,7.6,87.8,119
1778442591,95,7456,67,213.52,45,2.18,7.1,87.8,119
1778442593,96,7456,67,213.49,45,2.18,7.7,87.8,119
1778442594,96,7456,67,213.15,45,2.18,7.1,87.7,119
1778442596,95,7456,67,213.40,45,2.16,7.6,87.7,119
1778442598,96,7456,67,213.35,45,2.16,6.7,87.8,119
1778442599,95,7456,68,213.53,45,2.07,7.3,87.8,119
1778442601,95,7456,67,213.69,46,2.07,11.6,88.0,119
1778442603,96,7456,67,214.10,45,2.07,7.5,88.0,119
1778442604,94,7456,67,213.72,45,2.31,7.4,87.8,119
1778442606,95,7456,67,213.78,46,2.31,12.0,87.7,119
1778442608,95,7456,67,213.55,46,2.31,8.2,87.8,119
1778442610,95,7456,67,213.95,46,2.12,7.6,87.8,119
1778442611,96,7456,67,214.19,46,2.12,6.4,87.8,119
1778442613,96,7456,67,213.82,46,2.12,7.8,87.9,119
1778442615,96,7456,67,214.26,46,2.03,7.2,87.8,119
1778442616,96,7456,67,214.24,46,2.03,7.3,87.8,119
1778442618,96,7456,67,214.76,46,2.03,6.5,87.8,119
1778442620,96,7456,67,214.67,46,2.03,6.8,87.6,119
1778442622,96,7456,67,214.88,46,2.03,8.2,87.7,119
1778442623,95,7456,68,215.08,46,2.03,6.6,87.9,119
1778442625,95,7456,67,214.58,46,2.03,8.0,87.7,119
1778442627,95,7456,67,215.20,46,2.03,7.1,87.7,119
1778442629,95,7456,67,214.99,46,2.03,7.5,87.9,119
1778442630,96,7456,67,215.11,46,1.86,6.6,87.6,119
1778442632,96,7456,67,215.19,46,1.86,7.5,87.5,119
1778442634,96,7456,67,214.98,46,1.86,8.5,87.7,119
1778442635,96,7456,67,214.54,46,1.87,6.7,87.6,119
1778442637,96,7456,67,214.61,46,1.87,7.1,87.0,119
1778442639,96,7456,67,214.86,46,1.87,7.1,87.1,119
1778442640,96,7456,67,214.89,46,1.88,6.6,86.9,119
1778442642,96,7456,67,213.19,46,1.88,14.9,86.9,119
1778442644,96,7456,66,206.13,46,1.88,9.6,87.1,119
1778442645,96,7456,66,205.89,46,1.81,6.5,87.0,119
1778442647,95,7456,67,205.71,46,1.81,7.0,87.0,119
1778442649,97,7456,66,205.93,46,1.81,7.7,87.0,119
1778442651,97,7456,67,206.27,46,1.75,7.4,87.0,119
1778442652,97,7456,66,205.90,46,1.75,7.7,87.0,119
1778442654,96,7456,66,205.56,47,1.75,7.7,86.9,119
1778442656,96,7456,66,206.00,47,1.85,6.8,87.0,119
1778442658,95,7456,66,205.07,46,1.85,8.2,87.0,119
1778442659,96,7456,66,205.89,46,1.85,6.7,87.0,119
1778442661,96,7456,66,205.13,47,1.86,6.8,87.0,119
1778442663,96,7456,66,205.37,46,1.86,7.4,87.1,119
1778442664,97,7456,66,205.37,46,1.86,7.2,87.0,119
1778442666,95,7456,66,205.44,46,1.79,16.1,87.6,119
1778442668,96,7456,66,205.43,46,1.79,7.4,88.0,119
1778442670,96,7456,66,206.03,47,1.79,6.8,87.7,119
1778442671,96,7456,66,205.20,47,1.73,6.9,87.7,119
1778442673,98,7456,66,205.35,46,1.73,6.5,87.8,119
1778442675,97,7456,66,206.17,47,1.73,7.4,87.7,119
1778442677,96,7456,66,205.55,47,1.67,8.0,87.7,119
1778442678,95,7456,66,205.03,46,1.67,7.5,87.6,119
1778442680,96,7456,66,205.96,47,1.85,7.2,87.7,119
1778442682,97,7456,66,205.18,47,1.85,7.7,87.6,119
1778442683,96,7456,66,205.42,46,1.85,6.7,87.8,119
1778442685,96,7456,66,204.79,46,1.87,7.6,87.6,119
1778442687,96,7456,66,205.36,46,1.87,6.8,87.6,119
1778442689,96,7456,66,205.28,47,1.87,7.7,87.8,119
1778442690,95,7456,66,205.25,47,1.88,7.6,87.5,119
1778442692,97,7456,66,205.34,46,1.88,7.7,87.6,119
1778442694,98,7456,66,205.73,46,1.88,8.6,87.7,119
1778442695,96,7456,66,206.03,47,1.89,7.0,87.6,119
1778442697,96,7456,66,205.65,47,1.89,7.6,87.0,119
1778442699,95,7456,66,205.30,46,1.89,7.6,87.1,119
1778442700,97,7456,66,206.01,47,1.90,7.6,87.0,119
1778442702,96,7456,66,205.68,46,1.90,7.1,86.9,119
1778442704,96,7456,66,205.79,47,1.90,8.5,87.1,119
1778442706,96,7456,66,205.39,46,1.74,7.1,87.0,119
1778442707,96,7456,66,205.48,46,1.74,7.4,87.0,119
1778442709,97,7456,66,206.42,47,1.74,7.2,87.1,119
1778442711,96,7456,66,205.60,47,1.68,11.2,87.0,119
1778442712,96,7456,66,205.03,46,1.68,7.8,87.0,119
1778442714,95,7456,65,205.75,47,1.68,7.2,86.9,119
1778442716,95,7456,66,205.47,47,1.79,7.2,87.0,119
1778442718,97,7456,66,204.90,46,1.79,7.3,87.0,119
1778442719,95,7456,66,205.16,46,1.79,7.3,87.0,119
1778442721,96,7456,66,205.35,46,1.81,10.8,87.0,119
1778442723,97,7456,66,205.26,47,1.81,8.8,87.1,119
1778442724,97,7456,66,205.67,46,1.81,8.7,87.0,119
1778442726,96,7456,66,205.48,46,1.74,15.8,87.6,119
1778442728,96,7456,66,204.19,47,1.74,8.2,88.0,119
1778442730,96,7456,66,202.29,47,1.74,8.1,87.6,119
1778442731,96,7456,66,201.84,46,1.68,7.4,87.7,119
1778442733,96,7472,66,201.68,46,1.68,6.8,87.8,119
1778442735,96,7471,65,202.28,46,1.68,7.6,87.7,119
1778442737,96,7471,65,202.25,46,1.71,7.4,87.7,119
1778442738,95,7471,65,201.99,46,1.71,7.0,87.8,119
1778442740,96,7471,65,201.88,46,1.71,7.0,87.7,119
1778442742,96,7471,65,202.27,46,1.73,6.7,87.7,119
1778442744,95,7471,65,202.11,46,1.73,7.4,87.8,119
1778442745,95,7471,65,202.27,46,1.73,7.4,87.7,119
1778442747,96,7471,65,202.60,46,1.67,7.1,87.7,119
1778442749,96,7471,65,202.30,46,1.67,8.3,87.8,119
1778442750,95,7471,65,202.57,46,1.67,7.6,87.7,119
1778442752,95,7471,65,202.37,46,1.86,7.5,87.7,119
1778442754,96,7471,65,202.44,46,1.86,7.5,87.8,119
1778442756,95,7471,65,202.67,46,1.87,7.7,87.7,119
1778442757,96,7471,65,202.61,46,1.87,6.9,87.0,119
1778442759,96,7471,65,202.34,46,1.87,13.5,87.2,119
1778442761,96,7471,66,202.28,46,1.88,7.4,87.1,119
1778442763,96,7471,65,202.85,46,1.88,7.6,87.1,119
1778442764,96,7471,66,203.05,46,1.88,5.9,87.2,119
1778442766,96,7471,66,202.72,46,1.97,7.6,87.1,119
1778442768,96,7471,65,202.85,46,1.97,8.3,87.2,119
1778442769,95,7471,65,203.24,46,1.97,7.1,87.0,119
1778442771,95,7471,65,203.33,46,1.89,7.2,87.0,119
1778442773,96,7471,65,202.89,46,1.89,8.9,87.1,119
