ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778443124,95,7471,64,207.31,44,1.88,11.4,87.5,119
1778443126,95,7471,64,207.55,43,1.88,11.7,87.6,119
1778443128,95,7471,65,208.07,43,1.88,8.8,87.8,119
1778443129,95,7471,64,208.35,43,1.81,7.7,87.7,119
1778443131,95,7471,65,208.79,43,1.81,6.7,87.8,119
1778443133,95,7471,65,208.94,43,1.81,7.0,87.9,119
1778443135,95,7471,65,209.10,43,1.75,7.9,87.8,119
1778443136,95,7471,65,209.56,43,1.75,7.0,87.7,119
1778443138,96,7471,65,210.28,43,1.75,7.8,87.8,119
1778443140,95,7471,66,209.82,43,1.69,7.3,87.7,119
1778443141,95,7471,65,210.25,43,1.69,7.8,87.8,119
1778443143,94,7471,66,210.60,43,1.69,7.9,87.9,119
1778443145,95,7471,66,210.87,43,1.63,6.3,87.9,119
1778443146,95,7471,66,210.40,43,1.63,9.0,88.6,119
1778443148,95,7471,66,210.62,43,1.63,6.6,88.1,119
1778443150,94,7471,66,211.69,43,1.58,7.8,88.0,119
1778443152,95,7471,66,211.48,43,1.58,8.5,87.9,119
1778443153,95,7471,66,211.60,44,1.58,8.7,88.1,119
1778443155,95,7471,66,211.42,43,1.61,8.0,88.0,119
1778443157,95,7471,66,211.61,43,1.61,7.1,88.0,119
1778443158,95,7471,66,211.99,44,1.61,7.2,88.1,119
1778443160,95,7471,66,211.62,43,1.72,8.3,87.9,119
1778443162,95,7471,67,211.66,44,1.72,6.8,87.9,119
1778443164,95,7471,67,212.13,44,1.72,7.5,88.0,119
1778443166,95,7471,67,211.71,44,1.67,7.0,87.9,119
1778443167,95,7471,67,212.10,44,1.67,7.2,88.0,119
1778443169,95,7471,67,212.28,44,1.67,7.4,87.9,119
1778443171,95,7471,67,212.28,44,1.61,6.9,87.8,119
1778443173,96,7471,67,212.22,44,1.61,8.2,87.8,119
1778443174,95,7471,67,212.38,44,1.61,6.6,87.8,119
1778443176,95,7471,67,212.31,44,1.48,8.6,87.6,119
1778443178,94,7471,67,212.27,44,1.48,7.7,87.6,119
1778443179,95,7471,67,213.01,44,1.48,6.9,87.9,119
1778443181,96,7471,67,212.93,44,1.44,8.6,87.7,119
1778443183,96,7471,67,213.15,44,1.44,8.3,87.8,119
1778443184,95,7471,67,213.12,44,1.44,7.0,87.9,119
1778443186,96,7471,67,213.32,44,1.41,7.3,87.6,119
1778443188,95,7471,67,213.37,44,1.41,7.7,87.7,119
1778443190,95,7471,67,213.55,45,1.70,7.4,87.6,119
1778443191,95,7471,67,213.39,45,1.70,8.2,87.7,119
1778443193,95,7471,67,213.83,45,1.70,7.6,87.8,119
1778443195,95,7471,67,213.51,45,1.64,7.2,87.7,119
1778443197,96,7471,67,214.10,45,1.64,7.3,87.7,119
1778443199,96,7471,67,213.68,45,1.64,7.3,87.8,119
1778443200,96,7471,67,213.68,45,1.67,13.2,87.6,119
1778443202,96,7471,67,213.62,45,1.67,17.5,87.8,119
1778443204,95,7471,67,214.30,45,1.67,8.3,87.6,119
1778443206,96,7471,67,213.86,45,1.61,8.1,87.7,119
1778443207,96,7471,67,214.72,45,1.61,6.8,87.7,119
1778443209,96,7471,67,214.39,45,1.61,7.2,87.6,119
1778443211,96,7471,67,214.21,46,1.48,6.6,87.7,119
1778443212,96,7471,68,214.63,45,1.48,6.8,87.6,119
1778443214,96,7471,67,214.38,46,1.48,6.5,87.5,119
1778443216,95,7471,67,214.24,45,1.69,8.2,87.5,119
1778443218,96,7471,67,214.86,46,1.69,9.0,87.8,119
1778443219,96,7471,67,214.45,46,1.69,7.4,87.6,119
1778443221,96,7471,67,214.74,46,1.87,6.8,87.6,119
1778443223,95,7471,67,214.73,46,1.87,6.8,87.7,119
1778443225,96,7471,67,214.77,46,1.88,7.5,87.6,119
1778443227,97,7471,67,215.17,46,1.88,6.8,87.6,119
1778443229,95,7471,67,214.84,46,1.88,7.8,87.6,119
1778443231,96,7471,67,214.49,46,1.89,6.3,87.4,119
1778443233,96,7471,67,215.64,46,1.89,7.3,87.5,119
1778443235,96,7471,67,215.01,46,1.89,7.2,87.4,119
1778443237,96,7471,67,215.06,46,1.82,6.8,86.8,119
1778443238,96,7471,67,214.85,46,1.82,7.2,87.0,119
1778443240,96,7471,67,215.39,46,1.83,8.4,86.8,119
1778443242,96,7471,67,214.91,46,1.83,7.8,86.7,119
1778443244,95,7471,67,215.74,46,1.83,6.9,86.7,119
1778443246,95,7471,67,215.20,46,1.77,7.8,86.7,119
1778443248,96,7471,67,210.11,47,1.77,8.3,86.8,119
1778443250,96,7471,66,207.40,46,1.77,7.1,86.9,119
1778443252,96,7471,67,206.88,46,1.86,10.1,86.9,119
1778443253,96,7471,67,207.04,46,1.86,6.2,87.0,119
1778443255,96,7471,67,206.68,47,1.86,7.2,86.9,119
1778443257,96,7471,66,206.14,47,1.88,7.1,86.9,119
1778443259,97,7471,66,206.30,47,1.88,7.8,87.1,119
1778443260,96,7471,66,206.24,47,1.88,6.6,86.9,119
1778443262,96,7471,66,206.68,47,1.81,7.4,86.9,119
1778443264,96,7471,66,207.46,47,1.81,8.1,87.1,119
1778443265,95,7471,66,206.22,47,1.82,6.9,87.0,119
1778443267,96,7471,66,206.34,47,1.82,6.8,87.8,119
1778443269,96,7471,66,206.30,47,1.82,12.7,87.6,119
1778443271,96,7471,66,206.49,47,1.75,8.3,87.6,119
1778443272,96,7471,66,206.32,47,1.75,7.2,87.6,119
1778443274,96,7471,67,206.07,47,1.75,11.7,87.6,119
1778443276,97,7471,66,206.54,47,2.01,8.2,87.7,119
1778443278,96,7471,66,206.52,47,2.01,7.4,87.7,119
1778443279,96,7471,66,206.57,47,2.01,6.1,87.7,119
1778443281,96,7471,66,206.41,47,2.09,26.0,87.7,119
1778443283,97,7471,66,206.54,47,2.09,12.5,88.0,119
1778443285,96,7471,66,205.95,46,2.09,7.0,87.8,119
1778443286,96,7471,66,206.19,47,2.08,7.4,87.7,119
1778443288,96,7471,66,206.34,47,2.08,8.1,87.9,119
1778443290,96,7471,66,206.47,47,2.08,7.7,87.8,119
