ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778443730,96,7456,63,206.90,42,1.81,10.3,87.2,119
1778443732,96,7456,64,207.09,42,1.81,19.5,87.6,119
1778443733,94,7456,64,207.46,42,1.81,7.3,87.9,119
1778443735,94,7456,64,207.87,42,1.90,7.3,87.7,119
1778443737,95,7456,64,208.16,42,1.90,7.0,87.7,119
1778443739,95,7456,64,209.12,42,1.90,7.6,87.9,119
1778443740,95,7456,64,209.11,42,1.83,7.4,87.6,119
1778443742,95,7456,65,208.84,42,1.83,8.1,87.6,119
1778443744,95,7456,65,209.38,42,1.83,7.2,87.8,119
1778443745,96,7456,65,209.80,42,1.92,17.5,88.5,119
1778443747,95,7456,65,210.19,42,1.92,16.7,88.2,119
1778443749,95,7456,66,210.09,42,1.92,6.6,88.1,119
1778443751,95,7456,65,210.39,42,1.85,7.2,88.0,119
1778443752,95,7456,66,210.54,42,1.85,8.2,87.9,119
1778443754,96,7456,66,210.68,42,1.85,7.0,88.0,119
1778443756,95,7456,67,211.26,42,1.86,6.6,87.9,119
1778443758,95,7456,66,211.28,42,1.86,7.3,87.9,119
1778443759,95,7456,66,211.49,42,1.86,6.4,88.2,119
1778443761,96,7456,66,211.49,42,1.87,7.1,88.1,119
1778443763,95,7456,66,211.14,42,1.87,8.0,88.2,119
1778443764,96,7456,67,211.75,42,1.87,7.6,88.0,119
1778443766,94,7456,67,212.05,42,1.80,7.5,87.9,119
1778443768,96,7456,67,212.02,42,1.80,7.4,88.0,119
1778443770,95,7456,67,212.30,42,1.80,8.5,87.9,119
1778443771,95,7456,67,212.46,43,1.74,7.3,88.0,119
1778443773,95,7456,67,212.74,43,1.74,6.6,88.2,119
1778443775,95,7456,67,212.73,43,1.74,7.2,87.9,119
1778443777,96,7456,67,212.64,43,1.68,7.4,87.9,119
1778443778,95,7456,67,212.21,43,1.68,6.6,87.9,119
1778443780,96,7456,67,212.99,44,1.70,7.5,87.8,119
1778443782,96,7456,67,212.80,44,1.70,6.4,87.8,119
1778443784,96,7456,67,212.77,44,1.70,10.9,88.0,119
1778443785,95,7456,67,213.30,44,2.05,7.4,87.8,119
1778443787,96,7456,67,212.88,44,2.05,18.2,87.9,119
1778443789,95,7456,67,212.89,44,2.05,12.3,88.0,119
1778443791,96,7456,67,213.01,44,1.96,8.3,87.8,119
1778443792,94,7456,67,213.01,44,1.96,8.2,87.7,119
1778443794,95,7456,67,213.12,45,1.96,8.0,87.8,119
