ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778444337,95,7471,64,207.13,40,1.75,11.3,87.2,119
1778444338,95,7471,64,207.38,40,1.75,7.1,87.6,119
1778444340,95,7471,64,207.63,40,2.09,6.8,87.6,119
1778444342,96,7471,64,208.21,40,2.09,6.8,87.5,119
1778444344,94,7471,65,208.13,40,2.09,8.1,87.7,119
1778444345,95,7471,65,209.08,40,2.08,11.1,87.8,119
1778444347,93,7471,64,209.41,40,2.08,16.1,88.2,119
1778444349,96,7471,65,209.96,40,2.08,7.4,88.1,119
1778444350,94,7471,65,209.63,40,2.08,6.8,87.9,119
1778444352,95,7471,65,209.52,40,2.08,6.8,88.1,119
1778444354,94,7471,65,209.70,40,2.08,8.6,88.2,119
1778444355,95,7471,66,209.82,40,2.07,7.4,88.1,119
1778444357,95,7471,66,210.62,40,2.07,6.6,88.1,119
1778444359,95,7471,66,210.90,41,2.07,7.2,88.2,119
1778444361,95,7471,66,211.02,41,2.22,12.3,88.1,119
1778444362,96,7471,66,211.36,41,2.22,7.5,88.1,119
1778444364,95,7471,66,211.42,41,2.22,7.1,88.1,119
1778444366,95,7471,67,211.35,41,2.21,7.3,88.0,119
1778444368,96,7471,67,211.44,41,2.21,8.6,88.1,119
1778444370,95,7471,67,211.87,42,2.21,7.3,88.0,119
1778444372,96,7471,67,211.62,42,2.03,7.3,88.0,119
1778444373,95,7471,67,211.57,42,2.03,6.6,88.2,119
1778444375,95,7471,67,211.60,43,2.03,7.3,88.1,119
1778444377,96,7471,67,211.70,43,1.95,7.6,88.0,119
1778444378,95,7471,67,211.30,43,1.95,7.2,88.2,119
1778444380,94,7471,67,211.54,43,1.95,7.0,87.9,119
1778444382,96,7471,67,212.13,43,1.87,6.8,87.8,119
1778444383,95,7471,67,211.95,43,1.87,10.8,88.0,119
1778444385,95,7471,67,211.19,44,1.87,7.5,87.9,119
1778444387,95,7471,67,212.00,44,1.80,6.9,88.0,119
1778444389,95,7471,67,212.61,44,1.80,7.3,88.0,119
1778444390,95,7471,67,212.36,44,1.80,6.7,87.9,119
1778444392,96,7471,67,212.14,44,1.74,6.6,87.7,119
1778444394,96,7471,67,212.60,45,1.74,7.7,87.9,119
1778444395,95,7471,67,212.64,45,1.68,7.3,87.8,119
1778444397,95,7471,67,212.80,45,1.68,7.7,87.9,119
1778444399,95,7471,67,212.68,45,1.68,8.0,88.0,119
1778444401,95,7471,67,213.27,45,1.62,19.7,88.1,119
1778444402,96,7471,67,212.96,45,1.62,13.2,88.3,119
1778444404,95,7471,67,212.88,45,1.62,7.3,88.0,119
1778444406,95,7471,67,213.23,45,1.57,7.7,87.8,119
1778444408,96,7471,67,213.71,45,1.57,7.5,87.9,119
1778444409,95,7471,67,213.59,45,1.57,7.1,88.1,119
1778444411,96,7471,67,213.27,45,1.45,7.3,87.8,119
1778444413,95,7471,67,213.19,45,1.45,8.3,87.9,119
1778444414,96,7471,67,213.56,46,1.45,7.5,87.9,119
1778444416,95,7471,67,213.42,46,1.41,6.8,87.7,119
1778444418,96,7471,67,213.08,45,1.41,9.0,87.8,119
1778444419,96,7471,67,213.53,46,1.41,6.9,87.9,119
1778444421,96,7471,68,213.21,46,1.46,7.3,87.8,119
1778444423,96,7471,67,213.74,46,1.46,7.4,87.9,119
1778444425,95,7470,67,214.03,46,1.46,7.0,87.8,119
1778444426,96,7470,67,214.35,46,1.50,6.7,87.8,119
1778444428,96,7470,67,214.46,46,1.50,7.2,87.8,119
1778444430,96,7470,67,214.17,46,1.50,7.6,87.6,119
1778444431,96,7470,67,214.58,46,1.46,7.6,87.6,119
1778444433,96,7470,67,214.37,46,1.46,7.1,87.8,119
1778444435,96,7470,67,214.48,46,1.46,6.6,87.7,119
1778444437,96,7470,67,215.00,46,1.50,7.8,87.1,119
1778444438,95,7470,67,215.01,46,1.50,6.8,87.1,119
1778444440,94,7470,67,214.94,46,1.50,7.0,87.0,119
1778444442,96,7470,67,215.14,46,1.54,7.1,87.0,119
1778444443,97,7470,67,215.48,46,1.54,7.1,87.2,119
1778444445,96,7470,67,215.20,46,1.54,7.4,87.1,119
1778444447,95,7470,67,215.28,47,1.66,7.6,87.1,119
1778444448,96,7470,67,215.10,46,1.66,7.8,87.2,119
1778444450,96,7470,67,215.30,47,1.66,6.8,87.0,119
1778444452,95,7470,67,214.84,46,1.69,7.1,87.0,119
1778444453,96,7470,67,214.95,46,1.69,6.8,87.2,119
1778444455,96,7470,67,214.97,47,1.69,6.6,87.1,119
1778444457,96,7470,67,214.98,47,1.71,7.6,87.1,119
1778444459,96,7470,67,215.71,47,1.71,7.5,87.2,119
1778444460,97,7470,66,206.54,47,1.71,7.8,87.0,119
1778444462,96,7470,66,206.23,47,1.73,7.8,87.0,119
1778444464,96,7470,66,205.64,47,1.73,7.3,87.0,119
1778444465,96,7470,66,205.91,47,1.73,7.2,87.1,119
1778444467,95,7470,66,206.36,47,2.16,9.4,88.0,119
1778444469,97,7470,66,206.00,47,2.16,8.6,87.9,119
1778444471,96,7470,66,206.18,47,2.16,6.9,87.9,119
1778444472,95,7470,66,205.81,47,2.06,7.4,87.9,119
1778444474,96,7470,66,206.08,47,2.06,7.2,87.8,119
1778444476,96,7470,66,207.02,47,2.06,7.1,87.8,119
1778444477,97,7470,66,207.14,47,1.98,7.4,87.9,119
1778444479,96,7470,66,206.31,47,1.98,6.7,87.9,119
1778444481,97,7470,66,205.88,47,1.98,7.6,87.9,119
1778444483,97,7470,66,207.39,47,1.90,7.3,88.0,119
1778444484,95,7470,66,206.05,47,1.90,7.1,87.9,119
1778444486,96,7470,66,206.35,47,1.90,7.9,87.7,119
1778444488,95,7470,66,205.49,47,1.83,8.5,88.0,119
1778444489,96,7470,66,206.22,47,1.83,6.7,87.8,119
1778444491,96,7470,66,205.65,47,1.83,7.1,87.8,119
1778444493,98,7470,66,206.12,47,1.76,7.1,87.9,119
