ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778444943,95,7479,64,207.05,42,2.24,11.9,86.4,119
1778444945,95,7479,64,207.20,42,2.24,6.5,86.7,119
1778444947,95,7479,64,207.80,42,2.46,8.2,87.7,119
1778444949,95,7479,64,207.88,42,2.46,8.0,87.5,119
1778444950,94,7479,65,208.33,42,2.46,7.6,87.4,119
1778444952,95,7479,65,209.21,42,2.42,6.9,87.4,119
1778444954,95,7479,65,209.42,42,2.42,8.8,87.5,119
1778444955,94,7479,65,209.61,42,2.42,8.1,87.3,119
1778444957,95,7479,65,209.80,42,2.31,8.5,87.4,119
1778444959,95,7479,66,210.43,42,2.31,7.5,87.3,119
1778444962,96,7479,66,210.22,42,2.21,7.6,87.5,119
1778444964,95,7479,66,210.43,42,2.21,9.8,87.4,119
1778444966,96,7479,66,211.37,42,2.19,7.1,87.4,119
1778444968,95,7479,66,211.47,42,2.19,7.8,87.5,119
1778444971,95,7479,66,211.46,42,2.25,6.9,87.4,119
1778444973,95,7479,66,211.97,42,2.25,7.3,87.4,119
1778444975,95,7479,66,211.87,42,2.23,8.1,87.3,119
1778444978,95,7479,66,211.99,42,2.23,7.4,87.4,119
1778444980,96,7479,67,212.27,42,2.23,7.6,87.4,119
1778444982,95,7479,67,211.88,43,2.37,7.8,87.5,119
1778444985,95,7479,67,212.54,43,2.37,7.1,87.4,119
1778444987,95,7479,67,212.73,43,2.42,6.9,87.3,119
1778444989,95,7479,67,212.86,43,2.42,7.7,87.1,119
1778444991,96,7479,67,212.77,43,2.47,7.2,87.1,119
1778444993,95,7479,67,212.87,44,2.47,7.9,87.2,119
1778444996,95,7479,67,213.45,44,2.35,6.2,87.1,119
1778444998,95,7479,67,212.58,44,2.35,8.4,87.2,119
1778444999,95,7479,67,213.24,44,2.35,6.8,87.3,119
1778445001,95,7479,67,212.70,44,2.32,13.4,87.4,119
1778445003,95,7479,67,212.64,44,2.32,11.5,87.4,119
1778445004,96,7479,67,213.14,44,2.32,7.1,87.4,119
1778445006,95,7479,67,213.46,45,2.22,9.5,87.1,119
1778445008,96,7479,67,213.68,45,2.22,8.3,87.2,119
1778445010,95,7479,67,213.59,45,2.22,7.0,87.1,119
1778445011,96,7479,67,213.44,45,2.28,7.7,87.2,119
1778445013,95,7479,67,213.43,45,2.28,6.8,87.3,119
1778445015,95,7479,67,213.52,45,2.28,8.0,87.2,119
1778445016,96,7479,67,213.16,45,2.26,7.5,87.2,119
1778445018,95,7479,67,213.37,45,2.26,6.8,87.3,119
1778445020,95,7479,67,213.79,45,2.26,6.5,87.2,119
1778445022,95,7479,67,213.75,46,2.16,7.4,87.4,119
1778445025,95,7479,68,214.59,46,2.16,8.1,87.3,119
1778445027,96,7479,67,214.34,46,2.30,7.5,87.3,119
1778445029,95,7479,67,214.07,46,2.30,7.3,87.4,119
1778445031,95,7479,68,214.08,46,2.30,8.2,87.2,119
1778445032,95,7479,67,214.02,46,2.12,7.1,87.2,119
1778445034,95,7479,67,214.04,46,2.12,7.3,87.3,119
1778445036,95,7479,68,214.45,46,2.12,7.5,86.5,119
1778445038,96,7479,67,214.81,46,2.03,9.0,86.6,119
1778445040,95,7479,67,214.61,46,2.03,6.8,86.5,119
1778445042,96,7479,67,215.30,46,1.95,7.3,86.5,119
1778445044,96,7479,67,215.14,46,1.95,9.7,86.5,119
1778445045,96,7479,68,215.60,46,1.95,6.9,86.5,119
