ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778445549,96,7456,64,208.31,44,2.11,9.5,86.1,119
1778445551,96,7456,65,208.62,44,2.11,9.3,86.5,119
1778445553,95,7456,65,208.74,44,2.18,9.1,86.6,119
1778445554,94,7456,65,208.81,44,2.18,7.7,86.5,119
1778445556,95,7456,65,209.32,44,2.32,7.5,86.5,119
1778445558,95,7456,65,209.87,44,2.32,8.8,86.6,119
1778445559,95,7456,65,210.13,44,2.32,7.1,86.5,119
1778445561,95,7456,65,210.52,44,2.22,6.7,86.5,119
1778445563,95,7456,65,210.65,44,2.22,7.5,86.6,119
1778445565,94,7456,65,210.70,44,2.22,7.6,86.5,119
1778445566,95,7456,66,211.08,44,2.28,7.2,86.4,119
1778445568,95,7456,66,210.69,44,2.28,7.1,86.6,119
1778445570,96,7456,66,210.98,44,2.28,6.7,86.5,119
1778445571,95,7456,66,211.31,44,2.34,7.8,86.5,119
1778445574,95,7456,66,211.61,44,2.34,7.2,86.4,119
1778445576,95,7456,66,212.15,44,2.15,8.4,86.3,119
1778445578,95,7456,66,211.14,44,2.15,6.9,86.6,119
1778445580,94,7456,66,211.50,44,2.15,7.6,86.4,119
1778445582,95,7456,67,211.92,44,2.14,7.1,86.4,119
1778445584,95,7456,66,211.75,44,2.14,8.0,86.6,119
1778445585,95,7456,67,211.38,44,2.14,7.8,86.4,119
1778445587,96,7456,67,212.12,45,2.13,7.6,86.4,119
1778445589,95,7456,67,211.86,44,2.13,6.8,86.4,119
1778445591,95,7456,67,212.02,44,2.13,6.4,86.4,119
1778445593,96,7456,67,212.44,45,2.04,7.8,86.5,119
1778445595,95,7456,67,212.30,45,2.04,7.2,86.3,119
1778445597,96,7456,67,212.09,45,2.19,8.3,86.3,119
1778445599,95,7456,67,212.59,45,2.19,7.7,86.4,119
1778445601,95,7456,67,212.48,45,2.19,14.6,86.3,119
1778445602,95,7456,67,212.78,45,2.02,12.2,86.5,119
1778445604,94,7456,67,212.33,45,2.02,7.0,86.5,119
1778445606,95,7456,67,212.68,45,2.02,7.6,86.4,119
1778445608,95,7456,67,212.31,45,1.94,7.6,86.5,119
1778445610,95,7456,67,212.76,45,1.94,6.9,86.4,119
1778445612,95,7456,67,213.02,45,1.86,6.7,86.4,119
1778445614,95,7456,67,213.35,45,1.86,10.7,86.5,119
1778445616,95,7456,67,212.86,45,1.86,6.7,86.4,119
1778445618,96,7456,67,213.29,45,1.79,7.5,86.5,119
1778445620,96,7456,67,213.48,45,1.79,7.2,86.4,119
1778445621,95,7456,67,213.52,45,1.79,7.3,86.4,119
1778445623,96,7456,67,213.71,45,1.73,6.8,86.5,119
1778445625,95,7456,68,213.46,45,1.73,7.7,86.5,119
1778445627,96,7456,67,213.68,46,1.59,7.6,86.5,119
1778445629,96,7456,67,213.38,45,1.59,7.8,86.6,119
1778445631,96,7456,67,213.73,46,1.59,8.0,86.3,119
1778445632,96,7456,67,213.87,46,1.46,7.8,86.3,119
1778445634,95,7456,67,214.46,46,1.46,8.2,86.4,119
1778445636,96,7456,67,214.03,46,1.46,6.8,85.5,119
1778445638,96,7456,67,214.11,46,1.50,7.2,85.7,119
1778445640,96,7456,67,214.21,46,1.50,7.5,85.6,119
1778445642,95,7456,67,214.22,46,1.70,6.9,85.5,119
1778445644,95,7456,67,214.74,46,1.70,7.7,85.6,119
1778445646,95,7456,68,214.24,46,1.70,7.2,85.5,119
1778445647,95,7456,67,214.87,46,1.65,7.3,85.6,119
1778445649,96,7456,67,214.86,46,1.65,6.6,85.8,119
1778445651,95,7456,67,214.30,46,1.65,7.5,85.6,119
1778445653,97,7456,67,214.88,46,1.76,8.4,85.7,119
1778445654,96,7456,67,214.48,46,1.76,8.8,85.8,119
1778445656,96,7456,67,214.94,46,1.76,7.9,85.5,119
1778445658,96,7456,67,215.34,46,1.85,8.1,85.6,119
1778445660,95,7456,67,215.02,46,1.85,8.4,85.5,119
1778445661,96,7456,67,215.22,46,1.85,6.5,85.6,119
1778445663,96,7456,67,214.84,46,1.79,7.0,85.7,119
1778445665,96,7456,67,214.60,46,1.79,7.1,85.6,119
1778445666,96,7456,67,215.45,46,1.79,13.9,86.4,119
1778445668,96,7456,67,215.45,46,1.64,8.2,86.2,119
1778445670,96,7456,67,215.29,47,1.64,7.2,86.1,119
1778445672,96,7456,67,215.53,46,1.64,6.5,86.1,119
1778445673,96,7456,67,206.16,47,1.75,10.8,86.4,119
1778445675,96,7456,67,205.96,47,1.75,7.3,86.2,119
1778445677,96,7456,67,205.93,47,1.75,7.6,86.3,119
1778445679,96,7456,67,206.34,47,1.77,7.2,86.5,119
1778445680,96,7456,67,205.34,47,1.77,7.1,86.2,119
1778445682,96,7456,66,206.61,47,1.77,7.7,86.2,119
1778445684,97,7456,67,206.56,47,1.79,6.9,86.3,119
1778445685,96,7456,66,206.45,47,1.79,12.8,86.3,119
1778445687,96,7456,66,206.74,47,1.79,6.6,86.3,119
1778445689,96,7456,66,206.18,47,1.73,7.8,86.3,119
1778445691,96,7456,66,206.54,47,1.73,7.2,86.3,119
1778445692,95,7456,66,206.26,47,1.73,7.2,86.3,119
1778445694,95,7456,66,206.57,47,1.75,6.1,86.2,119
1778445696,96,7456,66,206.09,47,1.75,6.6,86.3,119
1778445698,97,7456,66,205.96,47,1.61,7.7,85.7,119
1778445700,96,7456,66,205.53,47,1.61,6.2,85.6,119
1778445702,96,7456,66,205.93,47,1.61,7.2,85.6,119
1778445704,95,7456,66,206.12,47,1.48,7.3,85.6,119
1778445705,96,7456,66,206.07,47,1.48,7.4,85.6,119
