ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778446156,95,7452,64,207.92,44,1.76,10.7,86.7,119
1778446158,96,7452,64,207.93,44,2.90,12.0,87.2,119
1778446159,95,7452,64,207.96,44,2.90,8.3,87.1,119
1778446161,95,7452,65,208.60,44,2.90,8.5,87.1,119
1778446163,95,7452,65,209.02,44,2.67,7.8,87.2,119
1778446165,95,7452,65,208.82,44,2.67,7.3,87.1,119
1778446166,95,7452,65,208.54,44,2.67,6.8,87.1,119
1778446168,3,1190,55,143.54,44,2.69,7.4,86.8,119
1778446170,95,7456,64,116.37,44,2.69,7.2,86.6,119
1778446172,95,7456,64,208.43,44,2.69,8.3,86.6,119
1778446173,96,7456,64,207.82,44,2.56,7.6,86.8,119
1778446175,95,7456,65,208.44,43,2.56,6.6,86.7,119
1778446177,95,7456,65,208.88,44,2.56,7.8,86.6,119
1778446179,96,7456,65,209.42,43,2.59,7.8,86.7,119
1778446180,96,7456,65,209.23,44,2.59,7.5,86.5,119
1778446182,95,7456,65,209.62,44,2.79,8.1,86.6,119
1778446184,95,7456,65,209.58,44,2.79,9.0,86.7,119
1778446185,95,7456,65,210.02,44,2.79,7.1,86.6,119
1778446187,96,7456,66,210.48,44,2.80,7.1,86.6,119
1778446189,94,7456,66,210.42,44,2.80,7.5,86.7,119
1778446191,95,7456,66,210.60,44,2.80,7.3,86.6,119
1778446192,95,7456,66,210.98,44,2.82,7.4,86.5,119
1778446194,95,7456,66,211.19,44,2.82,8.3,86.7,119
1778446196,95,7456,66,211.24,44,2.82,7.4,86.6,119
1778446197,95,7456,66,211.45,44,2.75,6.4,86.6,119
1778446199,96,7456,66,211.79,44,2.75,7.1,86.5,119
1778446201,95,7456,66,211.63,44,2.75,15.4,86.7,119
1778446203,95,7456,66,211.53,44,2.61,8.1,86.6,119
1778446204,94,7456,66,212.22,44,2.61,8.1,86.5,119
1778446206,95,7456,67,212.11,44,2.61,10.2,86.3,119
1778446208,95,7456,67,212.06,44,2.48,7.5,86.6,119
1778446210,95,7456,67,212.10,44,2.48,7.5,86.4,119
1778446211,95,7456,67,212.60,44,2.48,7.5,86.4,119
1778446213,96,7456,67,212.87,44,2.44,7.7,86.5,119
1778446215,95,7456,67,212.94,44,2.44,7.7,86.4,119
1778446216,95,7456,67,212.75,44,2.44,8.5,86.4,119
1778446218,96,7456,67,213.05,44,2.41,6.9,86.5,119
1778446220,95,7456,67,212.66,44,2.41,7.6,86.4,119
1778446222,95,7456,67,213.28,44,2.41,7.3,86.4,119
1778446223,95,7456,67,213.02,44,2.29,7.1,86.5,119
1778446225,95,7456,67,213.10,44,2.29,7.2,86.4,119
1778446227,96,7456,67,213.12,45,2.29,7.8,86.4,119
1778446228,95,7456,67,212.83,45,2.43,7.3,86.5,119
1778446230,95,7456,67,213.50,45,2.43,6.5,86.4,119
1778446232,96,7456,67,213.10,45,2.43,6.9,86.2,119
1778446234,95,7456,67,213.39,45,2.40,6.5,86.3,119
1778446235,96,7456,67,213.25,45,2.40,6.6,86.2,119
1778446237,95,7456,67,213.71,45,2.40,7.4,85.6,119
1778446239,96,7456,67,213.35,45,2.36,7.8,85.7,119
1778446240,95,7456,67,213.93,45,2.36,7.5,85.6,119
1778446242,95,7456,67,213.86,45,2.36,7.4,85.6,119
1778446244,95,7456,67,213.76,45,2.58,8.6,85.7,119
1778446245,95,7456,67,214.57,45,2.58,7.7,85.6,119
1778446247,95,7456,67,213.56,45,2.58,7.2,85.6,119
1778446249,96,7456,67,213.92,45,2.37,8.6,85.7,119
1778446251,96,7456,68,213.94,46,2.37,7.4,85.6,119
1778446252,96,7456,67,214.15,46,2.37,7.1,85.6,119
1778446254,96,7456,67,214.26,46,2.34,7.6,85.6,119
1778446256,96,7456,68,214.28,46,2.34,6.6,85.5,119
1778446257,96,7456,67,214.36,45,2.34,7.0,85.5,119
1778446259,96,7456,68,214.49,46,2.23,7.1,85.7,119
1778446261,95,7456,67,214.82,46,2.23,6.3,85.6,119
1778446262,95,7456,67,214.85,46,2.23,8.1,85.6,119
1778446264,96,7456,67,214.56,46,2.21,7.4,85.6,119
1778446266,96,7456,67,214.16,46,2.21,18.2,86.1,119
1778446268,95,7456,67,215.02,46,2.21,18.8,86.4,119
1778446269,95,7456,67,214.72,46,2.44,7.2,86.5,119
1778446271,95,7456,67,215.28,46,2.44,8.4,86.4,119
1778446273,96,7456,67,215.06,46,2.44,8.2,86.5,119
1778446274,96,7456,67,215.13,46,2.32,7.5,86.4,119
1778446276,96,7456,68,215.47,46,2.32,7.1,86.2,119
1778446278,95,7456,67,214.86,46,2.62,7.5,86.4,119
1778446280,95,7456,67,215.75,46,2.62,7.7,86.3,119
1778446281,95,7456,67,215.81,46,2.62,6.8,86.3,119
1778446283,96,7456,67,215.47,46,2.73,6.9,86.5,119
1778446285,96,7456,67,215.74,46,2.73,7.6,86.4,119
1778446286,96,7456,67,215.38,47,2.73,7.5,86.3,119
1778446288,96,7456,67,215.43,46,2.67,7.2,86.4,119
1778446290,96,7456,67,215.35,46,2.67,6.9,86.2,119
1778446292,96,7456,67,215.74,47,2.67,6.9,86.2,119
1778446294,96,7456,67,216.33,47,2.61,8.1,86.3,119
1778446295,97,7456,67,213.08,47,2.61,7.2,86.3,119
1778446297,95,7456,67,206.66,47,2.61,7.7,85.7,119
1778446299,96,7456,67,206.33,47,2.56,8.1,85.8,119
1778446300,95,7456,67,206.53,47,2.56,7.7,85.7,119
1778446302,96,7456,67,206.47,47,2.56,7.0,85.5,119
1778446304,95,7456,66,205.80,47,2.60,6.7,85.6,119
1778446306,95,7456,67,206.50,47,2.60,8.5,85.5,119
1778446307,96,7456,67,206.23,47,2.60,6.8,85.6,119
1778446309,96,7456,67,206.20,47,2.47,6.9,85.7,119
1778446311,96,7456,66,206.04,47,2.47,11.3,85.6,119
1778446312,96,7456,66,206.05,47,2.47,7.4,85.6,119
1778446314,97,7456,66,206.82,47,2.59,7.1,85.6,119
