ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778446762,95,7467,64,206.69,44,1.87,11.0,86.3,119
1778446763,95,7467,64,206.81,43,3.09,20.1,86.7,119
1778446765,94,7467,64,207.51,43,3.09,7.4,86.6,119
1778446767,94,7467,64,207.81,43,3.09,6.4,86.6,119
1778446768,94,7467,65,208.26,43,2.92,7.6,86.7,119
1778446770,95,7467,65,208.64,43,2.92,7.7,86.5,119
1778446772,94,7467,65,208.73,43,2.92,6.9,86.6,119
1778446774,94,7467,65,208.71,43,2.68,8.1,86.7,119
1778446775,95,7467,65,208.97,43,2.68,6.8,86.6,119
1778446777,95,7467,65,209.40,43,2.68,7.6,86.6,119
1778446779,95,7467,65,209.70,43,2.71,7.0,86.7,119
1778446780,95,7467,66,209.54,43,2.71,7.6,86.6,119
1778446782,95,7467,66,210.07,43,2.71,7.2,86.5,119
1778446784,96,7467,66,210.60,43,2.73,7.3,86.7,119
1778446785,95,7467,66,210.45,43,2.73,7.8,86.6,119
1778446787,95,7467,66,210.70,43,2.73,7.4,86.5,119
1778446789,94,7467,66,210.38,43,2.67,7.8,86.6,119
1778446791,95,7467,66,210.94,43,2.67,7.4,86.4,119
1778446792,95,7467,67,211.04,43,2.67,6.9,86.4,119
1778446794,95,7467,66,211.55,43,2.54,14.4,86.3,119
1778446796,94,7467,66,209.65,44,2.54,7.6,86.4,119
1778446798,95,7467,66,209.64,43,2.54,7.3,86.4,119
1778446799,94,7467,67,209.92,44,2.58,7.1,86.4,119
1778446801,95,7467,66,210.10,43,2.58,16.2,86.6,119
1778446803,95,7467,66,209.59,44,2.58,8.8,86.8,119
1778446804,95,7467,67,209.93,44,2.45,7.1,86.5,119
1778446806,95,7467,66,210.00,44,2.45,12.8,86.2,119
1778446808,96,7467,67,210.50,44,2.45,8.0,86.4,119
1778446809,95,7467,67,210.57,44,2.57,7.5,86.3,119
1778446811,95,7467,67,210.48,44,2.57,7.2,86.3,119
1778446813,95,7467,67,210.27,44,2.57,11.5,86.4,119
1778446815,95,7467,67,211.02,44,2.53,7.0,86.3,119
1778446816,95,7467,67,212.61,44,2.53,7.2,86.2,119
1778446818,96,7467,67,212.91,44,2.53,7.5,86.4,119
1778446820,96,7467,67,213.20,44,2.40,7.4,86.3,119
1778446821,95,7467,67,213.11,44,2.40,7.2,86.3,119
1778446823,95,7467,67,212.95,44,2.29,7.0,86.4,119
1778446825,95,7467,67,213.03,44,2.29,8.8,86.3,119
1778446827,95,7467,67,212.96,44,2.29,6.8,86.3,119
1778446829,95,7467,67,213.41,44,2.27,7.1,86.4,119
1778446830,94,7467,67,213.27,44,2.27,8.6,86.3,119
1778446832,95,7467,67,213.51,45,2.27,7.1,86.0,119
1778446834,95,7467,67,213.70,45,2.41,7.7,86.2,119
1778446836,95,7467,67,213.73,45,2.41,7.2,85.6,119
1778446838,95,7467,67,213.76,45,2.29,7.4,85.7,119
1778446840,95,7467,67,214.01,45,2.29,7.4,85.6,119
1778446842,95,7467,67,214.46,45,2.29,8.6,85.6,119
1778446844,95,7467,67,213.97,45,2.19,7.5,85.6,119
1778446846,96,7467,67,213.95,45,2.19,7.3,85.6,119
1778446848,95,7467,67,214.26,45,2.33,7.8,85.6,119
1778446850,95,7467,67,214.35,46,2.33,7.6,85.4,119
1778446852,95,7467,67,213.91,46,2.33,8.5,85.6,119
1778446854,96,7467,67,214.16,46,2.31,7.5,85.6,119
1778446856,96,7467,67,214.30,46,2.31,7.7,85.6,119
1778446859,96,7467,67,214.44,46,2.28,6.8,85.6,119
1778446861,95,7467,67,214.58,46,2.28,7.4,85.6,119
1778446863,96,7467,67,214.12,46,2.18,7.6,85.7,119
1778446865,96,7467,67,214.61,46,2.18,8.0,85.6,119
1778446867,95,7467,67,214.54,46,2.18,7.5,86.5,119
1778446870,95,7467,67,215.05,46,2.08,7.2,86.3,119
1778446872,95,7467,67,214.49,46,2.08,7.2,86.3,119
1778446873,95,7467,67,214.94,46,2.08,7.5,86.4,119
1778446875,96,7467,67,214.66,46,2.00,7.8,86.3,119
1778446877,95,7467,68,214.95,46,2.00,7.4,86.3,119
1778446878,96,7467,67,215.68,46,2.00,7.6,86.3,119
1778446880,96,7467,67,215.16,46,2.08,6.9,86.3,119
1778446882,95,7467,67,214.79,46,2.08,6.5,86.3,119
1778446884,95,7467,67,205.20,46,2.08,7.7,86.4,119
1778446885,96,7467,67,205.85,46,1.99,7.0,86.3,119
1778446887,96,7467,66,205.79,47,1.99,6.5,86.3,119
1778446889,96,7467,67,205.36,46,2.07,7.2,86.4,119
1778446891,96,7467,66,205.37,47,2.07,6.9,86.3,119
1778446892,96,7467,66,205.00,47,2.07,8.6,86.3,119
1778446894,95,7467,66,204.29,46,2.07,7.1,86.3,119
1778446896,96,7467,66,204.59,47,2.07,7.3,86.3,119
1778446898,97,7467,66,206.72,47,2.07,7.1,85.8,119
1778446900,97,7467,66,206.62,46,2.14,7.3,85.6,119
1778446902,97,7467,66,206.82,47,2.14,6.2,85.6,119
1778446903,96,7467,66,206.00,46,2.14,11.1,85.7,119
1778446905,96,7467,66,206.58,47,2.13,6.6,85.7,119
1778446907,95,7467,66,204.94,47,2.13,6.8,85.7,119
1778446909,96,7467,66,206.52,47,2.12,7.6,85.8,119
