ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778447367,95,7452,63,206.54,43,1.56,11.1,86.7,119
1778447369,95,7452,64,206.78,42,1.76,12.6,87.0,119
1778447371,94,7452,64,207.05,42,1.76,7.6,87.0,119
1778447373,95,7452,64,207.67,42,1.76,8.8,87.0,119
1778447374,95,7452,64,208.15,42,1.70,6.6,86.9,119
1778447376,94,7452,65,207.79,42,1.70,7.2,86.9,119
1778447378,95,7452,65,208.54,42,1.70,7.8,87.1,119
1778447379,95,7452,65,208.53,42,1.64,7.3,87.0,119
1778447381,95,7452,65,208.72,42,1.64,7.3,87.0,119
1778447383,94,7452,65,208.13,42,1.64,7.5,87.1,119
1778447385,95,7452,65,209.86,42,1.59,7.2,87.0,119
1778447386,95,7452,65,209.81,42,1.59,7.7,87.0,119
1778447388,94,7452,65,210.09,42,1.59,7.2,87.0,119
1778447390,95,7452,66,210.08,42,1.54,6.8,86.8,119
1778447392,95,7452,66,210.12,42,1.54,8.3,86.9,119
1778447393,95,7452,66,210.78,42,1.58,6.6,87.1,119
1778447395,95,7452,66,210.84,42,1.58,6.8,87.0,119
1778447397,95,7452,66,210.76,42,1.58,7.4,86.9,119
1778447398,95,7452,66,210.76,42,1.69,7.6,87.0,119
1778447400,96,7452,67,211.29,42,1.69,7.8,86.8,119
1778447402,95,7452,66,211.49,43,1.69,7.2,87.2,119
1778447404,95,7452,67,211.49,43,1.64,7.8,87.1,119
1778447405,95,7452,67,211.72,43,1.64,7.2,87.0,119
1778447407,95,7452,67,211.91,43,1.64,8.4,86.9,119
1778447409,95,7452,67,212.15,43,1.66,7.1,87.0,119
1778447410,95,7452,67,212.32,43,1.66,7.5,86.9,119
1778447412,95,7452,67,212.37,43,1.66,7.0,86.7,119
1778447414,96,7452,67,212.38,43,1.61,7.2,86.9,119
1778447416,95,7452,67,212.51,43,1.61,8.1,86.8,119
1778447417,95,7452,67,212.83,43,1.61,6.3,86.8,119
1778447419,95,7452,67,212.24,43,1.56,8.0,86.9,119
1778447421,95,7452,67,212.58,44,1.56,7.3,86.8,119
1778447422,95,7452,67,212.86,44,1.56,6.7,86.7,119
1778447424,95,7452,67,213.08,44,1.76,6.8,86.6,119
1778447426,95,7452,67,213.01,44,1.76,7.8,86.7,119
1778447427,96,7452,67,212.72,44,1.76,7.5,86.6,119
1778447429,95,7452,67,213.20,44,1.78,6.5,86.6,119
1778447431,95,7452,68,212.74,45,1.78,7.5,86.5,119
1778447433,95,7452,67,212.84,45,1.78,8.4,86.6,119
1778447434,96,7452,67,213.30,45,1.71,7.2,86.5,119
1778447436,96,7452,67,213.16,45,1.71,8.3,85.8,119
1778447438,95,7452,67,212.78,45,1.71,9.0,86.1,119
1778447439,95,7452,67,213.24,45,1.90,6.7,86.0,119
1778447441,96,7452,68,213.65,45,1.90,7.4,86.0,119
1778447443,95,7452,67,213.47,45,1.90,8.1,86.1,119
1778447445,96,7452,67,213.78,45,2.22,7.4,86.0,119
1778447446,95,7452,67,213.63,45,2.22,7.8,86.0,119
1778447448,95,7452,67,213.53,46,2.22,7.2,86.1,119
1778447450,95,7452,67,213.80,45,2.29,7.1,85.8,119
1778447452,95,7452,67,213.88,46,2.29,7.0,85.9,119
1778447454,95,7452,68,213.77,46,2.26,7.9,86.1,119
1778447456,95,7452,67,214.20,46,2.26,7.3,86.0,119
1778447458,95,7452,67,213.85,46,2.26,8.4,86.1,119
1778447459,95,7452,67,214.11,46,2.08,7.3,86.0,119
1778447461,95,7452,67,214.53,46,2.08,6.8,86.0,119
1778447463,96,7452,67,214.67,46,2.08,6.5,86.1,119
1778447465,95,7452,67,214.30,46,2.07,7.7,86.0,119
1778447467,96,7452,67,214.32,46,2.07,6.7,86.8,119
1778447468,96,7452,67,214.15,46,2.07,7.6,86.7,119
1778447470,96,7452,67,214.47,46,1.99,7.9,86.6,119
1778447472,96,7452,67,214.66,46,1.99,6.1,86.6,119
1778447474,95,7452,67,214.55,46,1.99,7.7,86.5,119
1778447476,95,7452,67,215.07,46,1.99,7.7,86.6,119
1778447478,97,7452,67,215.33,46,1.99,7.7,86.7,119
1778447480,96,7452,67,215.74,47,1.99,7.4,86.6,119
1778447481,96,7452,68,215.43,46,1.99,7.3,86.6,119
1778447483,96,7452,67,215.58,47,1.99,7.1,86.7,119
1778447485,96,7452,67,215.52,46,1.99,6.3,86.6,119
1778447487,96,7452,67,215.82,46,1.99,7.1,86.6,119
1778447489,95,7452,66,205.82,47,1.91,6.6,86.6,119
1778447491,96,7452,67,205.04,47,1.91,7.2,86.6,119
1778447493,97,7452,67,206.27,47,1.91,7.4,86.7,119
1778447495,97,7452,67,206.88,47,1.84,6.9,86.6,119
1778447496,96,7452,67,205.80,46,1.84,9.2,86.2,119
1778447498,97,7452,67,206.98,47,1.84,13.8,86.0,119
1778447500,97,7452,67,206.99,47,1.93,6.9,86.0,119
1778447502,96,7452,67,205.23,47,1.93,8.3,86.2,119
1778447503,96,7452,66,205.45,47,1.93,8.5,86.2,119
1778447505,96,7452,66,206.75,47,2.02,6.6,86.1,119
1778447507,96,7452,66,205.07,47,2.02,7.3,86.1,119
1778447508,97,7452,66,207.09,47,2.02,8.2,86.1,119
1778447510,97,7452,66,205.51,47,2.01,6.8,86.0,119
1778447512,96,7452,66,204.86,47,2.01,8.8,86.0,119
1778447514,96,7452,66,205.65,47,2.01,7.9,86.1,119
1778447515,96,7452,66,206.18,47,2.01,7.3,86.0,119
1778447517,96,7452,66,206.46,47,2.01,7.5,86.0,119
1778447519,97,7452,66,205.57,47,2.01,7.6,86.1,119
1778447520,97,7452,66,206.62,47,2.09,7.2,86.0,119
1778447522,96,7452,66,204.53,47,2.09,7.0,86.0,119
1778447524,95,7452,66,204.72,47,2.09,7.4,86.1,119
