ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778447974,94,7468,63,207.11,40,2.02,10.1,86.4,119
1778447976,95,7468,64,206.30,40,2.02,6.7,86.5,119
1778447978,95,7468,64,207.28,40,1.94,8.3,86.6,119
1778447979,95,7468,64,207.65,40,1.94,7.6,86.6,119
1778447981,95,7468,64,207.27,40,1.94,23.0,86.7,119
1778447983,94,7468,65,207.84,40,1.94,7.3,86.8,119
1778447985,95,7468,65,208.04,40,1.94,7.8,86.7,119
1778447987,95,7468,65,208.34,41,1.94,10.0,86.7,119
1778447988,95,7468,65,208.49,40,1.95,7.5,86.8,119
1778447990,95,7468,65,209.27,41,1.95,9.8,86.5,119
1778447992,95,7468,66,209.83,41,1.95,7.2,86.5,119
1778447994,95,7468,66,209.71,41,1.87,7.4,86.7,119
1778447995,94,7468,66,210.04,41,1.87,6.9,86.6,119
1778447997,95,7468,66,210.56,41,1.87,7.5,86.6,119
1778447999,95,7468,66,210.66,41,1.80,8.1,86.6,119
1778448001,95,7468,66,210.77,41,1.80,15.1,86.7,119
1778448002,94,7468,66,210.96,41,1.80,11.9,86.9,119
1778448004,95,7468,66,210.93,41,1.74,7.8,86.7,119
1778448006,96,7468,66,211.39,41,1.74,11.6,86.5,119
1778448008,95,7468,66,211.61,42,1.68,6.8,86.6,119
1778448010,95,7468,67,211.86,42,1.68,7.4,86.5,119
1778448012,95,7468,67,212.27,42,1.68,7.2,86.6,119
1778448013,95,7468,67,212.27,43,1.70,11.7,86.7,119
1778448015,95,7468,67,212.12,43,1.70,7.2,86.6,119
1778448017,95,7468,67,212.45,43,1.70,7.1,86.5,119
1778448019,95,7468,67,212.77,43,1.89,7.3,86.4,119
1778448021,95,7468,67,212.57,44,1.89,6.5,86.3,119
1778448024,95,7468,67,212.88,44,1.82,7.5,86.4,119
1778448026,95,7468,67,212.73,44,1.82,8.1,86.5,119
1778448028,96,7468,67,213.06,44,1.75,7.2,86.6,119
1778448030,94,7468,67,212.98,45,1.75,6.8,86.3,119
1778448033,94,7468,67,212.48,45,1.61,7.0,86.4,119
1778448035,96,7468,67,213.17,45,1.61,6.4,86.3,119
