ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778448581,95,7494,64,206.68,40,1.67,10.6,86.9,119
1778448583,95,7494,64,207.09,40,1.67,7.5,87.4,119
1778448585,95,7494,64,207.01,40,1.62,7.8,87.3,119
1778448586,95,7494,65,208.11,40,1.62,6.6,87.2,119
1778448588,95,7494,65,207.88,40,1.62,7.5,87.3,119
1778448590,95,7494,65,208.19,40,1.73,7.1,87.1,119
1778448592,95,7494,65,208.61,40,1.73,6.8,87.3,119
1778448593,95,7494,65,208.74,40,1.73,7.3,87.4,119
1778448595,95,7494,65,208.76,40,1.67,7.3,87.3,119
1778448597,94,7494,66,209.65,40,1.67,7.4,87.3,119
1778448598,96,7494,66,210.05,40,1.67,6.5,87.3,119
1778448600,94,7494,66,209.82,40,1.62,6.6,87.1,119
1778448602,95,7494,66,210.55,41,1.62,6.8,87.3,119
1778448604,94,7494,66,210.39,41,1.65,7.1,87.3,119
1778448605,96,7494,66,210.95,41,1.65,7.1,87.2,119
1778448607,95,7494,67,210.93,41,1.65,6.9,87.2,119
1778448609,95,7494,66,210.84,41,1.59,7.5,87.3,119
1778448610,95,7494,66,211.07,41,1.59,7.9,87.1,119
1778448612,95,7494,67,211.93,41,1.59,7.2,87.0,119
1778448614,95,7494,67,211.53,42,1.55,7.9,87.2,119
1778448615,95,7494,67,211.47,42,1.55,7.6,87.1,119
1778448617,95,7494,67,211.68,42,1.55,7.5,87.1,119
1778448619,95,7494,67,211.94,43,1.66,6.7,87.1,119
1778448621,95,7494,67,212.16,43,1.66,8.1,87.1,119
1778448622,95,7494,67,212.01,43,1.66,7.4,87.0,119
1778448624,95,7494,67,212.08,43,1.61,8.4,86.9,119
1778448626,96,7494,67,212.23,44,1.61,7.5,87.0,119
1778448627,96,7494,67,211.80,44,1.61,7.6,87.0,119
1778448629,95,7494,67,212.31,44,1.48,6.7,87.0,119
1778448631,95,7494,67,212.64,44,1.48,9.2,86.9,119
1778448633,95,7494,67,212.53,44,1.48,6.9,86.9,119
1778448634,95,7494,67,212.80,44,1.52,6.3,86.8,119
1778448636,96,7494,67,212.61,45,1.52,6.7,86.9,119
1778448638,95,7494,67,212.79,45,1.52,8.3,86.3,119
1778448639,95,7494,67,213.09,45,1.88,7.0,86.3,119
1778448641,95,7494,67,213.06,45,1.88,7.6,86.2,119
1778448643,96,7494,67,213.26,45,1.88,7.6,86.2,119
1778448644,10,1232,57,129.13,45,2.05,7.4,85.6,119
1778448646,27,7494,55,59.08,45,2.05,13.9,85.7,119
1778448648,94,7494,66,209.42,45,2.05,7.3,85.9,119
1778448649,95,7494,67,209.70,45,1.97,7.0,85.9,119
1778448651,95,7494,67,209.28,45,1.97,7.3,85.9,119
1778448653,95,7494,67,209.77,45,1.97,7.6,86.0,119
1778448654,95,7494,67,210.23,45,1.89,6.8,85.7,119
1778448656,95,7494,67,210.11,45,1.89,7.6,85.7,119
1778448658,95,7494,67,210.14,45,1.89,8.4,85.9,119
1778448659,96,7494,67,210.14,45,2.06,6.5,85.9,119
1778448661,95,7494,67,210.66,45,2.06,7.8,85.8,119
1778448663,95,7494,67,211.01,45,2.06,8.1,86.0,119
1778448664,95,7494,67,211.13,45,2.29,7.3,85.8,119
1778448666,96,7494,67,211.85,45,2.29,22.4,86.5,119
1778448668,96,7494,67,211.09,45,2.29,11.7,86.8,119
1778448670,95,7494,67,211.46,45,2.35,8.1,86.5,119
1778448671,95,7494,67,211.50,45,2.35,7.2,86.5,119
1778448673,96,7494,67,211.61,45,2.35,7.0,86.6,119
1778448675,95,7494,67,211.74,45,2.16,7.2,86.5,119
1778448676,96,7494,67,211.57,45,2.16,7.5,86.4,119
1778448678,95,7494,67,211.13,46,2.16,6.8,86.5,119
1778448680,95,7494,67,211.68,46,2.15,6.8,86.5,119
1778448681,94,7494,67,211.80,46,2.15,7.2,86.5,119
1778448683,95,7494,67,212.55,46,2.15,7.1,86.6,119
1778448685,95,7494,67,211.88,46,2.05,7.5,86.4,119
1778448687,95,7494,67,212.22,46,2.05,7.4,86.5,119
1778448688,94,7494,67,212.39,46,2.05,6.7,86.4,119
1778448690,95,7494,67,212.25,46,2.05,6.7,86.4,119
1778448692,95,7494,67,212.26,46,2.05,7.1,86.4,119
1778448693,95,7494,67,212.37,46,2.05,7.8,86.5,119
1778448695,95,7494,67,212.56,46,1.97,7.1,86.4,119
1778448697,95,7494,67,212.60,46,1.97,7.5,85.9,119
1778448699,95,7494,67,212.86,46,1.97,8.1,86.0,119
1778448700,96,7494,68,212.69,46,1.89,7.8,85.8,119
1778448702,95,7494,67,212.62,46,1.89,7.0,85.9,119
1778448704,96,7479,67,212.48,46,1.89,8.9,86.0,119
1778448705,95,7479,67,212.80,46,1.90,7.8,85.9,119
1778448707,95,7479,67,212.41,46,1.90,7.5,85.8,119
1778448709,96,7479,67,212.72,46,1.90,6.6,86.0,119
1778448711,95,7479,67,212.96,46,1.98,7.8,85.8,119
1778448712,94,7479,67,213.04,46,1.98,7.3,85.7,119
1778448714,95,7479,67,212.89,46,1.98,7.6,85.9,119
1778448716,96,7479,67,213.36,46,1.91,7.0,85.8,119
1778448717,96,7479,67,213.22,46,1.91,6.8,85.8,119
1778448719,95,7479,67,213.56,46,1.91,6.5,86.0,119
1778448721,95,7479,67,213.90,46,1.83,7.1,85.8,119
1778448723,96,7479,67,213.06,46,1.83,8.0,85.8,119
1778448724,96,7479,67,213.22,46,1.83,6.8,85.7,119
1778448726,95,7479,67,213.31,46,1.93,10.2,86.2,119
1778448728,95,7479,67,213.29,47,1.93,15.3,86.7,119
1778448729,96,7479,67,213.14,47,1.93,7.0,86.5,119
1778448731,96,7479,67,213.32,46,1.77,7.6,86.5,119
1778448733,96,7479,67,213.49,47,1.77,8.7,86.6,119
1778448734,96,7479,67,213.46,46,1.77,10.2,86.4,119
1778448736,95,7479,67,213.31,47,1.71,6.3,86.5,119
1778448738,95,7496,67,213.17,47,1.71,8.7,86.5,119
1778448739,96,7496,67,214.02,47,1.71,6.7,86.3,119
