ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778449187,94,7352,63,206.04,37,1.62,11.4,86.3,119
1778449189,95,7352,64,206.54,37,1.62,7.1,86.8,119
1778449190,95,7352,64,207.35,37,1.57,7.3,86.7,119
1778449192,96,7352,64,207.59,37,1.57,7.3,86.5,119
1778449194,96,7352,65,207.57,37,1.57,7.5,86.6,119
1778449196,95,7352,65,208.13,38,1.52,7.8,86.5,119
1778449197,95,7352,65,208.48,38,1.52,7.4,86.6,119
1778449199,95,7352,65,208.03,38,1.48,7.5,86.8,119
1778449201,95,7352,66,208.74,38,1.48,12.5,86.7,119
1778449203,94,7352,66,209.00,38,1.48,15.3,86.9,119
1778449204,94,7352,66,209.13,38,1.60,7.2,86.6,119
1778449206,95,7352,66,210.01,39,1.60,13.5,86.6,119
1778449208,95,7352,66,210.37,39,1.60,7.6,86.8,119
1778449209,95,7352,66,210.58,40,1.55,7.4,86.8,119
1778449211,95,7352,67,211.04,40,1.55,7.0,86.8,119
1778449213,95,7352,67,211.18,41,1.55,6.8,86.9,119
1778449215,95,7352,67,211.24,41,1.43,6.9,86.8,119
1778449216,95,7352,67,211.39,42,1.43,6.4,86.6,119
1778449218,95,7352,67,211.76,42,1.43,11.6,86.8,119
1778449220,95,7352,67,210.51,42,1.47,7.8,86.6,119
1778449221,95,7352,67,209.70,43,1.47,6.6,86.7,119
1778449223,95,7352,67,209.89,43,1.47,9.3,86.9,119
1778449225,95,7352,67,210.09,43,1.44,7.3,86.8,119
1778449227,95,7352,67,209.87,43,1.44,7.6,86.8,119
1778449228,95,7352,67,209.98,43,1.44,7.1,86.8,119
1778449230,95,7352,67,210.21,44,1.56,7.0,86.6,119
1778449232,95,7352,67,210.00,44,1.56,9.5,86.5,119
1778449233,8,7344,56,61.57,44,1.56,7.4,86.1,119
1778449235,94,7352,65,190.21,44,1.60,6.8,86.0,119
1778449237,95,7352,66,206.20,44,1.60,6.4,85.4,119
1778449239,95,7352,66,206.61,44,1.60,7.4,85.6,119
1778449240,95,7352,66,206.61,44,1.63,7.3,85.3,119
1778449242,95,7352,66,207.53,44,1.63,6.8,85.3,119
1778449244,95,7352,66,207.32,44,1.63,12.2,85.6,119
1778449245,95,7352,66,208.12,44,1.66,7.4,85.5,119
1778449247,96,7352,66,208.03,44,1.66,7.3,85.5,119
1778449249,95,7352,66,207.97,44,1.66,7.3,85.6,119
1778449250,95,7352,67,208.43,44,1.52,6.8,85.3,119
1778449252,95,7352,66,208.26,44,1.52,6.6,85.3,119
1778449254,95,7352,67,208.36,44,1.52,8.4,85.6,119
1778449255,95,7352,67,208.68,44,1.64,6.8,85.4,119
1778449257,96,7352,67,209.09,44,1.64,7.6,85.5,119
1778449259,96,7352,67,209.50,44,1.64,6.8,85.6,119
1778449261,95,7352,67,209.41,44,1.75,7.3,85.5,119
1778449262,95,7352,67,209.28,44,1.75,7.0,85.3,119
1778449264,95,7352,67,209.67,44,1.75,9.0,85.4,119
1778449266,95,7352,67,209.40,44,1.77,6.8,85.5,119
1778449267,95,7352,67,209.78,44,1.77,6.5,86.2,119
1778449269,95,7352,67,209.91,44,1.77,7.8,86.1,119
1778449271,95,7352,67,210.68,44,1.79,7.2,86.1,119
1778449272,95,7352,67,210.74,44,1.79,7.4,86.0,119
1778449274,95,7352,67,210.72,45,1.79,7.5,86.1,119
1778449276,95,7352,67,210.41,45,1.96,7.5,86.2,119
1778449277,96,7352,67,210.54,45,1.96,7.1,86.1,119
1778449279,95,7352,67,210.71,45,1.96,6.5,86.2,119
1778449281,95,7352,67,210.39,45,1.89,6.7,86.1,119
1778449283,93,7352,67,210.07,45,1.89,8.2,86.1,119
1778449284,95,7352,67,210.27,45,1.89,7.3,86.0,119
1778449286,95,7352,67,210.46,45,1.98,8.3,86.0,119
1778449288,95,7352,67,210.69,45,1.98,7.5,86.1,119
1778449289,95,7352,67,210.67,45,1.98,7.0,86.1,119
1778449291,96,7352,67,210.69,45,1.98,7.7,86.1,119
1778449293,95,7352,67,211.07,45,1.98,8.1,86.2,119
1778449294,96,7352,67,210.79,45,1.98,7.6,86.0,119
1778449296,96,7352,67,212.56,45,1.98,8.5,86.0,119
1778449298,95,7352,67,212.71,45,1.98,8.1,85.5,119
1778449299,95,7352,67,213.15,45,1.98,6.5,85.4,119
1778449301,96,7352,67,213.08,45,1.90,7.3,85.4,119
1778449303,96,7352,67,212.98,45,1.90,7.2,85.5,119
1778449304,95,7352,67,213.07,45,1.90,7.3,85.4,119
1778449306,95,7352,67,213.19,45,1.75,8.0,85.3,119
1778449308,95,7352,67,213.72,46,1.75,8.5,85.5,119
1778449310,95,7352,67,213.34,46,1.75,7.6,85.4,119
1778449311,96,7352,67,213.83,45,1.69,6.8,85.4,119
1778449313,96,7352,67,213.58,45,1.69,7.5,85.5,119
1778449315,96,7352,67,213.52,46,1.69,7.1,85.4,119
1778449316,95,7352,67,213.87,46,1.71,10.1,85.3,119
1778449318,96,7352,67,214.20,46,1.71,8.4,85.4,119
1778449320,95,7352,67,214.10,46,1.71,11.3,85.4,119
1778449321,96,7352,67,213.89,46,1.66,6.5,85.4,119
1778449323,6,5106,56,61.26,46,1.66,7.6,85.1,119
