ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778449794,95,7496,65,207.49,44,3.18,17.2,95.1,119
1778449796,95,7496,65,207.60,44,3.41,12.3,95.2,119
1778449798,95,7496,65,208.25,44,3.41,11.1,95.3,119
1778449800,95,7496,65,208.74,44,3.41,11.2,95.1,119
1778449802,95,7496,65,208.45,44,3.21,11.5,95.3,119
1778449804,17,1074,56,153.16,44,3.21,10.8,94.9,119
1778449806,94,7352,63,104.69,44,3.21,16.7,94.7,119
1778449808,94,7352,64,207.34,44,3.84,11.8,94.8,119
1778449810,95,7352,65,207.91,44,3.84,12.0,94.7,119
1778449812,95,7352,65,208.20,44,3.61,11.4,94.7,119
1778449813,95,7352,65,208.36,44,3.61,13.0,94.8,119
1778449815,94,7352,65,208.62,44,3.61,11.6,94.7,119
1778449818,95,7352,65,208.98,44,3.48,12.3,95.0,119
1778449820,96,7352,66,209.39,44,3.48,12.7,94.9,119
1778449822,95,7352,66,209.57,44,3.36,12.3,94.9,119
1778449824,95,7352,66,209.58,44,3.36,11.3,94.9,119
1778449826,95,7352,66,209.75,44,3.33,18.8,94.9,119
1778449829,96,7352,66,211.10,44,3.33,11.5,95.0,119
1778449831,95,7352,66,210.93,44,3.33,12.4,94.6,119
1778449833,95,7352,66,211.45,44,3.39,11.5,94.7,119
1778449835,95,7352,66,211.37,44,3.39,11.1,94.6,119
1778449837,95,7352,67,211.59,44,3.35,11.5,93.9,119
1778449839,94,7352,67,211.59,44,3.35,11.2,93.8,119
1778449841,95,7352,67,211.57,44,3.25,10.9,93.8,119
1778449844,94,7352,67,211.76,44,3.25,12.7,93.9,119
1778449845,95,7352,67,212.07,44,3.25,11.6,93.8,119
1778449848,96,7352,67,211.97,44,3.07,12.9,93.9,119
1778449849,95,7352,67,212.59,44,3.07,11.3,93.8,119
1778449852,95,7352,67,212.46,44,2.98,11.3,93.7,119
1778449854,95,7352,67,212.20,44,2.98,11.3,93.7,119
1778449856,96,7352,67,212.44,44,2.98,11.6,93.7,119
1778449857,95,7352,67,213.02,44,2.82,11.5,93.9,119
1778449859,95,7352,67,212.07,45,2.82,10.4,93.9,119
1778449861,95,7352,67,212.42,45,2.82,13.0,93.8,119
1778449863,52,7488,56,52.44,45,3.80,16.8,93.5,119
1778449864,95,7496,65,162.85,44,3.80,11.9,93.4,119
1778449866,95,7496,66,208.79,45,3.80,19.5,94.1,119
1778449868,95,7496,66,209.25,45,3.73,12.3,94.1,119
1778449870,96,7496,66,209.48,45,3.73,12.3,94.1,119
1778449871,95,7496,66,209.60,45,3.59,11.7,94.1,119
1778449873,94,7496,66,209.94,45,3.59,11.7,94.2,119
1778449875,94,7496,66,209.65,45,3.59,11.8,94.1,119
1778449877,94,7496,66,210.01,44,3.39,11.2,94.1,119
1778449878,95,7496,66,210.20,45,3.39,11.3,94.2,119
1778449880,95,7496,67,210.35,45,3.39,11.8,94.0,119
1778449882,95,7496,66,210.60,45,3.35,12.4,94.0,119
1778449884,95,7496,67,211.12,45,3.35,11.7,94.0,119
1778449886,96,7496,67,211.00,45,3.35,12.3,94.1,119
1778449887,94,7496,67,211.45,45,3.25,11.4,94.1,119
1778449889,95,7496,67,211.55,45,3.25,13.7,94.1,119
1778449891,53,7490,56,54.02,45,3.25,11.3,93.6,119
1778449893,95,7496,66,208.17,45,3.31,10.8,93.7,119
1778449895,96,7496,66,209.32,45,3.31,11.5,93.6,119
1778449897,95,7496,66,209.01,45,3.12,12.2,93.0,119
1778449899,95,7496,66,209.42,45,3.12,11.9,93.0,119
1778449901,95,7496,66,209.59,45,3.12,11.3,93.0,119
1778449903,95,7496,66,209.82,45,3.19,12.2,93.1,119
1778449905,95,7496,67,209.93,45,3.19,11.9,93.0,119
1778449907,93,7496,67,209.83,45,3.01,11.5,93.0,119
1778449909,95,7496,67,210.29,45,3.01,12.6,93.1,119
1778449911,94,7496,67,210.17,45,3.01,15.6,93.0,119
1778449912,95,7496,67,211.31,45,3.33,11.0,92.9,119
1778449914,94,7496,67,211.07,45,3.33,11.8,92.9,119
1778449916,94,7496,67,211.36,45,3.33,12.4,93.0,119
1778449918,94,7496,67,211.18,45,3.23,11.5,93.1,119
1778449919,95,7496,67,211.67,45,3.23,11.2,93.0,119
1778449921,93,7496,67,211.54,45,3.23,13.8,93.0,119
1778449923,95,7496,67,211.98,45,3.21,12.6,93.1,119
1778449925,54,1053,60,205.96,45,3.21,18.2,92.5,119
