ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778449932,95,7496,66,206.83,45,3.24,17.8,93.4,119
1778449934,96,7496,66,207.03,45,3.24,20.6,93.9,119
1778449936,95,7496,66,207.30,45,3.24,14.1,93.8,119
1778449937,95,7496,66,207.98,45,3.22,11.5,93.8,119
1778449939,94,7496,66,207.89,45,3.22,11.0,93.8,119
1778449941,95,7496,66,207.91,45,3.22,11.4,93.8,119
1778449943,95,7496,66,208.04,45,3.12,12.5,93.9,119
1778449944,95,7496,66,207.80,45,3.12,10.5,93.8,119
1778449946,94,7496,67,208.70,45,3.12,12.6,93.7,119
1778449948,95,7496,66,208.66,45,3.03,11.5,93.9,119
1778449950,95,7496,67,208.73,45,3.03,14.6,93.8,119
1778449951,95,7496,67,209.14,45,3.03,13.5,93.8,119
1778449953,95,7496,67,209.19,45,3.03,12.8,93.9,119
1778449955,95,7496,66,209.76,45,3.03,12.8,93.8,119
1778449957,95,7496,67,209.24,45,3.19,12.1,93.1,119
1778449959,95,7496,67,209.30,45,3.19,9.2,92.9,119
1778449960,96,7496,67,209.29,45,3.19,8.1,92.6,119
1778449962,95,7496,67,209.46,45,2.93,9.3,92.6,119
1778449964,95,7496,67,209.20,45,2.93,9.3,92.7,119
1778449966,95,7496,67,209.40,45,2.93,8.1,92.7,119
1778449967,95,7496,67,209.82,45,2.78,7.5,92.7,119
1778449969,95,7496,67,210.32,45,2.78,8.1,92.7,119
1778449971,96,7496,67,209.85,46,2.78,7.1,92.7,119
1778449973,95,7496,67,209.95,46,2.64,7.7,92.7,119
1778449975,95,7496,67,210.25,46,2.64,8.4,92.7,119
1778449977,95,7496,67,210.28,46,2.42,8.0,92.6,119
1778449978,96,7496,66,210.13,46,2.42,7.4,89.6,119
1778449980,95,7496,67,210.24,46,2.42,6.7,89.7,119
1778449982,95,7496,67,210.33,46,2.39,8.4,89.7,119
1778449983,96,7496,67,210.84,46,2.39,7.5,89.7,119
1778449985,95,7496,67,212.57,46,2.39,7.7,89.7,119
1778449987,95,7496,67,212.51,46,2.84,6.5,90.5,119
1778449989,96,7496,67,212.74,46,2.84,8.1,90.3,119
