ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778451844,95,7494,57,200.47,0,1.69,10.4,90.8,120
1778451845,95,7494,58,201.71,0,1.69,7.9,91.3,120
1778451847,95,7494,59,202.54,0,1.69,6.7,91.3,120
1778451849,94,7494,60,203.65,0,1.64,7.8,91.3,120
1778451851,95,7494,61,206.36,30,1.64,7.3,91.4,120
1778451852,94,7494,61,205.21,30,1.64,8.1,91.5,120
1778451854,95,7494,62,204.93,30,1.59,6.4,91.4,120
1778451856,94,7494,62,205.98,30,1.59,7.0,91.4,120
1778451857,95,7494,62,206.41,30,1.59,7.5,91.3,120
1778451859,93,7494,63,206.36,30,1.54,7.5,91.4,120
1778451861,94,7494,63,207.01,30,1.54,6.8,91.4,120
1778451863,95,7494,63,207.08,31,1.54,6.8,91.2,120
1778451864,96,7494,64,208.19,32,1.66,7.3,91.2,120
1778451866,95,7494,64,208.33,32,1.66,6.9,91.0,120
1778451868,96,7494,64,209.11,33,1.68,7.2,91.0,120
1778451870,94,7494,64,208.41,34,1.68,8.7,91.0,120
1778451871,95,7494,65,208.87,34,1.68,6.6,91.1,120
1778451873,93,7494,65,208.95,35,1.63,7.5,91.0,120
1778451875,95,7494,65,210.17,35,1.63,7.7,91.0,120
1778451877,94,7494,65,210.32,36,1.63,6.5,91.0,120
1778451878,95,7494,65,210.29,36,1.58,7.9,91.0,120
1778451880,95,7494,65,209.97,37,1.58,6.8,90.9,120
1778451882,95,7494,65,210.35,37,1.58,7.4,90.9,120
1778451884,96,7494,65,210.96,38,1.61,7.3,90.9,120
1778451885,95,7494,65,210.71,38,1.61,7.4,91.2,120
1778451887,95,7494,65,210.76,38,1.61,16.7,91.3,120
1778451889,95,7494,65,210.60,39,1.72,6.1,91.0,120
1778451890,95,7494,65,210.91,39,1.72,8.2,90.9,120
1778451892,95,7494,65,210.54,39,1.72,9.2,90.8,120
1778451894,95,7494,65,211.29,39,1.66,7.5,90.7,120
1778451896,95,7494,66,210.70,39,1.66,6.8,90.7,120
1778451897,96,7494,66,211.28,40,1.66,8.1,90.8,120
1778451899,96,7494,65,211.12,40,1.69,7.6,90.8,120
1778451901,95,7494,65,211.50,40,1.69,7.2,90.8,120
1778451903,95,7494,65,211.34,40,1.69,7.0,90.8,120
1778451904,96,7494,66,211.82,40,1.64,7.4,90.8,120
1778451906,95,7494,65,211.44,40,1.64,6.6,90.7,120
1778451908,95,7494,65,211.59,40,1.64,6.7,90.7,120
1778451909,95,7494,66,211.43,40,1.66,8.1,90.8,120
1778451911,95,7494,65,211.18,41,1.66,6.8,91.0,120
1778451913,95,7494,66,211.45,41,1.66,7.8,91.0,120
1778451915,95,7494,66,211.51,41,1.61,6.8,90.8,120
1778451916,95,7494,66,212.10,41,1.61,7.6,90.8,120
1778451918,95,7494,66,211.86,41,1.61,7.1,90.6,120
1778451920,95,7494,66,211.88,41,1.56,8.3,90.6,120
1778451922,95,7494,66,211.65,41,1.56,6.6,90.5,120
1778451923,95,7494,66,212.52,41,1.68,7.5,90.0,120
1778451925,95,7494,66,212.19,41,1.68,7.5,90.0,120
1778451927,95,7494,66,212.33,41,1.68,7.3,90.0,120
1778451929,96,7494,66,212.40,41,1.70,7.1,90.0,120
1778451930,95,7494,66,212.34,42,1.70,7.8,90.0,120
1778451932,95,7494,66,211.93,42,1.70,7.3,89.9,120
1778451934,95,7494,66,212.81,42,1.65,7.5,89.9,120
1778451935,96,7494,66,212.37,42,1.65,7.6,90.0,120
1778451937,95,7494,66,212.64,42,1.65,7.1,90.0,120
1778451939,95,7494,66,212.96,42,1.59,7.2,90.0,120
1778451941,97,7494,66,213.35,42,1.59,7.0,90.0,120
1778451942,95,7494,66,213.47,42,1.59,7.1,90.0,120
1778451944,96,7494,66,213.38,42,1.63,7.7,89.9,120
