ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778454874,95,7351,64,206.64,41,1.59,11.3,92.8,120
1778454876,95,7351,64,206.96,41,1.59,6.6,93.1,120
1778454878,95,7351,64,207.92,40,1.79,7.5,93.1,120
1778454879,96,7351,65,208.01,41,1.79,7.7,93.1,120
1778454881,96,7351,64,208.54,41,1.79,7.2,93.1,120
1778454883,95,7351,65,208.82,41,1.72,7.0,93.1,120
1778454885,94,7351,65,208.60,41,1.72,7.0,93.2,120
1778454886,94,7351,65,209.05,41,1.72,7.0,93.1,120
1778454888,95,7351,66,209.14,41,1.66,11.0,93.4,120
1778454890,96,7351,66,209.89,41,1.66,6.6,93.1,120
1778454892,95,7351,66,209.75,41,1.66,13.3,93.0,120
1778454894,96,7351,66,210.84,41,1.61,6.5,93.1,120
1778454895,95,7351,66,210.67,41,1.61,7.6,93.3,120
1778454897,95,7351,66,210.77,41,1.61,7.1,93.1,120
1778454899,95,7351,66,211.15,41,1.56,12.8,93.2,120
1778454901,95,7351,67,211.58,41,1.56,12.4,93.4,120
1778454902,95,7351,67,211.06,41,1.60,7.6,93.2,120
1778454904,95,7351,67,211.17,41,1.60,8.1,93.2,120
1778454906,93,7351,67,211.23,42,1.60,6.7,93.1,120
1778454908,95,7351,67,211.93,42,1.47,7.3,93.4,120
1778454909,94,7351,67,212.39,43,1.47,8.1,93.2,120
1778454911,95,7351,67,212.61,43,1.47,8.4,93.1,120
1778454913,96,7351,67,212.38,43,1.51,6.7,93.2,120
1778454915,95,7351,67,212.81,44,1.51,6.9,93.4,120
1778454917,96,7351,67,212.79,44,1.51,6.6,93.4,120
1778454918,95,7351,67,212.26,44,1.79,8.0,93.1,120
1778454920,9,1265,57,119.25,44,1.79,6.6,92.4,120
1778454922,94,7497,65,135.56,44,1.79,7.5,92.1,120
1778454923,95,7497,66,207.06,44,1.81,8.5,92.0,120
1778454925,94,7497,66,206.98,44,1.81,6.8,92.1,120
1778454927,95,7497,66,208.12,44,1.81,6.5,92.1,120
1778454929,95,7497,67,208.16,44,1.74,6.5,92.0,120
1778454930,95,7497,67,208.60,44,1.74,7.2,92.1,120
1778454932,96,7497,67,207.91,44,1.74,7.6,92.0,120
1778454934,95,7497,66,208.41,44,1.76,6.8,92.0,120
1778454936,95,7497,66,208.80,44,1.76,8.1,91.9,120
1778454937,95,7497,67,208.68,45,1.76,7.8,91.9,120
1778454939,95,7497,67,209.23,44,1.70,7.5,91.9,120
1778454941,95,7497,67,209.53,44,1.70,7.3,91.9,120
1778454943,95,7497,67,209.29,45,1.70,7.0,92.1,120
1778454944,95,7497,67,210.01,45,1.64,7.9,92.0,120
1778454946,95,7497,67,209.68,45,1.64,6.8,92.1,120
1778454948,95,7497,67,210.05,45,1.64,8.6,91.9,120
1778454949,96,7497,67,209.88,45,1.59,7.8,91.9,120
1778454951,4,1233,57,131.85,45,1.59,7.2,91.5,120
1778454953,3,7495,65,55.67,45,1.54,12.4,92.2,120
1778454955,95,7495,66,206.08,44,1.54,7.0,92.1,120
1778454956,95,7495,66,207.43,44,1.54,6.8,92.1,120
1778454958,94,7495,66,207.45,45,1.42,7.4,92.1,120
1778454960,95,7495,66,208.27,45,1.42,6.5,92.1,120
1778454962,96,7495,67,208.07,45,1.42,6.8,92.3,120
1778454963,95,7495,66,208.66,45,1.47,7.7,92.4,120
1778454965,95,7495,66,208.23,45,1.47,6.3,92.3,120
1778454967,95,7495,66,208.53,45,1.47,7.3,92.3,120
1778454969,95,7495,67,208.43,45,1.43,7.3,92.3,120
1778454970,95,7495,66,208.55,45,1.43,10.8,92.3,120
1778454972,94,7495,67,208.87,45,1.43,7.1,92.1,120
1778454974,95,7495,67,209.17,45,1.47,7.2,92.2,120
1778454976,95,7495,67,209.41,45,1.47,6.7,92.2,120
1778454977,95,7495,67,209.58,45,1.47,7.6,92.2,120
1778454979,95,7495,67,209.83,45,1.52,17.6,92.3,120
1778454981,94,7495,67,209.99,45,1.52,7.0,92.3,120
1778454983,96,7495,67,210.05,45,1.52,7.4,91.6,120
1778454984,95,7495,67,210.00,45,1.64,7.7,91.6,120
1778454986,96,7495,67,209.57,45,1.64,7.1,91.6,120
1778454988,95,7495,67,210.23,45,1.64,7.8,91.5,120
