ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778455480,95,7479,63,206.87,38,1.41,10.7,92.5,120
1778455482,95,7479,63,206.74,38,1.41,13.7,92.8,120
1778455483,95,7479,64,207.15,38,1.30,7.2,92.9,120
1778455485,95,7479,64,207.67,38,1.30,6.8,92.9,120
1778455487,95,7479,65,207.91,38,1.30,19.2,93.1,120
1778455489,95,7479,64,208.55,38,1.35,10.5,93.0,120
1778455490,95,7479,65,208.49,38,1.35,7.7,93.2,120
1778455492,94,7479,65,208.98,38,1.35,6.2,93.0,120
1778455494,95,7479,66,209.12,38,1.49,7.8,92.9,120
1778455496,95,7479,66,209.90,38,1.49,6.3,93.0,120
1778455497,95,7479,66,209.66,38,1.49,7.1,93.2,120
1778455499,95,7479,66,209.45,39,1.77,7.7,92.8,120
1778455501,94,7479,66,208.53,40,1.77,7.6,92.8,120
1778455502,96,7479,66,209.35,40,1.77,7.2,92.8,120
1778455504,95,7479,66,209.45,40,1.79,7.4,92.8,120
1778455506,95,7479,66,208.89,41,1.79,7.7,92.7,120
1778455508,95,7479,67,209.33,41,1.79,6.5,92.8,120
1778455509,95,7479,67,209.42,42,1.72,9.8,93.0,120
1778455511,96,7479,67,209.91,42,1.72,8.3,92.9,120
1778455513,95,7479,67,209.85,42,1.72,6.2,92.9,120
1778455515,96,7479,67,210.63,43,1.67,7.4,92.9,120
1778455516,95,7479,67,210.29,43,1.67,7.6,92.9,120
1778455518,95,7479,68,210.75,43,1.67,7.6,92.7,120
1778455520,95,7479,67,211.27,43,1.61,7.0,92.7,120
1778455521,96,7479,67,211.00,44,1.61,6.8,92.7,120
1778455523,95,7479,67,211.29,44,1.61,7.2,92.1,120
1778455525,95,7479,67,211.03,44,1.56,12.9,92.0,120
1778455527,96,7479,67,211.01,44,1.56,7.3,92.0,120
1778455528,95,7479,67,211.14,44,1.44,8.1,92.1,120
1778455530,96,7479,67,210.68,45,1.44,8.0,91.9,120
1778455532,96,7479,67,211.25,45,1.44,7.4,91.8,120
1778455534,96,7479,67,211.60,45,1.64,6.7,91.9,120
1778455535,96,7479,67,211.05,45,1.64,7.6,92.1,120
1778455537,96,7479,67,211.24,45,1.64,6.8,92.0,120
1778455539,95,7479,67,211.33,45,1.59,7.2,92.0,120
1778455540,93,7479,67,211.32,45,1.59,7.1,91.9,120
1778455542,95,7479,68,213.78,45,1.59,7.0,91.8,120
1778455544,95,7479,68,213.85,45,1.54,7.5,91.8,120
1778455546,95,7479,68,213.51,45,1.54,7.5,92.0,120
1778455547,96,7479,67,213.84,46,1.54,7.1,91.9,120
1778455549,96,7479,67,213.76,46,1.50,7.2,91.9,120
1778455551,96,7479,67,214.26,46,1.50,7.3,91.9,120
1778455552,95,7479,67,214.03,46,1.50,11.7,92.9,120
1778455554,96,7479,67,213.86,46,1.54,6.7,92.5,120
1778455556,95,7479,67,213.72,46,1.54,12.3,92.5,120
1778455558,95,7479,67,214.04,46,1.54,7.3,92.7,120
1778455559,96,7479,68,214.43,46,1.50,10.7,92.6,120
1778455561,95,7479,68,214.46,46,1.50,7.7,92.6,120
1778455563,95,7479,68,214.38,46,1.50,7.2,92.7,120
1778455565,95,7479,68,214.19,46,1.54,6.6,92.7,120
1778455566,96,7479,68,214.40,46,1.54,8.2,92.7,120
1778455568,95,7479,68,214.40,47,1.54,6.8,92.5,120
1778455570,96,7479,68,214.58,47,1.57,7.0,92.7,120
1778455572,96,7479,68,214.39,47,1.57,6.5,92.7,120
1778455573,94,7479,68,214.23,47,1.57,7.1,92.7,120
1778455575,96,7479,67,214.53,47,1.53,7.1,92.6,120
1778455577,96,7479,68,214.99,47,1.53,7.2,92.6,120
1778455578,95,7479,68,215.18,47,1.53,6.8,92.6,120
1778455580,96,7479,68,215.71,47,1.56,7.6,92.6,120
1778455582,96,7479,68,215.32,47,1.56,7.6,92.4,120
1778455584,96,7479,67,214.89,47,1.56,6.8,92.1,120
1778455585,96,7479,67,215.06,47,1.52,7.0,91.9,120
1778455587,97,7479,68,214.86,47,1.52,6.8,91.9,120
1778455589,95,7479,68,214.95,47,1.52,7.6,91.9,120
1778455591,95,7479,68,215.19,47,1.56,7.3,92.1,120
1778455592,97,7479,68,216.01,47,1.56,7.4,92.0,120
1778455594,96,7479,67,215.66,47,1.56,7.7,91.9,120
1778455596,96,7479,67,215.25,47,1.51,7.2,92.1,120
1778455597,95,7479,68,215.74,47,1.51,7.3,92.1,120
1778455599,95,7479,67,213.70,47,1.55,6.5,92.0,120
1778455601,96,7479,67,206.54,47,1.55,7.1,92.1,120
1778455603,96,7479,67,206.15,47,1.55,7.5,92.1,120
1778455604,95,7479,66,206.17,47,1.43,7.8,92.0,120
1778455606,96,7479,67,207.24,47,1.43,7.4,91.9,120
1778455608,96,7479,67,206.54,47,1.43,7.7,92.0,120
1778455609,97,7479,66,206.29,47,1.39,8.2,92.0,120
1778455611,96,7479,67,206.92,47,1.39,7.2,91.9,120
1778455613,95,7479,67,205.87,47,1.39,8.2,92.7,120
1778455615,96,7479,67,206.49,47,2.80,7.1,92.6,120
1778455616,97,7479,67,205.29,48,2.80,7.0,92.6,120
1778455618,96,7479,67,207.35,47,2.80,7.1,92.6,120
1778455620,97,7479,67,206.06,47,2.66,6.6,92.6,120
1778455622,96,7479,67,205.79,48,2.66,7.1,92.6,120
1778455623,97,7479,67,205.73,47,2.66,7.5,92.6,120
1778455625,96,7479,67,205.03,47,2.44,7.7,92.6,120
1778455627,97,7479,66,206.03,47,2.44,7.2,92.6,120
1778455629,96,7479,67,205.57,47,2.44,6.9,92.6,120
1778455630,97,7479,66,206.91,47,2.49,6.9,92.6,120
1778455632,96,7479,66,206.91,48,2.49,7.3,92.7,120
1778455634,96,7479,66,206.78,47,2.49,6.4,92.7,120
1778455636,97,7479,66,206.60,47,2.37,7.2,92.7,120
1778455637,96,7479,66,206.04,47,2.37,7.1,92.8,120
1778455639,97,7479,66,206.89,48,2.37,8.3,92.9,120
1778455641,96,7479,66,205.57,47,2.26,7.4,92.8,120
1778455643,97,7479,66,206.77,47,2.26,6.8,92.1,120
1778455644,95,7479,66,204.71,47,2.26,7.7,92.1,120
1778455646,96,7479,66,206.59,47,2.16,8.5,92.0,120
1778455648,96,7479,66,206.91,48,2.16,6.5,92.3,120
1778455650,95,7479,66,206.01,47,2.31,6.3,92.3,120
1778455651,95,7479,66,206.05,47,2.31,7.6,92.1,120
1778455653,96,7479,66,206.21,47,2.31,7.0,92.1,120
1778455655,96,7479,66,204.90,47,2.28,7.0,92.2,120
1778455657,95,7479,66,205.88,47,2.28,6.9,92.2,120
1778455658,97,7479,66,206.60,48,2.28,8.8,92.1,120
1778455660,96,7479,66,205.23,47,2.34,6.8,92.0,120
1778455662,96,7479,66,205.16,47,2.34,7.1,92.0,120
1778455664,96,7479,66,206.71,47,2.34,6.5,92.0,120
1778455665,96,7479,66,205.26,47,2.31,6.7,92.0,120
1778455667,96,7479,66,206.36,48,2.31,6.5,92.3,120
1778455669,96,7479,66,206.35,47,2.31,6.8,92.1,120
1778455671,97,7479,66,205.58,47,2.29,6.8,92.1,120
1778455672,96,7479,66,206.78,47,2.29,11.7,92.9,120
1778455674,96,7479,66,205.63,47,2.29,8.0,92.8,120
1778455676,96,7479,66,206.75,48,2.26,6.7,92.5,120
1778455678,96,7479,66,205.87,47,2.26,7.3,92.6,120
1778455679,96,7479,66,206.69,47,2.26,7.2,92.6,120
1778455681,96,7479,66,206.61,47,2.16,9.2,92.7,120
1778455683,96,7479,66,205.61,48,2.16,8.0,92.6,120
1778455685,96,7479,66,206.07,47,2.15,6.8,92.7,120
1778455687,96,7479,66,206.52,47,2.15,7.1,92.8,120
1778455689,96,7479,66,204.48,47,2.15,7.7,92.8,120
1778455690,96,7479,66,205.34,47,2.14,6.7,92.6,120
1778455692,95,7479,66,205.07,47,2.14,7.7,92.6,120
1778455694,96,7479,66,205.11,48,2.14,6.8,92.4,120
1778455696,97,7479,66,206.46,47,1.96,7.4,92.4,120
1778455697,96,7479,66,204.43,47,1.96,7.5,92.5,120
1778455700,96,7479,66,206.13,47,1.96,8.2,92.4,120
1778455702,96,7479,66,205.49,47,1.89,7.3,92.4,120
1778455703,96,7479,66,205.10,47,1.89,7.5,91.8,120
1778455705,96,7479,66,204.74,47,1.90,7.9,91.9,120
1778455707,96,7479,66,206.35,47,1.90,7.6,91.9,120
1778455709,96,7479,66,204.72,47,1.90,7.7,91.9,120
1778455711,96,7479,66,204.56,47,1.82,7.6,91.8,120
1778455713,96,7479,66,204.76,47,1.82,6.8,91.9,120
1778455716,96,7479,66,205.82,47,1.76,7.2,91.9,120
1778455718,96,7479,66,205.64,47,1.76,7.5,92.0,120
1778455721,95,7479,66,205.05,47,1.78,6.6,91.9,120
1778455723,96,7479,66,204.60,47,1.78,7.4,92.1,120
1778455724,96,7479,66,206.10,47,1.78,7.7,92.0,120
1778455726,96,7479,66,205.77,47,1.87,6.8,91.9,120
1778455728,96,7479,66,205.69,47,1.87,9.3,91.9,120
1778455730,96,7479,66,204.08,47,1.87,9.6,92.0,120
1778455731,96,7479,66,206.16,47,1.72,7.1,92.2,120
1778455733,96,7479,66,205.55,47,1.72,7.2,93.2,120
1778455735,95,7479,66,204.33,47,1.72,6.9,93.1,120
1778455737,95,7479,66,205.22,47,1.91,7.2,93.1,120
1778455738,95,7479,66,204.82,47,1.91,7.8,93.0,120
1778455740,95,7479,66,205.68,47,1.91,7.3,93.0,120
1778455742,96,7479,66,204.54,47,2.07,7.9,93.0,120
1778455744,96,7479,66,206.15,47,2.07,6.8,93.0,120
1778455746,96,7479,66,205.57,47,1.99,6.8,92.9,120
1778455747,96,7479,66,205.28,47,1.99,7.2,92.8,120
1778455749,96,7479,66,205.94,47,1.99,7.5,92.9,120
1778455751,96,7479,66,206.00,47,1.91,8.0,92.9,120
1778455753,96,7479,66,205.30,47,1.91,7.6,92.9,120
1778455754,96,7479,65,204.07,47,1.91,6.9,92.8,120
