ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778456781,94,7494,64,206.93,33,2.52,9.4,93.8,120
1778456783,94,7494,64,207.92,34,2.47,7.8,94.2,120
1778456784,95,7494,65,208.76,34,2.47,6.2,94.2,120
1778456786,95,7494,65,208.45,35,2.47,8.5,94.1,120
1778456788,94,7494,65,208.84,36,2.44,7.4,94.0,120
1778456790,95,7494,65,209.28,36,2.44,6.7,94.0,120
1778456791,96,7494,65,209.10,37,2.44,6.5,94.0,120
1778456794,95,7494,65,209.90,37,2.24,6.7,94.0,120
1778456795,,,,,,1.69,10.8,94.2,120
1778456942,96,7494,66,203.63,45,1.69,9.1,94.0,120
1778456944,96,7494,66,205.74,45,1.69,8.8,93.8,120
1778456946,95,7494,66,205.23,45,1.71,9.7,93.8,120
1778456947,96,7494,65,204.07,45,1.71,17.1,94.7,120
1778456949,96,7494,66,203.90,45,1.71,18.5,94.5,120
1778456951,96,7494,65,205.19,45,1.97,14.6,94.5,120
1778456953,95,7494,66,204.39,45,1.97,17.7,95.6,120
1778456955,96,7494,65,204.46,45,2.06,15.6,95.7,120
1778456957,96,7494,66,204.28,45,2.06,15.2,95.7,120
1778456958,96,7494,66,204.12,45,2.06,15.0,95.8,120
1778456960,94,7494,65,204.00,45,2.05,16.9,95.9,120
1778456962,96,7494,65,205.01,45,2.05,16.8,96.1,120
1778456964,97,7494,66,205.55,45,2.05,15.0,95.8,120
1778456965,95,7494,65,204.49,45,1.97,13.8,94.6,120
1778456967,97,7494,65,205.62,45,1.97,96.1,59.5,120
1778456969,95,7494,65,204.59,45,1.97,76.8,60.8,120
1778456971,96,7494,66,204.39,45,2.77,69.2,60.8,120
1778456973,96,7494,66,204.00,45,2.77,71.2,61.0,120
1778456974,96,7494,66,205.45,45,2.77,66.5,60.1,120
1778456976,97,7494,66,205.44,45,3.51,47.1,60.2,120
1778456978,95,7494,66,203.98,45,3.51,21.5,60.3,120
1778456980,96,7494,65,204.30,45,3.51,19.8,60.0,120
1778456981,96,7494,66,204.76,45,3.63,20.5,59.9,120
1778456983,96,7494,66,206.01,45,3.63,19.2,60.2,120
1778456985,96,7494,66,205.34,45,3.50,19.6,60.1,120
1778456987,97,7494,66,205.65,45,3.50,19.6,60.2,120
1778456989,96,7494,66,205.15,45,3.50,20.2,60.2,120
1778456990,97,7494,66,205.36,45,3.46,16.1,60.2,120
1778456992,96,7494,66,204.49,45,3.46,16.0,60.3,120
1778456994,96,7494,66,205.05,45,3.46,14.3,60.3,120
1778456996,95,7494,66,204.24,45,3.42,14.3,60.2,120
1778456997,95,7494,65,205.17,45,3.42,14.1,60.4,120
1778456999,96,7494,66,205.36,45,3.42,16.2,60.3,120
1778457001,96,7494,65,204.48,45,3.63,16.1,60.6,120
1778457003,96,7494,65,204.32,45,3.63,15.6,60.8,120
1778457005,96,7494,66,205.15,45,3.50,15.8,60.9,120
1778457007,97,7494,66,205.98,45,3.50,16.4,60.9,120
1778457009,96,7494,66,204.85,45,3.50,16.4,60.9,120
1778457011,97,7494,66,206.21,45,3.62,15.9,61.0,120
1778457013,97,7494,66,204.35,45,3.62,15.6,61.3,120
1778457015,97,7494,66,206.28,45,3.62,15.4,51.6,120
1778457016,96,7494,66,206.22,45,3.57,14.5,51.7,120
1778457018,96,7494,65,206.10,45,3.57,16.4,51.8,120
1778457020,96,7494,66,205.00,45,3.57,17.4,51.8,120
1778457021,96,7494,66,205.70,45,3.60,16.8,51.8,120
1778457023,96,7494,66,206.22,45,3.60,17.5,52.1,120
1778457025,96,7494,66,206.31,45,3.47,14.2,52.0,120
1778457026,95,7494,66,205.58,45,3.47,17.6,51.9,120
1778457028,97,7494,66,206.12,45,3.47,16.3,52.2,120
1778457030,96,7494,66,206.19,45,3.47,15.8,51.9,120
1778457031,95,7494,66,205.52,45,3.59,16.4,52.1,120
