ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778457032,96,7494,66,204.67,45,3.59,15.5,52.1,120
1778457034,97,7494,66,205.06,45,3.59,23.9,52.1,120
1778457036,97,7494,66,204.56,45,3.63,16.1,52.1,120
1778457037,95,7494,66,206.09,45,3.63,15.1,52.3,120
1778457039,96,7494,66,205.77,45,3.63,14.8,52.4,120
1778457041,96,7494,66,205.87,45,3.74,19.1,52.9,120
1778457042,96,7494,66,205.66,45,3.74,19.0,53.2,120
1778457044,96,7494,66,205.62,45,3.74,18.7,53.0,120
1778457046,96,7494,66,205.54,45,3.92,18.3,52.8,120
1778457047,96,7494,66,205.62,45,3.92,16.2,53.1,120
1778457049,97,7494,66,205.87,45,3.92,16.4,53.1,120
1778457051,96,7494,66,205.54,45,3.68,14.7,53.1,120
1778457053,96,7494,66,205.60,45,3.68,16.1,53.3,120
1778457054,96,7494,65,205.53,45,3.68,15.3,53.2,120
1778457056,95,7494,66,204.93,45,3.55,16.2,53.2,120
1778457058,96,7494,66,205.22,45,3.55,14.9,53.3,120
1778457059,96,7494,65,205.41,45,3.55,16.9,53.5,120
1778457061,96,7494,66,205.32,45,3.50,15.4,53.7,120
1778457063,96,7494,65,204.12,45,3.50,16.1,53.6,120
1778457064,96,7493,66,205.38,45,3.50,15.7,53.6,120
1778457066,96,7493,65,205.05,45,3.54,15.3,53.5,120
1778457068,95,7493,66,205.03,45,3.54,16.2,53.8,120
1778457069,96,7493,65,204.36,45,3.54,17.5,53.8,120
1778457071,96,7493,65,205.20,45,3.34,19.6,53.8,120
1778457072,96,7493,66,204.10,45,3.34,21.8,54.2,120
1778457074,96,7493,66,205.44,45,3.34,22.7,55.5,120
1778457076,95,7493,66,204.36,45,3.47,26.3,57.0,120
1778457077,96,7493,66,205.49,45,3.47,25.2,56.9,120
1778457079,96,7493,66,205.26,45,3.47,17.2,54.3,120
1778457081,96,7493,66,205.55,45,3.83,23.7,54.5,120
1778457082,95,7493,66,204.28,45,3.83,19.5,55.2,120
1778457084,96,7493,66,205.65,45,3.83,18.5,52.6,120
1778457086,96,7493,66,204.76,45,3.69,27.8,53.9,120
1778457087,96,7493,66,205.45,45,3.69,16.5,54.2,120
1778457089,96,7493,66,205.21,45,3.69,21.8,54.4,120
1778457091,95,7493,66,205.25,45,3.63,21.6,54.7,120
1778457092,96,7493,66,205.18,45,3.63,20.6,55.1,120
1778457094,97,7493,66,205.02,45,3.63,17.1,56.7,120
1778457096,96,7493,66,205.12,45,3.74,18.4,56.7,120
1778457097,96,7493,66,205.14,45,3.74,19.0,56.8,120
1778457099,96,7493,66,205.29,45,3.74,20.1,56.6,120
1778457101,96,7493,66,205.29,45,3.76,18.4,56.6,120
1778457102,97,7493,66,205.28,45,3.76,16.9,56.8,120
1778457104,96,7479,65,205.13,45,3.76,25.7,57.8,120
1778457106,95,7479,66,204.20,45,3.78,22.6,57.9,120
1778457108,96,7479,66,205.21,45,3.78,19.9,58.3,120
1778457109,96,7479,66,205.60,45,3.78,21.9,58.7,120
1778457111,96,7479,66,205.48,45,4.12,19.5,60.1,120
1778457113,96,7479,66,205.48,45,4.12,25.7,60.7,120
1778457115,96,7479,66,203.71,45,4.11,16.5,61.5,120
1778457117,96,7479,65,204.56,45,4.11,24.7,61.8,120
1778457118,96,7479,65,205.27,45,4.11,19.9,61.8,120
1778457120,95,7479,65,205.55,45,4.18,21.7,61.6,120
1778457122,96,7479,65,205.23,45,4.18,15.5,61.5,120
1778457123,96,7479,66,205.78,45,4.18,16.0,61.8,120
1778457125,96,7479,66,204.65,45,4.25,35.0,66.1,120
1778457127,96,7479,66,204.88,46,4.25,32.5,69.7,120
1778457129,96,7479,66,206.32,45,4.25,17.5,71.1,120
1778457130,96,7479,66,204.40,45,3.99,21.5,71.0,120
1778457132,96,7479,66,205.66,45,3.99,18.4,70.9,120
1778457134,96,7479,66,205.07,45,3.99,18.7,71.0,120
1778457135,96,7479,66,204.86,45,3.91,16.1,70.9,120
1778457137,95,7479,66,204.67,45,3.91,21.7,71.0,120
1778457139,96,7479,66,204.71,46,3.91,16.3,70.9,120
1778457140,96,7479,66,204.88,45,3.75,15.6,70.9,120
1778457142,96,7495,66,205.11,45,3.75,17.0,71.0,120
1778457144,96,7494,66,204.99,45,3.75,19.9,70.7,120
1778457146,95,7494,65,205.16,46,3.69,26.2,70.8,120
1778457147,97,7494,66,205.80,45,3.69,16.3,70.8,120
1778457149,96,7494,66,205.54,45,3.69,15.0,70.6,120
1778457151,97,7494,66,204.63,45,3.48,19.7,70.7,120
1778457153,97,7494,66,205.24,46,3.48,22.6,71.4,120
1778457154,95,7494,66,205.40,45,3.48,33.3,73.7,120
