ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778458085,95,7788,64,207.08,32,5.65,15.3,74.0,120
1778458086,95,7788,65,206.66,33,5.44,15.2,74.1,120
1778458088,94,7788,65,207.30,34,5.44,17.0,74.0,120
1778458090,95,7788,66,207.88,35,5.44,15.0,74.0,120
1778458092,95,7788,65,208.59,36,5.64,12.4,74.0,120
1778458093,95,7788,66,208.66,37,5.64,21.0,74.3,120
1778458095,95,7788,66,208.99,38,5.64,20.8,74.2,120
1778458097,95,7788,66,209.19,39,5.27,13.1,74.1,120
1778458098,96,7788,67,209.54,40,5.27,17.2,74.3,120
1778458100,95,7788,66,209.00,40,5.27,17.4,74.3,120
1778458102,96,7788,67,209.20,41,5.09,16.2,74.0,120
1778458103,94,7788,67,209.44,41,5.09,21.1,74.3,120
1778458105,50,7344,56,53.29,42,5.09,14.7,74.1,120
1778458107,95,7531,65,187.23,42,4.76,15.5,74.1,120
1778458109,94,7531,66,206.41,42,4.76,19.8,74.2,120
1778458110,95,7531,66,207.01,42,4.76,17.1,74.2,120
1778458112,94,7531,67,206.95,42,4.54,16.8,74.1,120
1778458114,94,7531,66,207.21,42,4.54,19.3,74.3,120
1778458116,94,7531,67,207.00,42,4.26,15.1,74.1,120
1778458118,95,7531,67,207.38,42,4.26,14.5,74.2,120
1778458119,95,7531,67,207.29,42,4.26,17.7,74.1,120
1778458121,94,7531,67,208.01,42,4.00,15.1,74.0,120
1778458123,95,7531,67,207.40,42,4.00,15.2,74.3,120
1778458124,95,7531,67,208.26,42,4.00,24.6,74.2,120
1778458126,95,7531,67,208.00,43,4.16,22.1,74.2,120
1778458128,95,7530,67,208.67,43,4.16,19.6,74.2,120
1778458130,94,7530,67,208.72,43,4.16,21.5,73.9,120
1778458131,95,7530,67,208.80,43,3.98,15.1,74.0,120
1778458133,20,1231,62,195.05,43,3.98,21.2,73.7,120
1778458135,99,7147,66,74.06,44,3.98,18.8,73.8,120
1778458137,95,7153,66,209.07,44,3.82,16.1,73.8,120
1778458139,94,7153,66,210.43,44,3.82,21.3,74.0,120
1778458140,95,7153,66,210.19,44,3.82,15.1,73.8,120
1778458142,94,7153,67,210.28,44,3.68,14.3,73.9,120
1778458144,94,7153,67,210.67,44,3.68,17.0,73.6,120
1778458145,94,7334,67,211.18,44,3.68,20.0,73.8,120
1778458147,29,5635,55,51.01,44,3.54,22.7,73.8,120
1778458149,94,7366,64,147.53,44,3.54,14.6,73.8,120
1778458151,94,7366,66,209.50,43,3.50,16.2,73.8,120
1778458152,95,1263,66,210.30,44,3.50,21.4,73.5,120
1778458154,39,7512,54,60.69,44,3.50,20.3,73.6,120
1778458156,95,7710,65,202.98,43,3.38,27.0,73.7,120
1778458158,95,7710,65,205.18,43,3.38,18.4,73.6,120
1778458159,94,7710,65,205.82,43,3.38,24.4,73.6,120
1778458161,94,7710,66,206.14,43,3.35,15.7,73.8,120
1778458163,94,7710,66,206.48,43,3.35,16.3,73.9,120
1778458165,95,7710,66,206.54,43,3.35,22.2,73.6,120
1778458166,95,7710,66,206.83,43,3.24,15.2,73.7,120
1778458168,95,7710,66,206.99,43,3.24,21.7,73.7,120
1778458170,95,7710,66,207.14,43,3.24,16.8,73.7,120
1778458171,94,7710,66,207.17,43,3.30,21.7,73.8,120
1778458173,95,7710,66,207.80,43,3.30,14.1,73.7,120
1778458175,95,7710,66,207.80,43,3.30,13.6,73.6,120
1778458176,95,7710,66,208.41,44,3.28,18.3,73.5,120
1778458178,95,7710,66,208.62,44,3.28,17.9,73.5,120
1778458180,95,7710,67,208.74,44,3.28,16.9,73.4,120
1778458182,95,7710,67,208.67,44,3.01,20.2,73.4,120
1778458183,95,7710,67,208.23,44,3.01,20.6,73.6,120
1778458185,94,7710,67,209.00,44,3.01,18.3,73.4,120
1778458187,94,7710,67,209.27,44,2.93,15.8,73.6,120
1778458189,95,7710,67,209.09,44,2.93,19.0,73.5,120
1778458190,95,7710,67,209.97,44,2.93,15.2,73.5,120
1778458192,95,7710,67,209.82,44,3.10,18.6,73.6,120
1778458194,95,7710,67,209.96,44,3.10,16.6,73.6,120
1778458196,95,7710,67,209.65,44,3.01,14.4,73.3,120
1778458198,94,7710,67,209.87,44,3.01,17.3,73.6,120
1778458199,95,7710,67,210.06,44,3.01,20.3,73.4,120
1778458201,95,7710,67,210.31,44,3.01,17.3,73.4,120
1778458203,94,7710,67,210.07,44,3.01,25.6,73.5,120
1778458205,96,7710,67,210.35,44,3.01,27.8,73.5,120
1778458206,94,7710,67,210.17,44,2.85,13.6,73.4,120
1778458208,95,7710,67,210.95,45,2.85,23.5,73.6,120
1778458210,95,7710,67,210.37,45,2.85,17.6,73.5,120
1778458211,95,7710,67,210.52,45,2.70,25.5,73.6,120
1778458213,95,7710,67,210.57,45,2.70,16.0,73.5,120
1778458215,95,7710,67,210.58,45,2.70,16.8,73.3,120
1778458217,95,7710,67,212.99,45,2.80,17.9,73.4,120
1778458218,95,7710,68,212.94,45,2.80,14.5,73.4,120
1778458220,95,7710,68,213.35,45,2.80,15.7,73.3,120
1778458222,95,7710,68,212.92,45,2.98,16.5,73.2,120
1778458224,95,7710,68,213.01,45,2.98,17.6,73.5,120
1778458225,95,7710,68,213.08,45,2.98,16.7,73.4,120
1778458227,96,7710,68,213.41,46,2.98,15.1,73.4,120
1778458229,95,7710,68,213.29,46,2.98,20.5,73.4,120
1778458231,95,7710,68,213.39,46,2.90,16.5,73.3,120
1778458232,95,7710,68,213.45,46,2.90,19.0,73.4,120
1778458234,95,7710,68,213.53,46,2.90,16.2,73.1,120
1778458236,95,7710,68,213.50,46,2.83,17.5,73.2,120
1778458237,95,7710,67,213.55,46,2.83,15.1,73.6,120
1778458239,96,7710,68,213.75,46,2.83,13.5,73.2,120
1778458241,96,7710,68,214.02,46,3.24,18.5,73.1,120
1778458243,95,7710,67,213.76,46,3.24,13.0,73.3,120
1778458244,94,7710,68,213.72,46,3.24,22.2,73.2,120
1778458246,95,7710,68,214.24,47,3.22,18.1,73.2,120
1778458248,95,7710,68,214.09,46,3.22,13.6,73.4,120
1778458249,95,7710,68,214.09,47,3.22,16.2,73.3,120
1778458251,96,7710,68,214.37,47,3.21,11.4,73.0,120
1778458253,96,7710,67,214.11,47,3.21,13.9,73.4,120
1778458255,95,7710,67,214.30,47,3.21,13.9,73.0,120
1778458256,96,7710,67,214.26,47,3.03,14.5,72.9,120
1778458258,95,7710,68,214.82,47,3.03,16.4,73.1,120
1778458260,95,7710,68,214.59,47,3.03,13.8,73.9,120
1778458261,96,7710,68,215.06,47,2.87,16.9,74.5,120
1778458263,96,7710,68,214.91,47,2.87,21.2,74.7,120
1778458265,95,7710,68,214.96,47,2.87,22.1,74.5,120
1778458267,95,7710,68,214.52,47,2.80,15.5,74.5,120
1778458268,95,7710,68,214.77,47,2.80,13.2,74.6,120
1778458270,96,7710,68,215.84,47,2.80,26.0,75.8,120
1778458272,96,7710,68,214.86,47,3.21,19.6,76.7,120
1778458274,95,7710,68,215.14,47,3.21,19.3,76.9,120
1778458275,95,7710,68,215.96,47,3.21,18.4,76.7,120
1778458277,96,7710,67,207.24,47,3.20,21.2,76.7,120
1778458279,95,7710,67,205.77,47,3.20,13.0,76.8,120
1778458281,96,7710,67,206.20,47,3.34,13.3,76.3,120
1778458282,96,7710,67,206.02,47,3.34,14.3,76.5,120
1778458284,96,7710,67,207.52,47,3.34,20.9,75.3,120
1778458286,96,7710,67,205.36,47,3.55,15.7,75.1,120
1778458288,96,7710,67,205.51,47,3.55,18.1,75.2,120
1778458289,96,7710,67,206.04,47,3.55,19.8,75.1,120
1778458291,96,7710,67,205.40,47,3.59,19.9,74.9,120
1778458293,96,7710,67,207.33,47,3.59,16.3,75.2,120
1778458294,97,7710,67,205.50,47,3.59,19.8,74.9,120
1778458296,97,7710,67,207.20,47,3.38,18.3,75.1,120
1778458298,97,7710,67,205.16,48,3.38,19.6,75.0,120
1778458300,96,7710,66,205.00,47,3.38,17.5,74.9,120
1778458301,97,7710,67,206.96,47,3.51,14.1,74.8,120
1778458303,95,7710,66,205.15,47,3.51,19.3,75.0,120
1778458305,95,7710,67,206.65,47,3.51,16.4,75.2,120
1778458307,96,7710,66,206.17,48,3.39,18.4,75.0,120
1778458308,96,7710,66,206.79,48,3.39,23.0,75.1,120
1778458310,97,7710,66,206.06,47,3.39,14.7,74.7,120
1778458312,96,7710,66,205.81,48,3.36,31.7,75.4,120
1778458313,97,7710,67,206.91,47,3.36,28.3,77.4,120
1778458315,96,7710,66,206.01,47,3.36,14.7,78.0,120
1778458317,96,7710,67,206.62,47,3.65,15.3,78.4,120
1778458319,96,7710,66,205.37,47,3.65,18.4,78.5,120
1778458320,96,7710,67,206.12,47,3.65,18.1,78.2,120
1778458322,96,7710,67,205.15,47,3.76,18.0,78.3,120
1778458324,96,7710,66,205.80,48,3.76,16.4,78.5,120
1778458326,96,7710,66,204.63,47,3.62,14.2,78.2,120
1778458327,96,7710,66,204.92,47,3.62,16.8,78.2,120
1778458329,97,7710,66,204.90,47,3.62,17.0,78.0,120
1778458331,96,7710,66,204.54,47,3.49,16.5,78.1,120
1778458332,97,7710,66,206.25,48,3.49,17.2,78.1,120
1778458334,97,7710,66,206.99,47,3.49,15.3,78.0,120
1778458336,96,7710,66,204.92,47,3.37,16.2,78.1,120
1778458338,96,7710,66,206.14,47,3.37,16.9,78.1,120
1778458339,96,7710,66,204.90,47,3.37,17.3,78.0,120
1778458341,96,7710,66,206.57,47,3.50,14.4,77.9,120
1778458343,95,7710,66,204.61,48,3.50,16.4,78.1,120
1778458345,96,7710,66,204.13,47,3.50,14.6,77.9,120
1778458347,97,7710,66,206.62,47,3.38,20.2,78.4,120
1778458349,96,7710,66,206.46,47,3.38,15.6,78.4,120
1778458350,95,7710,66,204.56,47,3.38,14.1,78.0,120
1778458352,96,7710,66,205.17,47,3.35,19.4,78.3,120
1778458354,95,7710,66,205.38,48,3.35,19.1,78.3,120
1778458356,97,7710,66,204.87,47,3.24,17.8,78.1,120
1778458357,97,7710,66,206.74,47,3.24,18.7,78.2,120
1778458359,96,7710,66,205.77,47,3.24,17.1,78.4,120
1778458361,96,7710,66,206.60,47,3.14,19.6,78.2,120
1778458362,96,7710,66,205.51,47,3.14,19.1,78.2,120
1778458364,96,7710,66,206.63,47,3.14,15.1,78.0,120
1778458366,97,7710,66,206.55,47,2.89,15.3,78.2,120
1778458368,97,7710,66,206.58,47,2.89,19.6,78.1,120
1778458369,95,7710,66,204.61,47,2.89,16.9,78.2,120
1778458371,97,7710,67,205.70,47,2.98,14.6,78.0,120
1778458373,96,7710,66,204.91,47,2.98,12.7,78.1,120
1778458375,96,7710,66,204.83,47,2.98,14.5,77.9,120
1778458376,95,7710,66,205.87,47,3.14,18.7,78.1,120
1778458378,96,7710,66,206.02,47,3.14,24.4,78.3,120
1778458380,96,7710,66,204.63,47,3.14,14.8,78.1,120
1778458381,96,7710,66,205.52,47,2.97,18.5,78.1,120
1778458383,95,7710,66,205.22,47,2.97,12.6,78.0,120
1778458385,97,7710,66,205.99,47,2.97,19.6,78.2,120
1778458387,97,7710,66,206.65,47,2.89,18.8,78.2,120
1778458388,97,7710,66,206.50,47,2.89,15.6,78.2,120
1778458390,96,7710,66,204.51,47,2.89,16.5,78.1,120
1778458392,96,7710,66,205.50,47,3.06,15.5,78.3,120
1778458394,96,7710,66,205.52,47,3.06,20.2,78.2,120
1778458395,96,7710,66,205.13,47,3.06,14.5,78.0,120
1778458397,96,7710,66,205.64,47,3.13,16.5,78.1,120
