ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778459299,95,7700,66,204.72,47,2.05,10.6,74.5,120
1778459300,95,7700,66,204.76,47,2.05,8.8,74.6,120
1778459302,96,7700,66,204.62,47,2.20,13.3,74.9,120
1778459304,95,7700,66,204.95,47,2.20,12.9,74.7,120
1778459306,96,7700,66,204.58,47,2.20,12.5,74.7,120
1778459307,96,1257,66,205.96,47,2.10,14.3,74.4,120
1778459309,17,11217,55,52.96,47,2.10,11.6,74.2,120
1778459311,29,11219,53,48.19,47,2.10,10.2,74.2,120
1778459313,4,11219,52,36.31,46,2.10,10.3,74.4,120
1778459314,22,11436,54,98.30,43,2.10,11.3,74.2,120
1778459316,22,1253,53,67.11,41,2.10,9.2,74.2,120
1778459318,29,10495,51,43.12,39,2.09,20.1,74.0,120
1778459320,27,10495,50,43.83,37,2.09,10.1,74.0,120
1778459321,95,10682,63,210.63,35,2.09,18.1,74.3,120
1778459323,97,10682,64,211.97,33,2.16,10.7,74.6,120
1778459325,97,10682,64,212.92,32,2.16,21.1,74.5,120
1778459327,96,10682,64,212.98,32,2.16,10.5,74.2,120
1778459328,97,10682,65,213.27,33,2.07,9.2,74.1,120
1778459330,96,10682,65,214.32,34,2.07,9.2,74.1,120
1778459332,97,10682,66,214.39,35,2.30,7.8,73.9,120
1778459334,97,10682,66,215.13,37,2.30,8.2,74.0,120
1778459335,96,10682,66,215.39,38,2.30,7.7,74.1,120
1778459337,97,10682,67,215.65,39,2.68,6.6,73.9,120
1778459339,4,9485,55,51.65,40,2.68,13.4,74.0,120
1778459341,19,9485,53,44.69,41,2.68,14.6,74.2,120
1778459342,18,9485,52,35.24,41,3.74,73.8,74.1,120
1778459344,20,9485,51,35.04,40,3.74,28.8,74.1,120
1778459346,7,9485,50,24.32,38,3.74,18.1,74.0,120
1778459348,25,9485,49,18.48,35,4.81,13.1,74.2,120
1778459349,97,10970,55,81.82,32,4.81,18.4,74.0,120
1778459351,23,10970,52,78.69,31,4.81,8.3,74.2,120
1778459353,24,10970,50,58.12,30,6.02,8.2,74.3,120
1778459355,24,10970,49,58.13,30,6.02,17.1,74.4,120
1778459356,96,11217,49,36.15,30,6.02,8.2,74.2,120
1778459358,25,11219,49,50.75,30,5.78,12.1,74.4,120
1778459360,3,11219,48,35.78,30,5.78,19.6,74.3,120
1778459362,56,11404,58,88.68,30,5.40,8.9,74.1,120
1778459364,4,1221,49,65.75,30,5.40,10.3,74.4,120
1778459365,13,9485,48,47.08,30,5.40,14.4,74.7,120
1778459367,14,9485,47,35.99,30,5.20,8.5,74.4,120
1778459369,14,9485,47,34.36,30,5.20,12.6,74.3,120
1778459371,7,9485,46,30.50,30,5.20,10.9,74.3,120
1778459372,27,9485,45,21.10,30,4.95,9.7,74.4,120
1778459374,100,10934,59,57.55,30,4.95,15.1,74.2,120
1778459376,24,10970,48,68.68,30,4.95,14.7,74.3,120
1778459378,25,10970,46,57.72,30,4.63,17.3,74.5,120
