ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778459402,24,11223,46,62.81,30,3.78,8.8,74.1,120
1778459404,23,11404,45,55.05,30,3.78,13.0,74.5,120
1778459405,23,11404,46,55.13,30,3.78,10.9,74.4,120
1778459407,23,11404,45,55.74,30,3.79,8.3,74.7,120
1778459409,34,11404,45,51.10,30,3.79,9.0,74.2,120
1778459411,36,11404,45,40.87,30,3.79,9.9,74.3,120
1778459412,41,11404,45,41.27,30,3.57,10.3,74.3,120
1778459414,44,11404,44,41.26,30,3.57,7.7,74.2,120
1778459416,6,1402,43,36.63,30,3.57,9.7,74.1,120
1778459418,27,9577,44,47.58,30,3.28,8.3,74.5,120
1778459419,100,10673,57,70.09,30,3.28,10.3,74.4,120
1778459421,97,10679,58,216.03,30,3.28,12.5,74.5,120
