ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778461289,28,1232,43,13.66,0,4.00,11.5,89.7,120
1778461291,24,10506,45,49.32,0,3.84,11.6,89.5,120
1778461292,24,10506,44,41.08,0,3.84,10.7,89.3,120
1778461294,97,10512,58,206.48,0,3.61,8.8,82.6,120
1778461296,97,10512,59,207.06,0,3.61,11.0,83.0,120
1778461298,96,10512,60,207.91,0,3.61,9.4,82.7,120
1778461300,96,10512,61,208.85,0,3.40,11.3,82.8,120
1778461302,96,10512,62,211.85,30,3.40,13.3,82.5,120
1778461304,95,10512,62,210.52,30,3.40,9.1,82.8,120
1778461305,97,10512,63,211.16,30,3.77,10.8,82.5,120
1778461307,96,10512,63,211.46,30,3.77,13.2,82.6,120
1778461309,96,10512,64,211.88,30,3.55,10.1,81.6,120
1778461311,96,10512,64,211.81,32,3.55,10.4,81.5,120
1778461313,96,10512,64,212.90,33,3.55,10.9,81.4,120
1778461314,96,10512,64,212.65,34,3.42,7.9,81.3,120
1778461316,96,10512,65,212.80,34,3.42,9.1,81.1,120
1778461318,96,10512,65,213.61,35,3.42,10.1,81.5,120
