ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778461348,25,8803,43,13.38,30,2.70,7.1,81.6,120
1778461350,97,9496,43,35.09,30,2.57,10.8,81.6,120
1778461352,16,9496,43,45.28,0,2.57,7.9,81.6,120
1778461354,17,9496,43,33.63,0,2.57,7.3,81.7,120
1778461355,18,9496,43,33.63,0,2.52,8.1,81.6,120
1778461357,27,9496,42,21.48,0,2.52,8.9,81.7,120
1778461359,26,9496,42,14.73,0,2.52,7.1,81.4,120
1778461361,64,10764,56,107.42,0,2.48,8.0,81.4,120
1778461362,16,10764,46,78.22,0,2.48,19.1,86.1,120
1778461364,19,10766,47,59.23,0,2.36,11.1,85.1,120
1778461366,27,10766,45,59.94,0,2.36,14.5,84.9,120
