ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778471678,25,1080,43,14.82,0,2.46,9.3,83.6,120
1778471680,19,10787,45,41.20,0,2.46,9.8,83.6,120
1778471682,16,10787,45,44.27,0,2.43,9.6,83.6,120
1778471684,12,10787,45,34.85,0,2.43,10.3,83.5,120
1778471685,100,10797,48,37.81,0,2.31,9.3,83.5,120
1778471687,90,10797,56,173.76,0,2.31,10.4,83.6,120
1778471689,91,10797,58,174.59,0,2.31,13.6,83.6,120
1778471691,90,10799,58,175.18,0,2.21,10.7,83.7,120
1778471693,90,10799,54,175.83,0,2.21,12.1,84.1,120
1778471695,90,10799,59,141.65,0,2.21,12.8,83.8,120
1778471696,89,10799,60,177.63,0,2.27,15.6,84.1,120
1778471698,4,10799,53,134.62,30,2.27,12.0,84.2,120
1778471700,90,10799,60,178.67,30,2.27,11.7,83.8,120
1778471702,90,10799,61,179.24,30,2.25,11.1,83.6,120
1778471704,89,10799,61,148.78,30,2.25,11.5,83.6,120
1778471705,89,10799,61,179.04,30,2.25,11.6,83.6,120
1778471707,90,10799,61,180.04,30,2.39,11.2,83.7,120
1778471709,89,10799,61,179.85,30,2.39,13.6,83.7,120
1778471711,91,10799,62,179.98,30,2.36,11.7,83.7,120
