ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778472528,28,1064,44,14.65,0,3.04,18.5,86.7,120
1778472530,26,1064,44,14.84,0,3.04,21.1,86.9,120
1778472531,5,10625,44,26.86,0,3.04,10.5,86.9,120
1778472533,33,11423,46,50.41,0,2.95,11.8,87.0,120
1778472535,4,11423,45,35.30,0,2.95,11.8,86.9,120
1778472537,21,11427,48,82.06,0,2.88,10.9,87.0,120
1778472539,36,11427,47,71.03,0,2.88,10.3,87.1,120
1778472541,39,11427,46,41.93,0,2.88,10.4,87.0,120
1778472543,38,11427,47,41.99,0,2.89,10.3,87.1,120
1778472545,37,11427,46,41.84,0,2.89,9.3,87.0,120
1778472546,41,11427,46,41.24,0,2.82,7.9,87.0,120
1778472548,39,11427,47,41.17,0,2.82,9.1,87.0,120
1778472550,39,11427,47,41.00,0,2.82,8.3,87.1,120
1778472552,42,11427,46,40.82,0,2.59,9.2,87.2,120
1778472554,32,11427,47,40.64,0,2.59,12.8,87.2,120
1778472556,31,11427,47,40.66,0,2.59,10.8,87.1,120
1778472558,40,11427,47,40.66,0,2.46,9.4,87.3,120
1778472560,45,11427,47,40.82,0,2.46,7.4,86.9,120
1778472562,35,11427,48,40.80,0,2.35,8.0,86.9,120
1778472563,32,11427,48,40.50,0,2.35,8.5,86.7,120
1778472565,42,11427,48,40.59,0,2.35,6.3,86.5,120
1778472567,32,11427,48,40.22,0,2.40,7.3,86.4,120
1778472569,45,11427,48,40.81,0,2.40,7.8,86.3,120
1778472571,45,11427,48,40.96,0,2.40,7.7,86.3,120
1778472573,46,11427,48,41.03,0,2.29,11.8,86.3,120
