ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778472580,34,11427,47,16.38,0,2.18,8.7,86.3,120
1778472582,33,1064,47,16.24,0,3.21,9.5,86.7,120
1778472584,74,11423,47,35.39,0,3.21,8.1,86.6,120
1778472586,4,11425,49,52.86,0,3.21,7.8,86.6,120
1778472588,25,11429,51,74.67,0,3.03,7.2,86.7,120
1778472590,23,11429,50,55.41,0,3.03,9.1,86.7,120
1778472592,40,11429,49,42.40,0,2.87,9.5,86.7,120
1778472594,40,11429,49,42.46,0,2.87,9.1,86.7,120
1778472596,31,11429,49,41.70,0,2.87,8.7,86.6,120
1778472597,38,11429,49,41.49,0,2.72,8.0,86.7,120
1778472599,39,11429,50,41.42,0,2.72,7.7,86.6,120
1778472601,37,11429,50,40.79,0,2.72,8.8,86.6,120
1778472603,35,11429,49,41.30,0,2.58,22.6,86.7,120
1778472606,39,11429,50,40.81,0,2.58,11.1,86.7,120
1778472608,32,11429,50,40.80,0,2.53,10.4,86.7,120
1778472610,34,11429,50,40.88,0,2.53,10.3,86.8,120
1778472612,33,11429,49,40.63,0,2.33,11.1,86.7,120
1778472614,37,11429,50,41.22,0,2.33,11.6,86.7,120
1778472616,34,11429,50,40.91,0,2.33,11.0,86.7,120
1778472618,40,11429,50,40.70,0,2.54,8.1,86.8,120
1778472620,41,11429,50,40.78,0,2.54,7.8,86.6,120
1778472622,45,11429,50,41.17,0,2.66,7.2,86.4,120
1778472624,42,11429,51,41.01,0,2.66,7.9,86.3,120
1778472625,32,11429,50,40.84,0,2.66,7.2,86.3,120
1778472627,33,11429,50,40.93,0,2.61,8.6,86.4,120
1778472629,44,11429,50,41.53,0,2.61,7.8,86.2,120
1778472631,38,11429,50,41.18,0,2.61,7.2,86.3,120
1778472633,33,11429,50,40.92,0,2.48,7.8,86.5,120
1778472635,34,11429,51,41.03,0,2.48,9.5,86.3,120
1778472637,34,11429,51,40.92,0,2.36,7.8,86.4,120
1778472639,44,11429,51,41.57,0,2.36,7.9,86.4,120
1778472641,32,11429,51,41.33,0,2.36,7.6,86.3,120
1778472643,38,11429,51,41.35,0,2.25,7.2,86.5,120
1778472644,43,11429,52,41.55,0,2.25,8.1,86.4,120
1778472646,45,11429,51,41.63,0,2.25,16.1,86.5,120
1778472648,7,11429,50,31.52,0,2.31,7.1,86.2,120
