ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778472656,33,11429,50,17.20,0,2.21,7.7,86.1,120
1778472658,41,1064,50,16.52,0,2.43,7.4,86.6,120
1778472660,53,11421,52,38.22,0,2.43,7.3,86.4,120
1778472661,4,11423,52,51.53,0,2.43,7.8,86.4,120
1778472663,21,11427,55,75.88,0,2.31,11.1,90.7,120
1778472665,26,11427,53,57.53,0,2.31,11.8,90.0,120
1778472667,31,11427,52,42.99,0,2.53,13.6,90.1,120
1778472669,42,11427,52,43.28,0,2.53,13.8,89.8,120
1778472671,31,11427,52,42.44,0,2.53,13.7,89.8,120
1778472673,34,11427,52,42.42,0,2.49,22.1,89.9,120
1778472675,37,11427,52,42.37,0,2.49,11.6,89.8,120
1778472677,41,11427,53,42.20,0,2.45,12.0,89.1,120
1778472679,35,11427,53,41.98,0,2.45,12.2,89.1,120
1778472680,33,11427,53,41.98,0,2.45,11.3,89.2,120
1778472682,31,11427,52,42.61,0,2.41,12.0,89.2,120
1778472684,44,11427,53,42.04,0,2.41,11.5,89.1,120
1778472686,45,11427,53,41.86,0,2.41,11.9,89.1,120
1778472688,41,11427,53,41.75,0,2.22,11.5,89.2,120
1778472690,37,11427,52,41.58,0,2.22,14.6,89.2,120
1778472692,45,11427,53,42.39,0,2.20,13.1,90.6,120
1778472694,43,11427,53,41.55,0,2.20,12.2,90.3,120
1778472696,40,11427,53,41.59,0,2.20,12.6,90.0,120
1778472697,38,11427,53,41.65,0,2.10,9.1,89.4,120
1778472700,41,11427,53,41.66,0,2.10,9.5,89.2,120
1778472701,45,11427,53,42.10,0,2.10,10.1,89.1,120
