ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778472710,34,11427,52,18.41,0,1.93,9.5,89.1,120
1778472712,33,11427,52,17.85,0,1.93,21.2,86.3,120
1778472713,4,1263,52,29.06,0,3.22,8.0,86.3,120
1778472715,49,11425,54,56.76,0,3.22,7.2,86.4,120
1778472717,22,11429,56,96.39,0,3.04,9.2,86.9,120
1778472719,24,11429,55,71.83,0,3.04,10.3,86.8,120
1778472721,41,11429,54,45.24,0,3.04,9.5,86.6,120
1778472723,35,11429,54,43.58,0,2.96,8.5,86.7,120
1778472725,36,11429,54,43.56,0,2.96,14.2,86.6,120
1778472727,41,11429,54,43.78,0,2.96,8.3,86.7,120
1778472729,36,11429,54,43.01,0,2.80,10.2,86.6,120
1778472730,43,11429,54,43.01,0,2.80,11.5,86.7,120
1778472732,36,11429,55,42.78,0,2.82,11.1,86.7,120
1778472734,35,11429,55,42.89,0,2.82,9.7,86.6,120
1778472736,31,11429,54,42.16,0,2.82,11.0,86.8,120
1778472738,31,11429,54,42.15,0,2.75,11.5,87.0,120
1778472740,45,11429,54,42.26,0,2.75,12.7,86.7,120
1778472742,40,11429,54,41.84,0,2.69,14.8,86.8,120
1778472744,33,11429,54,42.03,0,2.69,10.3,86.8,120
1778472746,46,11429,54,42.06,0,2.69,10.7,86.7,120
1778472747,7,11429,54,35.01,0,2.71,13.4,86.5,120
