ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778472756,33,1095,53,18.36,0,2.66,11.2,86.4,120
1778472758,97,11272,54,37.36,0,2.52,13.6,86.5,120
1778472760,51,11274,56,55.48,0,2.52,14.2,86.3,120
1778472762,22,11278,58,77.71,0,2.52,11.8,86.6,120
1778472763,25,11278,56,56.98,0,2.40,13.9,86.6,120
1778472765,37,11278,56,44.28,0,2.40,13.3,86.6,120
1778472767,32,11278,56,44.11,0,2.21,26.7,87.2,120
1778472769,34,11278,56,43.90,0,2.21,16.6,87.2,120
1778472771,32,11278,56,43.63,0,2.21,15.3,87.5,120
1778472773,32,11278,56,43.71,0,2.27,16.9,87.5,120
1778472775,40,11278,55,43.35,0,2.27,15.7,87.4,120
1778472777,31,11278,55,43.71,0,2.27,10.6,87.1,120
1778472778,44,11278,56,43.48,0,2.17,13.5,87.4,120
1778472780,40,11278,55,43.23,0,2.17,10.2,87.6,120
1778472782,33,11278,55,43.07,0,2.08,13.4,87.8,120
1778472784,43,11278,55,43.23,0,2.08,10.6,87.7,120
1778472786,43,11278,55,43.22,0,2.08,8.5,87.1,120
1778472788,39,11278,55,43.12,0,2.07,9.2,87.0,120
1778472790,34,11278,56,42.96,0,2.07,9.6,86.7,120
1778472792,34,11278,56,43.28,0,2.07,8.5,86.6,120
1778472794,36,11278,56,42.87,0,1.98,10.8,87.0,120
1778472795,41,11278,56,43.13,0,1.98,7.7,86.6,120
1778472797,38,11278,56,43.20,0,2.15,9.1,86.7,120
1778472799,34,11278,56,43.13,0,2.15,7.6,86.5,120
1778472801,36,11278,56,43.06,0,2.15,7.1,86.6,120
1778472803,33,11278,56,43.24,0,1.97,7.7,86.6,120
1778472805,37,11278,56,43.35,0,1.97,7.7,86.4,120
1778472807,37,11278,57,43.75,0,1.97,7.4,86.5,120
1778472809,45,11278,56,44.06,0,1.98,7.6,86.6,120
