ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778472847,33,11278,56,20.53,0,1.77,9.1,86.6,120
1778472849,22,11278,60,79.92,0,1.95,13.7,86.8,120
1778472850,38,11278,58,46.04,0,1.95,8.3,86.7,120
1778472852,41,11278,58,45.26,0,1.87,10.6,86.9,120
1778472854,32,11278,57,45.22,0,1.87,9.8,86.9,120
1778472856,36,11278,57,44.84,0,1.87,8.8,86.8,120
1778472858,41,11278,58,44.82,0,1.88,9.5,87.1,120
1778472860,44,11278,58,44.64,0,1.88,8.3,86.7,120
1778472862,33,11278,58,44.27,0,1.88,8.3,86.9,120
1778472863,32,11278,57,44.30,0,1.97,8.5,86.8,120
1778472865,34,11278,58,43.67,0,1.97,8.0,86.7,120
1778472867,45,11278,58,44.29,0,1.81,8.5,86.9,120
1778472869,45,11278,58,44.10,0,1.81,8.5,86.8,120
1778472871,32,11278,58,43.72,0,1.81,8.2,86.6,120
1778472873,33,11278,58,43.31,0,1.83,7.4,86.9,120
1778472875,34,11278,58,43.49,0,1.83,7.3,86.9,120
1778472876,43,11278,58,43.84,0,1.83,7.8,86.8,120
1778472878,36,11278,58,43.56,0,1.76,8.6,86.9,120
1778472880,42,11278,59,43.91,0,1.76,8.9,86.9,120
1778472882,40,11278,58,43.56,0,1.78,9.6,86.7,120
1778472884,35,11278,58,43.65,0,1.78,8.2,86.6,120
1778472886,45,11278,59,44.03,0,1.78,8.2,86.7,120
1778472888,37,11278,58,43.84,0,1.96,23.7,86.7,120
1778472889,36,11278,58,43.99,0,1.96,9.9,85.4,120
1778472891,33,11278,58,44.02,0,1.96,7.5,85.4,120
1778472893,45,11278,59,44.39,0,1.88,10.1,85.4,120
1778472895,33,11278,58,43.93,0,1.88,8.7,85.2,120
1778472897,39,11278,59,44.04,0,1.88,7.4,85.3,120
1778472899,35,11278,58,43.79,0,2.05,10.5,85.5,120
1778472901,41,11278,59,44.05,0,2.05,7.4,85.2,120
1778472903,45,11278,59,44.22,0,1.97,7.4,85.3,120
1778472905,40,11278,58,43.99,0,1.97,10.0,85.2,120
1778472907,33,11278,58,44.00,0,1.97,8.8,85.1,120
1778472908,34,11278,58,44.18,0,1.89,7.8,85.4,120
1778472910,83,11278,60,51.41,0,1.89,8.5,85.3,120
1778472912,22,11278,61,81.35,30,1.82,8.5,85.4,120
1778472914,38,11278,58,46.88,30,1.82,8.6,85.1,120
1778472916,30,11278,57,46.10,30,1.82,8.4,85.2,120
1778472918,33,11278,56,45.68,30,1.91,8.5,85.2,120
1778472920,42,11278,56,44.71,31,1.91,8.1,85.1,120
1778472921,36,11278,55,44.49,31,1.91,20.7,84.9,120
1778472923,43,11278,54,44.17,31,2.00,8.6,85.1,120
