ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778472931,33,11278,50,17.68,30,2.08,8.8,85.2,120
1778472933,4,1308,50,35.42,30,1.99,11.5,85.5,120
1778472935,16,10802,51,51.21,30,1.99,8.2,85.3,120
1778472936,15,10802,49,38.66,30,1.99,9.1,85.3,120
1778472938,15,10802,49,35.66,30,1.99,8.5,85.4,120
1778472940,90,10812,59,171.48,30,1.99,10.0,85.4,120
1778472942,89,10812,59,176.87,30,1.99,8.7,85.3,120
1778472944,90,10812,61,177.05,30,1.91,7.8,85.3,120
1778472945,90,10812,60,177.84,30,1.91,7.6,85.3,120
1778472947,90,10812,61,178.19,30,2.00,9.7,85.4,120
1778472949,3,10812,54,162.77,30,2.00,9.0,85.3,120
