ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778473569,62,1082,43,14.83,0,3.16,16.5,87.9,120
1778473570,57,1082,43,15.04,0,3.16,16.5,88.1,120
1778473572,51,11441,46,40.90,0,3.16,15.9,88.1,120
1778473574,65,11445,54,52.10,0,3.15,14.8,88.0,120
1778473576,26,11445,48,74.30,0,3.15,18.7,88.1,120
1778473578,36,11445,47,44.39,0,3.06,12.9,88.1,120
1778473580,41,11445,46,42.06,0,3.06,13.1,88.1,120
1778473582,41,11445,46,41.72,0,3.06,12.8,88.2,120
1778473584,41,11445,46,41.08,0,3.05,13.1,88.1,120
1778473586,33,11445,46,40.98,0,3.05,13.8,88.0,120
1778473588,32,11445,47,40.89,0,2.89,50.9,89.2,120
1778473590,43,11445,46,40.84,0,2.89,13.4,89.2,120
1778473592,33,11445,47,40.56,0,2.89,15.6,89.4,120
1778473594,45,11445,47,40.68,0,3.21,16.3,88.5,120
1778473596,45,11445,47,40.83,0,3.21,11.8,88.7,120
1778473598,34,11445,47,40.94,0,3.04,10.5,88.5,120
1778473600,34,11445,47,40.71,0,3.04,10.1,88.4,120
1778473602,36,11445,48,40.33,0,3.04,14.5,88.4,120
1778473604,45,11445,47,41.60,0,3.03,9.8,88.3,120
1778473606,46,11445,48,40.75,0,3.03,9.7,88.4,120
1778473608,35,11445,47,40.30,0,2.87,9.1,88.4,120
1778473610,38,11445,47,40.82,0,2.87,7.4,85.2,120
1778473612,33,11445,48,40.41,0,2.87,11.2,85.4,120
1778473614,37,11445,49,40.65,0,2.72,11.3,85.4,120
1778473616,45,11445,48,40.98,0,2.72,8.7,85.5,120
1778473618,43,11445,48,41.25,0,2.58,11.1,85.6,120
1778473620,33,11445,48,40.40,0,2.58,8.2,84.8,120
1778473622,9,11445,47,23.46,0,2.58,9.0,84.5,120
