ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778473630,33,11445,47,16.72,0,2.34,8.8,84.4,120
1778473632,28,1091,47,15.57,0,2.34,8.1,84.8,120
1778473634,49,11441,49,49.65,0,2.31,8.8,84.6,120
1778473637,22,11445,51,94.45,0,2.31,8.5,84.5,120
1778473639,36,11445,49,49.91,0,2.13,6.9,84.4,120
1778473641,34,11445,49,42.97,0,2.13,8.1,84.5,120
1778473644,29,11445,50,42.50,0,1.96,7.5,85.0,120
1778473646,31,11445,49,41.74,0,1.96,8.1,84.7,120
1778473648,30,11445,50,41.89,0,1.88,15.8,85.4,120
1778473650,37,11445,50,41.58,0,1.88,8.1,85.5,120
1778473652,40,11445,50,41.63,0,1.88,7.5,85.6,120
1778473654,38,11445,50,41.52,0,1.81,6.4,85.2,120
1778473657,40,11445,51,41.82,0,1.81,8.3,85.3,120
1778473660,34,11445,50,41.27,0,1.74,7.8,85.2,120
1778473662,33,11445,50,41.32,0,1.74,8.4,85.3,120
1778473664,37,11445,51,41.26,0,1.68,7.4,85.3,120
