ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778473673,33,11445,49,17.00,0,2.13,55.4,85.2,120
1778473676,97,10451,50,36.22,0,2.13,7.3,85.1,120
1778473678,86,11441,60,65.05,0,2.12,7.6,85.1,120
1778473681,22,11445,52,59.89,0,2.12,9.5,85.5,120
1778473684,41,11445,52,43.00,0,2.19,8.0,85.3,120
1778473689,31,11445,51,42.83,0,2.01,8.3,85.3,120
1778473692,42,11445,52,42.51,0,1.93,8.2,85.3,120
1778473696,33,11445,52,42.32,0,1.93,9.3,85.1,120
1778473699,41,11445,51,42.06,0,2.02,7.7,85.2,120
1778473703,41,11445,52,41.85,0,1.93,7.7,85.2,120
1778473705,38,11445,52,42.07,0,1.93,7.5,85.0,120
1778473707,37,11445,52,41.67,0,1.93,7.7,85.2,120
1778473709,46,11445,52,42.06,0,1.86,7.2,85.2,120
1778473711,37,11445,53,41.60,0,1.86,7.2,85.0,120
1778473713,40,11445,52,41.83,0,1.86,7.6,85.3,120
1778473715,33,11445,52,41.71,0,1.95,10.0,85.2,120
1778473717,33,11445,52,42.09,0,1.95,10.8,85.2,120
