ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778473725,35,11445,51,18.12,0,1.88,12.3,84.9,120
1778473727,68,1082,51,17.30,0,1.88,11.5,85.2,120
1778473729,56,11441,52,37.57,0,1.97,11.0,85.3,120
1778473731,4,11443,53,52.41,0,1.97,12.0,85.4,120
1778473732,20,11447,55,77.01,0,1.97,11.1,85.6,120
1778473734,22,11447,54,60.16,0,1.81,10.6,85.4,120
1778473736,30,11447,53,43.56,0,1.81,11.0,85.4,120
1778473738,41,11447,53,43.70,0,2.15,12.5,84.8,120
1778473740,30,11447,53,43.10,0,2.15,10.9,84.8,120
1778473742,31,11447,53,43.10,0,2.15,11.0,84.8,120
1778473744,31,11447,53,42.76,0,2.14,10.9,84.7,120
1778473746,35,11447,54,42.72,0,2.14,11.4,84.7,120
1778473748,36,11447,54,42.55,0,2.14,9.1,84.7,120
1778473750,37,11447,53,42.49,0,2.13,10.0,84.6,120
1778473751,40,11447,54,42.64,0,2.13,9.2,84.7,120
1778473753,44,11447,53,42.69,0,2.12,7.6,84.6,120
1778473755,32,11447,54,42.34,0,2.12,13.3,85.3,120
1778473757,32,11447,54,42.09,0,2.12,8.7,85.4,120
1778473759,34,11447,54,41.99,0,2.11,7.7,85.5,120
1778473761,34,11447,54,42.19,0,2.11,8.3,85.4,120
1778473763,40,11447,54,41.94,0,2.11,8.4,85.4,120
1778473765,32,11447,54,41.88,0,2.34,8.3,85.4,120
1778473767,44,11447,54,42.31,0,2.34,7.3,85.3,120
1778473769,33,11447,54,41.82,0,2.39,8.2,85.3,120
1778473771,36,11447,54,42.45,0,2.39,7.5,85.2,120
1778473773,44,11447,54,42.56,0,2.39,7.4,85.4,120
1778473775,7,11447,53,35.49,0,2.28,12.8,84.9,120
