ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778473783,33,11447,53,18.29,0,2.26,8.4,85.1,120
1778473785,29,1082,53,16.97,0,2.32,7.1,85.3,120
1778473787,50,11441,55,44.65,0,2.32,9.5,85.5,120
1778473788,3,11443,55,53.89,0,2.21,9.5,85.4,120
1778473790,21,11447,58,78.31,0,2.21,8.8,85.4,120
1778473792,34,11447,56,51.89,0,2.21,8.8,85.5,120
1778473794,39,11447,55,44.30,0,2.35,8.9,85.4,120
1778473796,29,11447,55,43.85,0,2.35,8.5,85.4,120
1778473798,41,11447,55,44.12,0,2.16,9.5,85.4,120
1778473800,43,11447,55,43.58,0,2.16,12.3,85.4,120
1778473802,43,11447,55,43.43,0,2.16,13.6,85.5,120
1778473804,31,11447,55,43.25,0,2.31,9.5,85.5,120
1778473806,38,11447,55,42.96,0,2.31,10.8,85.6,120
1778473808,32,11447,55,43.21,0,2.31,11.7,85.6,120
1778473810,34,11447,56,42.40,0,2.37,13.8,85.8,120
1778473812,32,11447,55,42.79,0,2.37,11.2,85.5,120
1778473813,41,11447,56,42.59,0,2.34,9.7,85.5,120
1778473815,44,11447,55,42.60,0,2.34,11.4,85.4,120
1778473817,45,11447,56,42.77,0,2.34,11.7,85.6,120
1778473819,38,11447,56,42.58,0,2.23,10.7,85.4,120
1778473821,47,11447,56,43.20,0,2.23,11.5,85.4,120
1778473823,36,11447,55,42.78,0,2.23,10.3,85.5,120
1778473825,34,11447,55,43.00,0,2.13,12.2,85.4,120
1778473827,46,11447,55,43.68,0,2.13,10.1,85.3,120
1778473829,46,11447,56,43.46,0,2.36,11.4,85.3,120
1778473830,35,11447,56,43.11,0,2.36,10.4,85.3,120
1778473832,33,11447,55,43.16,0,2.36,12.5,85.5,120
