ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778473840,36,11447,54,19.04,0,2.22,11.2,85.0,120
1778473842,42,1082,54,18.62,0,2.22,11.6,85.5,120
1778473844,51,11439,56,43.87,0,2.29,9.2,85.4,120
1778473846,87,11441,61,67.12,0,2.29,11.8,85.6,120
1778473848,22,11445,58,79.81,0,2.29,10.5,85.6,120
1778473850,29,11445,57,52.95,0,2.42,10.5,85.5,120
1778473852,36,11445,56,45.29,0,2.42,10.6,85.5,120
1778473854,34,11445,57,44.69,0,2.55,10.9,85.4,120
1778473855,40,11445,56,44.94,0,2.55,11.2,85.4,120
1778473857,37,11445,56,44.27,0,2.55,12.0,85.6,120
1778473859,43,11445,57,43.85,0,2.42,12.0,84.9,120
1778473861,31,11445,56,43.90,0,2.42,11.8,85.0,120
1778473863,34,11445,56,43.85,0,2.42,12.7,85.4,120
1778473865,43,11445,56,43.80,0,2.47,23.4,85.7,120
1778473867,36,11445,57,43.70,0,2.47,12.7,85.9,120
1778473868,45,11445,57,44.04,0,2.51,12.4,85.7,120
1778473870,32,11445,57,43.35,0,2.51,10.6,85.6,120
1778473872,39,11445,57,43.51,0,2.51,12.0,85.6,120
1778473874,45,11445,57,43.54,0,2.55,10.7,85.5,120
1778473876,32,11445,56,42.93,0,2.55,11.3,85.5,120
1778473878,34,11445,56,43.20,0,2.55,10.3,85.4,120
1778473880,38,11445,56,43.74,0,2.43,12.1,85.3,120
1778473882,37,11445,56,43.65,0,2.43,11.1,85.2,120
1778473884,37,11445,57,43.18,0,2.39,11.9,85.1,120
1778473885,44,11445,57,43.46,0,2.39,12.1,85.1,120
1778473887,45,11445,57,43.89,0,2.39,11.8,85.4,120
1778473889,36,11445,57,43.50,0,2.52,10.6,85.4,120
1778473891,33,11445,57,43.72,0,2.52,12.3,85.3,120
1778473893,33,11445,57,43.50,0,2.52,12.4,85.4,120
1778473895,37,11445,57,42.93,0,2.48,13.4,85.3,120
1778473897,46,11445,57,43.40,0,2.48,13.0,85.2,120
1778473898,32,11445,57,44.03,0,2.52,11.6,85.4,120
