ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778477086,4,1105,44,19.75,0,1.52,14.7,84.9,120
1778477089,16,10791,46,50.29,0,1.52,13.2,84.8,120
1778477091,11,10791,45,34.99,0,1.48,11.7,84.8,120
1778477093,13,10791,45,34.90,0,1.48,10.2,84.9,120
1778477095,89,10803,56,174.38,0,1.76,9.8,84.8,120
1778477098,89,10803,58,175.27,0,1.76,9.9,84.9,120
1778477100,89,10803,58,146.01,0,1.76,10.8,84.8,120
1778477102,4,10803,52,126.62,0,2.02,9.9,84.8,120
1778477104,90,10803,60,177.85,0,2.02,12.3,84.7,120
1778477106,90,10803,61,179.92,30,1.86,9.7,84.7,120
1778477108,90,10803,61,179.40,30,1.86,11.4,84.8,120
1778477110,90,10803,61,180.06,30,1.87,11.4,84.7,120
