ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778477123,26,10803,46,15.73,30,1.81,8.4,84.7,120
1778477125,97,11261,46,36.54,30,1.81,11.2,84.6,120
1778477127,32,11263,46,42.38,30,1.75,8.2,84.7,120
1778477129,4,11263,45,34.53,30,1.75,8.3,84.6,120
1778477131,22,11267,47,74.90,30,1.93,7.3,84.6,120
1778477133,22,11267,47,74.35,30,1.93,9.4,84.9,120
1778477136,25,11267,47,71.38,30,2.09,8.3,84.7,120
1778477138,18,11267,44,45.63,30,2.09,8.4,84.8,120
1778477140,21,11267,46,75.43,30,2.09,8.5,84.7,120
1778477142,19,11267,47,68.51,30,2.01,9.5,84.8,120
1778477144,33,11267,44,42.54,30,2.01,8.6,84.7,120
1778477146,22,11267,47,74.75,30,1.84,7.6,84.7,120
1778477148,6,11267,43,39.73,30,1.84,8.3,84.8,120
1778477150,23,11267,46,76.72,30,1.78,7.6,84.7,120
1778477153,93,11267,46,38.47,30,1.78,8.0,84.8,120
1778477155,23,11267,47,94.83,30,1.78,8.4,84.5,120
1778477157,42,11267,44,43.90,30,1.71,9.2,84.6,120
1778477159,75,11267,42,25.11,30,1.71,9.2,84.6,120
1778477161,23,11267,47,95.93,30,1.74,13.2,84.8,120
1778477163,31,11267,43,50.33,30,1.74,10.6,84.7,120
1778477165,100,11267,45,32.89,30,1.68,10.2,84.8,120
1778477168,33,11267,43,70.33,30,1.68,10.2,84.8,120
1778477170,96,11267,48,28.33,30,1.68,10.8,84.6,120
1778477172,22,11267,44,75.71,30,1.78,11.2,84.7,120
1778477174,85,11267,42,24.75,30,1.78,11.1,84.6,120
1778477176,22,11267,44,84.20,30,1.80,11.2,84.6,120
1778477178,28,11267,41,42.46,30,1.80,8.4,84.8,120
1778477180,23,11267,42,41.82,30,1.74,8.7,84.7,120
1778477183,40,11267,42,51.98,30,1.74,8.0,84.8,120
1778477185,6,11267,40,25.00,30,1.74,8.4,84.7,120
1778477187,23,11267,42,55.89,30,2.00,9.5,84.7,120
1778477189,6,11267,40,28.66,30,2.00,12.9,84.7,120
1778477191,23,11267,40,22.53,0,2.00,11.0,84.7,120
1778477193,23,11267,43,93.74,0,2.00,11.4,84.7,120
