ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778477206,26,11267,40,14.56,0,1.85,12.0,84.9,120
1778477208,6,7505,41,33.84,0,1.85,11.4,85.1,120
1778477210,19,10791,42,47.52,0,1.85,11.6,85.0,120
1778477212,14,10791,41,34.64,0,2.18,14.2,85.1,120
1778477214,88,10803,51,87.81,0,2.18,10.9,84.9,120
1778477216,89,10803,53,172.39,0,2.01,10.4,84.9,120
1778477218,91,10803,55,147.06,0,2.01,11.6,84.9,120
1778477220,91,10803,56,173.43,0,1.93,11.1,85.0,120
1778477222,90,10803,56,173.82,0,1.93,11.2,85.1,120
1778477224,90,10803,57,176.71,30,1.93,13.3,85.0,120
1778477227,87,10803,57,151.28,30,1.93,12.5,85.0,120
1778477229,91,10803,58,176.16,30,1.93,11.9,85.0,120
1778477231,90,10803,58,160.26,30,2.10,11.7,85.0,120
1778477233,90,10803,59,175.87,30,2.10,11.6,85.1,120
1778477235,90,10803,58,150.47,30,2.10,11.0,85.0,120
1778477237,85,10803,53,176.65,30,2.01,11.3,85.1,120
1778477239,89,10803,59,177.00,30,2.01,10.6,85.1,120
1778477241,44,10803,53,171.62,30,2.01,10.9,84.8,120
1778477243,89,10803,60,177.74,30,2.01,8.8,84.8,120
1778477245,89,10803,59,178.37,30,1.93,10.2,84.8,120
1778477247,90,10803,59,177.62,30,1.93,9.1,84.9,120
