ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778477260,26,10803,44,15.56,30,2.25,14.1,88.9,120
1778477262,15,11261,45,40.04,30,2.23,15.7,89.0,120
1778477264,31,11243,45,47.52,30,2.23,11.4,88.2,120
1778477266,4,11232,44,34.80,30,2.13,9.4,88.2,120
1778477269,22,11236,46,74.31,30,2.13,9.5,87.9,120
1778477271,92,11236,46,44.14,30,1.96,10.9,88.1,120
1778477273,31,11236,45,66.43,30,1.96,9.8,88.1,120
1778477275,22,11236,47,74.26,30,1.96,10.4,88.1,120
1778477277,22,11236,45,74.27,30,2.04,10.5,88.0,120
1778477279,26,11236,46,79.58,30,2.04,9.8,87.9,120
1778477281,20,11236,46,75.66,30,2.36,7.6,85.0,120
1778477284,95,11236,45,40.81,30,2.36,8.4,85.0,120
1778477286,37,11236,43,53.52,30,2.17,8.5,85.0,120
1778477288,30,11236,43,38.17,30,2.17,8.5,85.3,120
1778477290,5,11236,42,37.83,30,2.17,8.7,85.1,120
1778477292,4,11236,43,71.10,30,2.07,9.1,85.0,120
1778477294,4,11236,43,56.35,30,2.07,9.2,84.9,120
1778477296,22,11236,45,113.35,30,1.99,8.3,84.9,120
1778477298,36,11236,43,43.21,30,1.99,8.2,85.0,120
1778477301,41,11236,42,36.18,30,1.91,8.0,84.9,120
1778477303,36,11236,42,43.64,30,1.91,9.5,85.1,120
1778477305,56,11236,40,24.52,30,1.91,9.8,85.0,120
