ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778477318,27,11236,39,14.35,0,2.07,10.2,85.3,120
1778477320,4,10758,40,33.39,0,2.07,9.4,85.0,120
1778477322,13,10760,42,48.68,0,1.99,10.1,85.1,120
1778477324,13,10760,41,34.55,0,1.99,9.6,84.9,120
1778477327,90,10772,51,161.96,0,1.99,9.0,84.9,120
1778477329,91,10772,52,136.41,0,1.99,12.2,84.9,120
1778477331,3,10772,46,122.11,0,1.99,9.9,84.8,120
1778477333,90,10772,54,145.17,0,1.99,10.8,85.1,120
1778477336,89,10772,56,175.62,0,1.91,10.1,85.2,120
1778477338,88,10772,57,176.09,30,1.91,10.0,85.2,120
1778477340,90,10772,57,176.38,30,1.91,10.1,85.2,120
1778477342,88,10772,57,176.75,30,1.84,11.1,85.3,120
