ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778477355,25,10772,43,15.40,30,1.71,10.4,85.3,120
1778477357,41,11232,44,44.41,30,1.73,11.6,85.5,120
1778477359,31,11232,44,51.50,30,1.73,10.4,85.3,120
1778477361,92,11236,45,57.18,30,1.67,10.1,85.2,120
1778477363,6,11236,43,65.36,30,1.67,12.4,85.0,120
1778477365,22,11236,46,57.77,30,1.67,11.8,85.2,120
1778477368,41,11236,44,66.33,30,1.70,11.6,85.4,120
1778477370,40,11236,45,70.78,30,1.70,11.5,85.3,120
1778477372,92,11236,51,51.85,30,1.56,11.5,85.5,120
1778477374,23,11236,46,75.28,30,1.56,11.7,85.3,120
1778477376,39,11236,43,43.33,30,1.44,10.6,85.3,120
1778477378,31,11236,43,43.44,30,1.44,11.8,85.4,120
1778477380,31,11236,42,42.97,30,1.44,11.9,85.4,120
1778477382,32,11236,42,42.35,30,1.56,10.4,85.6,120
1778477384,39,11236,42,42.96,30,1.56,11.1,85.3,120
1778477387,34,11236,41,42.58,30,1.44,10.6,85.2,120
1778477389,35,11236,42,42.32,30,1.44,11.1,85.2,120
1778477391,37,11236,41,41.63,0,1.40,10.8,85.1,120
1778477393,46,11236,41,41.64,0,1.40,10.9,85.2,120
1778477395,40,11236,42,41.65,0,1.40,11.3,85.2,120
1778477397,34,11236,41,42.02,0,1.53,12.3,85.3,120
1778477399,43,11236,42,41.89,0,1.53,11.9,85.0,120
1778477402,40,11236,42,41.81,0,1.57,11.2,85.1,120
1778477404,46,11236,42,41.58,0,1.57,12.2,85.3,120
1778477406,43,11236,43,41.45,0,1.68,11.3,85.1,120
1778477408,34,11236,42,41.62,0,1.68,11.6,85.2,120
1778477410,35,11236,43,41.84,0,1.68,12.7,85.1,120
1778477412,6,11236,42,34.74,0,2.03,16.5,88.9,120
