ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778477425,29,11236,42,14.76,0,2.24,13.5,88.2,120
1778477427,10,7474,42,34.06,0,2.14,12.1,88.4,120
1778477429,13,10760,44,49.33,0,2.14,12.5,88.4,120
1778477431,4,10760,43,35.16,0,2.13,12.7,88.4,120
1778477434,90,10770,54,173.02,0,2.13,13.1,88.4,120
1778477436,90,10770,56,173.88,0,2.13,24.9,88.4,120
1778477438,90,10772,56,174.36,0,2.36,12.4,88.6,120
1778477440,24,10772,55,150.33,0,2.36,13.4,88.6,120
1778477442,90,10772,58,175.59,0,2.49,13.3,88.7,120
1778477444,87,10772,59,146.87,30,2.49,14.8,88.5,120
1778477446,90,10772,59,177.23,30,2.45,20.0,88.8,120
1778477448,3,10772,51,153.85,30,2.45,12.8,88.8,120
1778477450,90,10772,54,177.35,30,2.45,16.6,88.5,120
