ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778477463,27,10772,44,15.50,30,2.69,16.5,88.4,120
1778477465,38,11230,45,41.64,30,2.69,17.5,88.4,120
1778477467,32,11232,44,45.85,30,2.80,16.3,88.5,120
1778477469,4,11232,44,34.12,30,2.80,15.6,88.3,120
1778477471,67,11236,46,69.60,30,2.73,16.3,88.4,120
1778477474,66,11236,46,68.62,30,2.73,15.4,88.6,120
1778477476,22,11236,46,68.85,30,2.91,15.5,88.5,120
1778477478,22,11236,47,59.93,30,2.91,14.7,88.6,120
1778477480,6,11236,43,42.25,30,2.91,14.8,88.5,120
1778477482,19,11236,44,73.85,30,2.92,14.9,88.0,120
1778477484,22,11236,45,74.68,30,2.92,14.0,87.9,120
1778477486,22,11236,46,61.25,30,2.93,16.0,88.0,120
1778477488,30,11236,43,63.66,30,2.93,16.6,88.0,120
1778477490,4,11236,44,63.61,30,2.93,16.2,87.9,120
1778477493,23,11236,46,125.35,30,3.09,13.6,87.9,120
1778477495,32,11236,44,66.87,30,3.09,16.5,87.7,120
1778477497,89,11236,46,59.72,30,3.41,14.6,87.9,120
1778477499,23,11236,45,75.71,30,3.41,15.5,87.7,120
1778477501,5,11236,42,30.11,30,3.45,15.4,87.7,120
1778477503,22,11236,45,103.15,30,3.45,15.2,87.8,120
1778477505,37,11236,43,58.07,30,3.45,16.5,87.7,120
1778477507,50,11236,42,28.34,30,3.42,14.7,87.8,120
1778477509,40,11236,42,42.33,30,3.42,11.2,87.6,120
1778477511,41,11236,42,41.55,30,3.46,11.2,87.6,120
1778477514,8,11236,40,22.86,30,3.46,11.6,87.7,120
1778477516,23,11236,43,93.04,30,3.59,11.7,87.6,120
1778477518,41,11236,42,42.37,30,3.59,18.2,88.3,120
1778477520,30,11236,41,42.73,30,3.59,11.5,88.2,120
1778477522,42,11236,41,42.41,30,3.38,12.6,88.4,120
1778477524,8,11236,39,22.56,30,3.38,12.9,88.1,120
1778477527,4,11236,41,62.49,0,3.19,11.4,88.1,120
1778477529,8,11236,40,22.55,0,3.19,11.8,88.4,120
1778477531,39,11236,41,45.04,0,3.01,12.5,88.0,120
1778477533,33,11236,42,44.57,0,3.01,11.9,88.1,120
